dataset_id	file_path	file_name	file_size_bytes	sha256	file_role	raw_or_processed	tracked_or_ignored	generated_or_downloaded	source_url_or_accession	verified	verification_note
GSE240016	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad	GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad	802886492	a5cf4baeb408412947de2ae1867b4ad42271088c34c9dd212479c8b19e119fb1	primary annotated raw-count object	raw	ignored/local	downloaded	GEO:GSE240016	YES	Local file verified; size and SHA256 computed
GSE240016	data/processed/thymus_annotated.h5ad	thymus_annotated.h5ad	800565374	a7f24efb9c111257a83f3e2ecd3f1a9d96d843f066b26e71e078991727797d63	processed sensitivity object (22877 cells)	processed	ignored/local	generated	derived from GSE240016	YES	Local file verified; size and SHA256 computed
GSE240016	data/processed/thymus_preprocessed.h5ad	thymus_preprocessed.h5ad	800565374	a7f24efb9c111257a83f3e2ecd3f1a9d96d843f066b26e71e078991727797d63	duplicate processed object (byte-identical to annotated)	processed	ignored/local	generated	derived from GSE240016	YES	Local file verified; size and SHA256 computed
GSE223049	data/external/GSE223049/GSE223049_RNA_seq_counts_23_cell_types.txt	GSE223049_RNA_seq_counts_23_cell_types.txt	22088141	ddd0b32a62ac007d4b20cdd96691cec9f662a8af748d7c72c3aa08d7aebdb20c	processed bulk count matrix	processed	ignored/local	downloaded	GEO:GSE223049	YES	Local file verified; size and SHA256 computed
GSE147520	data/external/human_thymus/GSE147520/GSE147520_epithelial_cells.h5ad	GSE147520_epithelial_cells.h5ad	261986958	ac740271680ea1e2524fca5251b8b31c6f2dbb8187cf096ac5cabcb808b795c5	local epithelial AnnData	processed	ignored/local	downloaded	GEO:GSE147520	YES	Local file verified; size and SHA256 computed
Park TEC	data/external/human_thymus/cellxgene_park_tec/park_tec.h5ad	park_tec.h5ad	264307759	8b3b821691011840cff309a0b236b2a54d601cde7fb69a91937feb122bfd605f	local TEC AnnData	processed	ignored/local	downloaded	cellxgene Park atlas	YES	Local file verified; size and SHA256 computed
Yayon TEC	data/external/human_thymus/cellxgene_yayon_tec/yayon_tec.h5ad	yayon_tec.h5ad	135051848	3d18d3644ad20c827f3269fe582be48f388ac16f9e88f651d7483923983f9d68	local TEC AnnData	processed	ignored/local	downloaded	cellxgene Yayon atlas	YES	Local file verified; size and SHA256 computed
GSE231906	data/external/human_thymus/GSE231906/GSE231906_RAW.tar	GSE231906_RAW.tar	3961333760	92b4ccfebd8fc0b0d141cb57a30e655c159f123847029bf49f5275d3f1ef5f6f	59-unit supplemental feature-barcode archive	processed	ignored/local	downloaded	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/GSE231906_RAW.tar	YES	Local file verified; size and SHA256 computed
GSE231906	data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx	GSE231906_cell-level_metadata.xlsx	18065742	31f12d803005f787fad69a2c0c1a100e1187faff04a9f1e7bf0a397c121efd66	cell-level metadata workbook	metadata	ignored/local	downloaded	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/GSE231906_cell-level_metadata.xlsx	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/E-MTAB-8560.idf.txt	E-MTAB-8560.idf.txt	12465	104fb8aa3dfb59c5188b237009f27f921d1caa3e38d178cbfa6382569bc4377c	SDRF/IDF metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/E-MTAB-8560.sdrf.txt	E-MTAB-8560.sdrf.txt	18232070	8be8cf0aaffc783ee84bb2a5eee8d7b84d95ac6d129c2f2852d719139e3bfdae	SDRF/IDF metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
