unit_id	expression_barcodes	metadata_rows_candidate	matched_unique_expression_barcodes	unmatched_expression_barcodes	metadata_only_barcodes	duplicate_expression_barcodes	duplicate_metadata_barcodes	ambiguous_matches	match_rate	barcode_transformations_used	transformation_collision_count	join_status	notes
GSM8945749_donor1	5513	5115	4785	728	0	0	330	0	0.8679484853981498	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945750_donor2	9147	8076	7814	1333	0	0	262	0	0.854269159287198	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945751_donor3	7766	7010	6699	1067	0	0	311	0	0.8626062322946175	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945752_donor4	11544	9423	9125	2419	0	0	298	0	0.7904539154539154	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945753_donor5	8342	6960	6887	1455	0	0	73	0	0.8255813953488372	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945754_donor6	11258	8623	8478	2780	0	0	145	0	0.753064487475573	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945755_donor7-1	10743	8245	8245	2498	0	0	0	0	0.7674764963231872	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945756_donor7-2	7251	6495	6114	1137	0	0	381	0	0.8431940422010757	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945757_donor8-1	10529	8174	8174	2355	0	0	0	0	0.7763320353309906	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945758_donor8-2	6605	5056	4884	1721	0	0	172	0	0.7394398183194549	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945759_donor9-1	14319	8733	8733	5586	0	0	0	0	0.609888958726168	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945760_donor9-2	5124	3590	3474	1650	0	0	116	0	0.6779859484777517	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945761_donor10-1	4910	3720	3720	1190	0	0	0	0	0.7576374745417516	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945762_donor10-2	3247	2590	2560	687	0	0	30	0	0.7884200800739144	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945763_donor11-1	10716	8466	8466	2250	0	0	0	0	0.79003359462486	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945764_donor11-2	7479	6357	6228	1251	0	0	129	0	0.8327316486161251	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945765_donor12-1	11548	8778	8778	2770	0	0	0	0	0.7601316245237271	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945766_donor12-2	5252	4462	4386	866	0	0	76	0	0.8351104341203351	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945767_donor13-1	13053	9483	9483	3570	0	0	0	0	0.7264996552516663	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945768_donor13-2	7494	6323	6162	1332	0	0	161	0	0.822257806244996	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945769_donor14-1	9754	6657	6657	3097	0	0	0	0	0.6824892351855649	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945770_donor14-2	7447	6401	5887	1560	0	0	514	0	0.7905196723512824	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945771_donor15-1	8144	6414	6414	1730	0	0	0	0	0.787573673870334	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945772_donor15-2	5681	4897	4635	1046	0	0	262	0	0.8158774863580356	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945773_donor16-1	9069	7335	7335	1734	0	0	0	0	0.8087992060866689	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945774_donor16-2	7138	6468	6001	1137	0	0	467	0	0.8407116839450827	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945775_donor17	7007	5206	5156	1851	0	0	50	0	0.7358355929784501	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945776_donor18	12298	10553	9847	2451	0	0	706	0	0.8006993006993007	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945777_donor19	6862	5921	5921	941	0	0	0	0	0.8628679685222967	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945778_donor20	13324	9825	9825	3499	0	0	0	0	0.7373911738216752	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945779_donor21	8585	5138	5138	3447	0	0	0	0	0.5984857309260337	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945780_donor22	15262	9468	9468	5794	0	0	0	0	0.6203643034988862	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945781_donor23	11711	8258	8258	3453	0	0	0	0	0.7051490052087781	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945782_donor24	2531	1257	1257	1274	0	0	0	0	0.4966416436191229	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945783_donor25	1779	979	979	800	0	0	0	0	0.5503091624508151	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945784_donor26	16595	12974	12974	3621	0	0	0	0	0.7818017475143115	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945785_donor27	16982	11513	11513	5469	0	0	0	0	0.6779531268401837	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945786_donor28	15003	11329	11329	3674	0	0	0	0	0.7551156435379591	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945787_donor29	20871	10080	10080	10791	0	0	0	0	0.48296679603277276	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945788_donor30	17854	11395	11395	6459	0	0	0	0	0.6382323288898846	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=PBMC_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945789_donor31	13984	9609	9008	4976	0	0	601	0	0.6441647597254004	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945790_donor32	21206	11368	10175	11031	0	0	1193	0	0.47981703291521266	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945791_donor33	16194	7289	6855	9339	0	0	434	0	0.4233049277510189	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945792_donor34	19904	9532	8261	11643	0	0	1271	0	0.41504220257234725	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945793_donor35	19329	11556	10460	8869	0	0	1096	0	0.5411557762946867	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945794_donor36	14398	8719	7883	6515	0	0	836	0	0.5475065981386303	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945795_donor37	3265	4627	2317	948	0	0	2310	0	0.7096477794793262	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
