gene,cell_type_subset,log2FC_deseq2,padj_deseq2,dropout_OR,dropout_padj,imputation_flip,direction_consistent
Loxl1,11:aaTEC2,-2.3121470258463592,0.9997613420850404,7.862068965517241,0.0011220904936449,,True
Loxl2,13:mTEC1,-3.2911494397505088,0.0009563256575355,12.950664136622391,1.2265962504849273e-15,,True
Loxl1,15:mTEC2,-1.366506787177563,,2.746913580246914,0.0048439413878327,,True
Lox,3:capsFB,-1.461983266265079,7.52478034885109e-05,3.3243615323224263,1.4034190105007965e-44,False,True
Loxl1,3:capsFB,-0.2539896112183952,0.4824702101144022,3.3902038903210685,1.073646278917935e-31,False,True
Loxl2,3:capsFB,0.1467134845580635,0.8661897693973287,1.4638612478239377,6.88376619088359e-06,False,False
Loxl3,3:capsFB,-0.1843459999455056,0.8480762601501095,1.792458184144542,3.2127660367492405e-10,False,True
Lox,4:intFB,-0.625956479206368,0.0716375401347848,2.1916398713826366,2.6831751709503504e-32,False,True
Loxl1,4:intFB,-0.5123242678042881,0.0541318283216391,2.530067741784258,9.734188641909028e-46,False,True
Loxl2,4:intFB,-0.5784463994404674,0.1898400016846443,2.2430518959789207,6.548996667044017e-27,False,True
Loxl3,4:intFB,0.210541770945323,0.855435277090965,1.6891225483124697,6.105035383768566e-10,False,False
Loxl1,5:medFB,0.7505055180833843,0.022557597703736,0.7262796970640107,0.0002599889902134,False,True
Loxl2,5:medFB,-0.9954827176484546,0.0067177089389437,3.38582693051329,7.532968601439741e-40,False,True
Loxl3,5:medFB,0.3968840261474753,0.4751276386464128,1.5088652482269505,8.28828055415502e-05,False,False
Loxl1,6:MEC,-0.2123650037643031,0.9642242930722538,1.702020202020202,0.0236511925267049,,True
Loxl2,6:MEC,-1.1649323199017867,0.7060577138522591,2.6791158536585367,0.0002633298330712,,True
Loxl2,7:vSMC/PC,-1.959385839761833,0.9997808816588244,3.290625,0.0430552008041138,,True
