gene,cell_type_subset,stage,n_cells,dropout_rate,mean_nonzero,odds_ratio_18mo_vs_02mo,pvalue,padj
Lox,0:arEC,02mo,205,0.926829268292683,1.2666666507720947,1.105263157894737,1.0,1.0
Lox,0:arEC,18mo,120,0.9333333333333333,1.0,1.105263157894737,1.0,1.0
Lox,10:aaTEC1,02mo,9,1.0,,0.0,1.0,1.0
Lox,10:aaTEC1,18mo,727,0.9312242090784044,1.2000000476837158,0.0,1.0,1.0
Lox,11:aaTEC2,02mo,18,0.6666666666666666,1.8333333730697632,2.07,0.2201876691060883,0.6727956556019365
Lox,11:aaTEC2,18mo,257,0.8054474708171206,1.3600000143051147,2.07,0.2201876691060883,0.6727956556019365
Lox,12:cTEC,02mo,48,0.9583333333333334,1.0,0.5252173913043479,0.5540152561493212,1.0
Lox,12:cTEC,18mo,327,0.9235474006116208,1.1200000047683716,0.5252173913043479,0.5540152561493212,1.0
Lox,12:early Pr,02mo,38,0.8157894736842105,1.0,2.2238514173998043,0.08715106856463152,0.3834647016843787
Lox,12:early Pr,18mo,358,0.9078212290502793,1.0909091234207153,2.2238514173998043,0.08715106856463152,0.3834647016843787
Lox,13:mTEC1,02mo,579,0.8721934369602763,1.1891891956329346,0.8472708809342473,0.2979293689285324,0.7839536219676287
Lox,13:mTEC1,18mo,1058,0.8525519848771267,1.2820513248443604,0.8472708809342473,0.2979293689285324,0.7839536219676287
Lox,14:mTEC-prol,02mo,242,0.9669421487603306,1.375,4.854700854700854,0.1625972750231399,0.5751410354025981
Lox,14:mTEC-prol,18mo,143,0.993006993006993,1.0,4.854700854700854,0.1625972750231399,0.5751410354025981
Lox,15:mTEC2,02mo,928,0.9859913793103449,1.5384615659713745,0.9133489461358314,0.8149412162127506,1.0
Lox,15:mTEC2,18mo,457,0.9846827133479212,1.7142857313156128,0.9133489461358314,0.8149412162127506,1.0
Lox,16:mimetic(basal),02mo,123,0.975609756097561,1.0,0.975,1.0,1.0
Lox,16:mimetic(basal),18mo,40,0.975,1.0,0.975,1.0,1.0
Lox,17:mimetic(tuft),02mo,243,0.9958847736625515,1.0,0.6652892561983471,1.0,1.0
Lox,17:mimetic(tuft),18mo,162,0.9938271604938271,1.0,0.6652892561983471,1.0,1.0
Lox,18:mimetic(neuroendo),02mo,87,1.0,,0.0,1.0,1.0
Lox,18:mimetic(neuroendo),18mo,123,0.991869918699187,1.0,0.0,1.0,1.0
Lox,19:mimetic(goblet),02mo,41,0.8780487804878049,1.399999976158142,0.6944444444444444,0.6211780866048043,1.0
Lox,19:mimetic(goblet),18mo,120,0.8333333333333334,1.5,0.6944444444444444,0.6211780866048043,1.0
Lox,1:capEC,02mo,588,0.9982993197278912,1.0,inf,1.0,1.0
Lox,1:capEC,18mo,497,1.0,,inf,1.0,1.0
Lox,20:mimetic(microfold),02mo,28,1.0,,,1.0,1.0
Lox,20:mimetic(microfold),18mo,19,1.0,,,1.0,1.0
Lox,2:venEC,02mo,173,0.976878612716763,1.75,inf,0.3135814487870515,0.7839536219676287
Lox,2:venEC,18mo,78,1.0,,inf,0.3135814487870515,0.7839536219676287
Lox,3:capsFB,02mo,2598,0.6466512702078522,1.7363834381103516,3.3243615323224263,2.5516709281832665e-46,1.4034190105007965e-44
Lox,3:capsFB,18mo,1268,0.8588328075709779,1.2290502786636353,3.3243615323224263,2.5516709281832665e-46,1.4034190105007965e-44
Lox,4:intFB,02mo,2691,0.5778520995912301,1.9005281925201416,2.1916398713826366,9.757000621637638e-34,2.6831751709503504e-32
Lox,4:intFB,18mo,1880,0.75,1.5510637760162354,2.1916398713826366,9.757000621637638e-34,2.6831751709503504e-32
Lox,5:medFB,02mo,1841,0.9565453557848995,1.1375000476837158,0.8156250933978899,0.1673137557534831,0.5751410354025981
Lox,5:medFB,18mo,2881,0.9472405414786532,1.144736886024475,0.8156250933978899,0.1673137557534831,0.5751410354025981
Lox,6:MEC,02mo,160,0.9,1.125,1.845679012345679,0.07137339929070936,0.32712808008241795
Lox,6:MEC,18mo,634,0.943217665615142,1.1666666269302368,1.845679012345679,0.07137339929070936,0.32712808008241795
Lox,7:vSMC/PC,02mo,268,0.9067164179104478,1.0800000429153442,1.4895330112721417,0.12933975090819574,0.5054067432941838
Lox,7:vSMC/PC,18mo,712,0.9353932584269663,1.2173912525177002,1.4895330112721417,0.12933975090819574,0.5054067432941838
Lox,8:nmSC,02mo,25,1.0,,0.0,1.0,1.0
Lox,8:nmSC,18mo,57,0.9824561403508771,1.0,0.0,1.0,1.0
Lox,9:Fat,02mo,29,0.8275862068965517,1.600000023841858,1.5972222222222223,0.5111177187203293,1.0
Lox,9:Fat,18mo,52,0.8846153846153846,1.1666666269302368,1.5972222222222223,0.5111177187203293,1.0
Loxl1,0:arEC,02mo,205,0.9902439024390244,1.0,inf,0.5327635327635328,1.0
Loxl1,0:arEC,18mo,120,1.0,,inf,0.5327635327635328,1.0
Loxl1,10:aaTEC1,02mo,9,0.8888888888888888,1.0,1.7295918367346939,0.47099966595450954,1.0
Loxl1,10:aaTEC1,18mo,727,0.9325997248968363,1.1428571939468384,1.7295918367346939,0.47099966595450954,1.0
Loxl1,11:aaTEC2,02mo,18,0.5,1.6666666269302368,7.862068965517241,0.0001428115173729876,0.0011220904936449024
Loxl1,11:aaTEC2,18mo,257,0.8871595330739299,1.2068965435028076,7.862068965517241,0.0001428115173729876,0.0011220904936449024
Loxl1,12:cTEC,02mo,48,0.9583333333333334,1.0,2.3260869565217392,0.2726803026268603,0.7690982894603753
Loxl1,12:cTEC,18mo,327,0.981651376146789,1.1666666269302368,2.3260869565217392,0.2726803026268603,0.7690982894603753
Loxl1,12:early Pr,02mo,38,1.0,,0.0,0.1499400654526355,0.5497802399929967
Loxl1,12:early Pr,18mo,358,0.9329608938547486,1.125,0.0,0.1499400654526355,0.5497802399929967
Loxl1,13:mTEC1,02mo,579,0.9291882556131261,1.097561001777649,1.1271985795927426,0.6027889605064565,1.0
Loxl1,13:mTEC1,18mo,1058,0.9366729678638941,1.0895522832870483,1.1271985795927426,0.6027889605064565,1.0
Loxl1,14:mTEC-prol,02mo,242,0.9380165289256198,1.6666666269302368,1.8237885462555066,0.3428983076205226,0.8381958630723885
Loxl1,14:mTEC-prol,18mo,143,0.965034965034965,1.600000023841858,1.8237885462555066,0.3428983076205226,0.8381958630723885
Loxl1,15:mTEC2,02mo,928,0.9310344827586207,1.59375,2.746913580246914,0.0006605374619771942,0.004843941387832757
Loxl1,15:mTEC2,18mo,457,0.973741794310722,1.8333333730697632,2.746913580246914,0.0006605374619771942,0.004843941387832757
Loxl1,16:mimetic(basal),02mo,123,0.967479674796748,1.0,inf,0.5729076254549713,1.0
Loxl1,16:mimetic(basal),18mo,40,1.0,,inf,0.5729076254549713,1.0
Loxl1,17:mimetic(tuft),02mo,243,0.9629629629629629,1.0,1.5192307692307692,0.5756222724365977,1.0
Loxl1,17:mimetic(tuft),18mo,162,0.9753086419753086,1.0,1.5192307692307692,0.5756222724365977,1.0
Loxl1,18:mimetic(neuroendo),02mo,87,0.9655172413793104,2.0,4.357142857142857,0.30914813637925764,0.7839536219676287
Loxl1,18:mimetic(neuroendo),18mo,123,0.991869918699187,2.0,4.357142857142857,0.30914813637925764,0.7839536219676287
Loxl1,19:mimetic(goblet),02mo,41,1.0,,0.0,1.0,1.0
Loxl1,19:mimetic(goblet),18mo,120,0.9833333333333333,3.5,0.0,1.0,1.0
Loxl1,1:capEC,02mo,588,0.9880952380952381,1.0,inf,0.017639809253691605,0.10212521146874087
Loxl1,1:capEC,18mo,497,1.0,,inf,0.017639809253691605,0.10212521146874087
Loxl1,20:mimetic(microfold),02mo,28,0.9642857142857143,2.0,inf,1.0,1.0
Loxl1,20:mimetic(microfold),18mo,19,1.0,,inf,1.0,1.0
Loxl1,2:venEC,02mo,173,0.9942196531791907,1.0,inf,1.0,1.0
Loxl1,2:venEC,18mo,78,1.0,,inf,1.0,1.0
Loxl1,3:capsFB,02mo,2598,0.07197844495765973,4.445043563842773,3.3902038903210685,4.8802103587178864e-33,1.073646278917935e-31
Loxl1,3:capsFB,18mo,1268,0.2082018927444795,2.917330741882324,3.3902038903210685,4.8802103587178864e-33,1.073646278917935e-31
Loxl1,4:intFB,02mo,2691,0.24674842066146413,2.9945733547210693,2.530067741784258,8.84926240173548e-48,9.734188641909028e-46
Loxl1,4:intFB,18mo,1880,0.4531914893617021,1.927042841911316,2.530067741784258,8.84926240173548e-48,9.734188641909028e-46
Loxl1,5:medFB,02mo,1841,0.8310700706137969,1.524115800857544,0.7262796970640107,2.8362435296016826e-05,0.0002599889902134876
Loxl1,5:medFB,18mo,2881,0.7813259284970496,1.3666666746139526,0.7262796970640107,2.8362435296016826e-05,0.0002599889902134876
Loxl1,6:MEC,02mo,160,0.4,2.1770832538604736,1.702020202020202,0.0034401734584298175,0.023651192526704994
Loxl1,6:MEC,18mo,634,0.5315457413249212,1.6666666269302368,1.702020202020202,0.0034401734584298175,0.023651192526704994
Loxl1,7:vSMC/PC,02mo,268,0.917910447761194,1.454545497894287,1.586221651690201,0.10109702767384782,0.4118767794119726
Loxl1,7:vSMC/PC,18mo,712,0.9466292134831461,1.263157844543457,1.586221651690201,0.10109702767384782,0.4118767794119726
Loxl1,8:nmSC,02mo,25,0.88,1.0,1.4181818181818182,0.694555932901101,1.0
Loxl1,8:nmSC,18mo,57,0.9122807017543859,2.0,1.4181818181818182,0.694555932901101,1.0
Loxl1,9:Fat,02mo,29,0.3793103448275862,3.555555582046509,1.2,0.8147331205642119,1.0
Loxl1,9:Fat,18mo,52,0.4230769230769231,1.8333333730697632,1.2,0.8147331205642119,1.0
Loxl2,0:arEC,02mo,205,0.9804878048780488,1.0,1.1741293532338308,1.0,1.0
Loxl2,0:arEC,18mo,120,0.9833333333333333,1.0,1.1741293532338308,1.0,1.0
Loxl2,10:aaTEC1,02mo,9,1.0,,0.0,1.0,1.0
Loxl2,10:aaTEC1,18mo,727,0.9972489683631361,1.0,0.0,1.0,1.0
Loxl2,11:aaTEC2,02mo,18,0.8888888888888888,1.0,2.0166666666666666,0.30740165743952347,0.7839536219676287
Loxl2,11:aaTEC2,18mo,257,0.9416342412451362,1.0,2.0166666666666666,0.30740165743952347,0.7839536219676287
Loxl2,12:cTEC,02mo,48,0.9375,1.0,7.2,0.029867728718410445,0.16427250795125745
Loxl2,12:cTEC,18mo,327,0.9908256880733946,1.0,7.2,0.029867728718410445,0.16427250795125745
Loxl2,12:early Pr,02mo,38,0.9736842105263158,1.0,9.64864864864865,0.18293057153816644,0.6097685717938881
Loxl2,12:early Pr,18mo,358,0.9972067039106145,1.0,9.64864864864865,0.18293057153816644,0.6097685717938881
Loxl2,13:mTEC1,02mo,579,0.9101899827288429,1.057692289352417,12.950664136622391,7.805612503085901e-17,1.2265962504849273e-15
Loxl2,13:mTEC1,18mo,1058,0.9924385633270322,1.0,12.950664136622391,7.805612503085901e-17,1.2265962504849273e-15
Loxl2,14:mTEC-prol,02mo,242,0.7933884297520661,1.3799999952316284,1.1188271604938271,0.6948525887200626,1.0
Loxl2,14:mTEC-prol,18mo,143,0.8111888111888111,1.2592592239379883,1.1188271604938271,0.6948525887200626,1.0
Loxl2,15:mTEC2,02mo,928,0.8793103448275862,1.4642857313156128,1.1428571428571428,0.47738645510558236,1.0
Loxl2,15:mTEC2,18mo,457,0.8927789934354485,1.40816330909729,1.1428571428571428,0.47738645510558236,1.0
Loxl2,16:mimetic(basal),02mo,123,0.991869918699187,1.0,0.319672131147541,0.43172006362190407,0.949784139968189
Loxl2,16:mimetic(basal),18mo,40,0.975,1.0,0.319672131147541,0.43172006362190407,0.949784139968189
Loxl2,17:mimetic(tuft),02mo,243,0.9917695473251029,1.0,inf,0.5188118811881188,1.0
Loxl2,17:mimetic(tuft),18mo,162,1.0,,inf,0.5188118811881188,1.0
Loxl2,18:mimetic(neuroendo),02mo,87,0.9310344827586207,1.0,4.481481481481482,0.06827238730329084,0.32712808008241795
Loxl2,18:mimetic(neuroendo),18mo,123,0.983739837398374,1.0,4.481481481481482,0.06827238730329084,0.32712808008241795
Loxl2,19:mimetic(goblet),02mo,41,1.0,,0.0,1.0,1.0
Loxl2,19:mimetic(goblet),18mo,120,0.9916666666666667,1.0,0.0,1.0,1.0
Loxl2,1:capEC,02mo,588,0.9931972789115646,1.75,0.3713850837138508,0.09985049869892407,0.4118767794119726
Loxl2,1:capEC,18mo,497,0.9818913480885312,1.1111111640930176,0.3713850837138508,0.09985049869892407,0.4118767794119726
Loxl2,20:mimetic(microfold),02mo,28,0.9642857142857143,5.0,inf,1.0,1.0
Loxl2,20:mimetic(microfold),18mo,19,1.0,,inf,1.0,1.0
Loxl2,2:venEC,02mo,173,0.9942196531791907,1.0,0.22093023255813954,0.22871213939423035,0.679955009009874
Loxl2,2:venEC,18mo,78,0.9743589743589743,1.0,0.22093023255813954,0.22871213939423035,0.679955009009874
Loxl2,3:capsFB,02mo,2598,0.6674364896073903,1.3645833730697632,1.4638612478239377,6.257969264439627e-07,6.88376619088359e-06
Loxl2,3:capsFB,18mo,1268,0.7460567823343849,1.3354036808013916,1.4638612478239377,6.257969264439627e-07,6.88376619088359e-06
Loxl2,4:intFB,02mo,2691,0.7004830917874396,1.3424317836761475,2.2430518959789207,3.5721800002058276e-28,6.548996667044017e-27
Loxl2,4:intFB,18mo,1880,0.8398936170212766,1.1661128997802734,2.2430518959789207,3.5721800002058276e-28,6.548996667044017e-27
Loxl2,5:medFB,02mo,1841,0.7957631721890277,1.210106372833252,3.38582693051329,2.0544459822108387e-41,7.532968601439741e-40
Loxl2,5:medFB,18mo,2881,0.9295383547379382,1.0689655542373657,3.38582693051329,2.0544459822108387e-41,7.532968601439741e-40
Loxl2,6:MEC,02mo,160,0.76875,1.1891891956329346,2.6791158536585367,3.112079845387263e-05,0.00026332983307123
Loxl2,6:MEC,18mo,634,0.8990536277602523,1.046875,2.6791158536585367,3.112079845387263e-05,0.00026332983307123
Loxl2,7:vSMC/PC,02mo,268,0.9552238805970149,1.4166666269302368,3.290625,0.0066539855788176,0.04305520080411388
Loxl2,7:vSMC/PC,18mo,712,0.9859550561797753,1.100000023841858,3.290625,0.0066539855788176,0.04305520080411388
Loxl2,8:nmSC,02mo,25,1.0,,0.0,0.30802831235063394,0.7839536219676287
Loxl2,8:nmSC,18mo,57,0.9298245614035088,1.75,0.0,0.30802831235063394,0.7839536219676287
Loxl2,9:Fat,02mo,29,0.896551724137931,1.0,1.3846153846153846,0.6965452885506183,1.0
Loxl2,9:Fat,18mo,52,0.9230769230769231,1.25,1.3846153846153846,0.6965452885506183,1.0
Loxl3,0:arEC,02mo,205,0.9902439024390244,1.0,inf,0.5327635327635328,1.0
Loxl3,0:arEC,18mo,120,1.0,,inf,0.5327635327635328,1.0
Loxl3,10:aaTEC1,02mo,9,0.8888888888888888,1.0,30.166666666666668,0.04811953004550696,0.25205468119075075
Loxl3,10:aaTEC1,18mo,727,0.9958734525447043,1.0,30.166666666666668,0.04811953004550696,0.25205468119075075
Loxl3,11:aaTEC2,02mo,18,0.8888888888888888,1.0,3.890625,0.1332435959593757,0.5054067432941838
Loxl3,11:aaTEC2,18mo,257,0.9688715953307393,1.25,3.890625,0.1332435959593757,0.5054067432941838
Loxl3,12:cTEC,02mo,48,0.9791666666666666,1.0,6.9361702127659575,0.2399144385026738,0.6944891640866873
Loxl3,12:cTEC,18mo,327,0.9969418960244648,1.0,6.9361702127659575,0.2399144385026738,0.6944891640866873
Loxl3,12:early Pr,02mo,38,1.0,,0.0,1.0,1.0
Loxl3,12:early Pr,18mo,358,0.9832402234636871,1.1666666269302368,0.0,1.0,1.0
Loxl3,13:mTEC1,02mo,579,0.9896373056994818,1.0,1.5721765145848916,0.40046083220862677,0.9372487562329563
Loxl3,13:mTEC1,18mo,1058,0.9933837429111532,1.1428571939468384,1.5721765145848916,0.40046083220862677,0.9372487562329563
Loxl3,14:mTEC-prol,02mo,242,0.9834710743801653,1.0,2.3865546218487395,0.6551033582423729,1.0
Loxl3,14:mTEC-prol,18mo,143,0.993006993006993,1.0,2.3865546218487395,0.6551033582423729,1.0
Loxl3,15:mTEC2,02mo,928,0.9019396551724138,1.3186813592910767,1.3108721624850657,0.198245555839886,0.6413826806584548
Loxl3,15:mTEC2,18mo,457,0.9234135667396062,1.3142857551574707,1.3108721624850657,0.198245555839886,0.6413826806584548
Loxl3,16:mimetic(basal),02mo,123,0.991869918699187,1.0,inf,1.0,1.0
Loxl3,16:mimetic(basal),18mo,40,1.0,,inf,1.0,1.0
Loxl3,17:mimetic(tuft),02mo,243,1.0,,0.0,0.4,0.9372487562329563
Loxl3,17:mimetic(tuft),18mo,162,0.9938271604938271,1.0,0.0,0.4,0.9372487562329563
Loxl3,18:mimetic(neuroendo),02mo,87,0.9885057471264368,1.0,1.4186046511627908,1.0,1.0
Loxl3,18:mimetic(neuroendo),18mo,123,0.991869918699187,1.0,1.4186046511627908,1.0,1.0
Loxl3,19:mimetic(goblet),02mo,41,1.0,,,1.0,1.0
Loxl3,19:mimetic(goblet),18mo,120,1.0,,,1.0,1.0
Loxl3,1:capEC,02mo,588,0.9982993197278912,1.0,0.8449744463373083,1.0,1.0
Loxl3,1:capEC,18mo,497,0.9979879275653923,1.0,0.8449744463373083,1.0,1.0
Loxl3,20:mimetic(microfold),02mo,28,0.7857142857142857,1.3333333730697632,4.909090909090909,0.2154117522306154,0.6727956556019365
Loxl3,20:mimetic(microfold),18mo,19,0.9473684210526315,1.0,4.909090909090909,0.2154117522306154,0.6727956556019365
Loxl3,2:venEC,02mo,173,0.9884393063583815,1.0,inf,1.0,1.0
Loxl3,2:venEC,18mo,78,1.0,,inf,1.0,1.0
Loxl3,3:capsFB,02mo,2598,0.7498075442648191,1.1984615325927734,1.792458184144542,2.3365571176358113e-11,3.2127660367492405e-10
Loxl3,3:capsFB,18mo,1268,0.8430599369085173,1.1105527877807617,1.792458184144542,2.3365571176358113e-11,3.2127660367492405e-10
Loxl3,4:intFB,02mo,2691,0.7814938684503902,1.1479592323303223,1.6891225483124697,4.995028950356101e-11,6.105035383768567e-10
Loxl3,4:intFB,18mo,1880,0.8579787234042553,1.1385767459869385,1.6891225483124697,4.995028950356101e-11,6.105035383768567e-10
Loxl3,5:medFB,02mo,1841,0.8593155893536122,1.1042470932006836,1.5088652482269505,8.28828055415502e-06,8.28828055415502e-05
Loxl3,5:medFB,18mo,2881,0.9021173203748698,1.0815602540969849,1.5088652482269505,8.28828055415502e-06,8.28828055415502e-05
Loxl3,6:MEC,02mo,160,0.925,1.0833333730697632,1.1428571428571428,0.7252060457276004,1.0
Loxl3,6:MEC,18mo,634,0.9337539432176656,1.0714285373687744,1.1428571428571428,0.7252060457276004,1.0
Loxl3,7:vSMC/PC,02mo,268,0.9253731343283582,1.0,1.1155913978494623,0.6743097864765181,1.0
Loxl3,7:vSMC/PC,18mo,712,0.9325842696629213,1.0833333730697632,1.1155913978494623,0.6743097864765181,1.0
Loxl3,8:nmSC,02mo,25,0.92,1.0,0.7391304347826086,1.0,1.0
Loxl3,8:nmSC,18mo,57,0.8947368421052632,1.0,0.7391304347826086,1.0,1.0
Loxl3,9:Fat,02mo,29,0.9310344827586207,1.0,0.8888888888888888,1.0,1.0
Loxl3,9:Fat,18mo,52,0.9230769230769231,1.25,0.8888888888888888,1.0,1.0
Loxl4,0:arEC,02mo,205,1.0,,,1.0,1.0
Loxl4,0:arEC,18mo,120,1.0,,,1.0,1.0
Loxl4,10:aaTEC1,02mo,9,1.0,,0.0,1.0,1.0
Loxl4,10:aaTEC1,18mo,727,0.9958734525447043,1.0,0.0,1.0,1.0
Loxl4,11:aaTEC2,02mo,18,1.0,,,1.0,1.0
Loxl4,11:aaTEC2,18mo,257,1.0,,,1.0,1.0
Loxl4,12:cTEC,02mo,48,1.0,,,1.0,1.0
Loxl4,12:cTEC,18mo,327,1.0,,,1.0,1.0
Loxl4,12:early Pr,02mo,38,1.0,,,1.0,1.0
Loxl4,12:early Pr,18mo,358,1.0,,,1.0,1.0
Loxl4,13:mTEC1,02mo,579,0.9948186528497409,1.0,0.9131944444444444,1.0,1.0
Loxl4,13:mTEC1,18mo,1058,0.994328922495274,1.0,0.9131944444444444,1.0,1.0
Loxl4,14:mTEC-prol,02mo,242,0.9793388429752066,1.2000000476837158,2.9957805907172994,0.418667634090105,0.949784139968189
Loxl4,14:mTEC-prol,18mo,143,0.993006993006993,1.0,2.9957805907172994,0.418667634090105,0.949784139968189
Loxl4,15:mTEC2,02mo,928,0.990301724137931,1.0,1.4820457018498367,0.7605835405714145,1.0
Loxl4,15:mTEC2,18mo,457,0.9934354485776805,1.0,1.4820457018498367,0.7605835405714145,1.0
Loxl4,16:mimetic(basal),02mo,123,1.0,,,1.0,1.0
Loxl4,16:mimetic(basal),18mo,40,1.0,,,1.0,1.0
Loxl4,17:mimetic(tuft),02mo,243,1.0,,,1.0,1.0
Loxl4,17:mimetic(tuft),18mo,162,1.0,,,1.0,1.0
Loxl4,18:mimetic(neuroendo),02mo,87,1.0,,,1.0,1.0
Loxl4,18:mimetic(neuroendo),18mo,123,1.0,,,1.0,1.0
Loxl4,19:mimetic(goblet),02mo,41,1.0,,0.0,1.0,1.0
Loxl4,19:mimetic(goblet),18mo,120,0.9916666666666667,1.0,0.0,1.0,1.0
Loxl4,1:capEC,02mo,588,1.0,,,1.0,1.0
