sample_id	age_group	cell_type_subset	expression	group	marker
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.8545619	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.5704315	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.63512	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.032004	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.297829	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5148231	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.3291097	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0611737	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.7916206	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.1906983	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.3487706	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.850784	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.229387	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.1349573	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.5282953	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.641556	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.6647761	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7675909	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	3.125127	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.95966613	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.5967594	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0000975	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.2942934	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.513164	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7182144	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1244651	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.9388294	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2699246	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.4954638	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.2650754	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0410478	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.4626076	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9154516	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.5016708	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2192125	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.379798	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9125514	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.429744	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.4041307	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
