group	gene	subset	sample_id	age_group	n_cells	raw_counts_sum	total_counts_sum	cpm	log2_cpm_plus1	n_detecting_cells	detection_rate	mean_nonzero_expression	expected_direction
capsFB	Lox	annotated_all	mo02_CD45neg1_d0	02mo	686	399.0	3971966.0	100.45403208385973	6.664682392984561	233	0.3396501457725947	1.7124463319778442	down
capsFB	Lox	annotated_all	mo02_CD45neg2_d0	02mo	577	285.0	3582356.0	79.55658231621872	6.3319305719257635	178	0.30849220103986136	1.601123571395874	down
capsFB	Lox	annotated_all	mo02_FB_d0	02mo	1335	910.0	11079323.0	82.13498243529862	6.37738377243643	507	0.3797752808988764	1.7948718070983887	down
capsFB	Lox	annotated_all	mo18_CD45neg1_d0	18mo	172	16.0	833897.0	19.18702189838793	4.3353561868676636	15	0.0872093023255814	1.0666667222976685	down
capsFB	Lox	annotated_all	mo18_CD45neg2_d0	18mo	274	34.0	1133308.0	30.00067060322525	4.954227518950851	30	0.10948905109489052	1.1333333253860474	down
capsFB	Lox	annotated_all	mo18_FB_d0	18mo	822	170.0	3572277.0	47.58869482965627	5.602548774758246	134	0.1630170316301703	1.2686567306518555	down
capsFB	Lox	strict_marker_positive	mo02_CD45neg1_d0	02mo	331	233.0	1988283.0	117.18653732894161	6.884921896737339	131	0.3957703927492447	1.7786259651184082	down
capsFB	Lox	strict_marker_positive	mo02_CD45neg2_d0	02mo	316	181.0	2039489.0	88.74772063002057	6.487803393404953	107	0.33860759493670883	1.6915887594223022	down
capsFB	Lox	strict_marker_positive	mo02_FB_d0	02mo	1062	781.0	9287673.0	84.0899545020588	6.410916916040574	424	0.3992467043314501	1.8419811725616455	down
capsFB	Lox	strict_marker_positive	mo18_CD45neg1_d0	18mo	57	2.0	290650.0	6.881128505074832	2.9784022251265574	2	0.03508771929824561	1.0	down
capsFB	Lox	strict_marker_positive	mo18_CD45neg2_d0	18mo	95	15.0	405966.0	36.94890705132943	5.245986430743309	14	0.14736842105263157	1.0714285373687744	down
capsFB	Lox	strict_marker_positive	mo18_FB_d0	18mo	447	104.0	2132959.0	48.75855560280343	5.636872702242593	80	0.1789709172259508	1.2999999523162842	down
medFB	Loxl1	annotated_all	mo02_CD45neg1_d0	02mo	322	90.0	1447062.0	62.19498542564174	5.981738178786844	59	0.18322981366459629	1.5254237651824951	up
medFB	Loxl1	annotated_all	mo02_CD45neg2_d0	02mo	277	80.0	1318122.0	60.69240935209336	5.947021085659616	45	0.1624548736462094	1.7777777910232544	up
medFB	Loxl1	annotated_all	mo02_FB_d0	02mo	1242	304.0	8823261.0	34.454381435616604	5.147892020937266	207	0.16666666666666666	1.4685990810394287	up
medFB	Loxl1	annotated_all	mo18_CD45neg1_d0	18mo	173	51.0	642687.0	79.35433578087	6.3283039662151905	39	0.2254335260115607	1.307692289352417	up
medFB	Loxl1	annotated_all	mo18_CD45neg2_d0	18mo	313	99.0	1050618.0	94.23025305106137	6.573348061206453	66	0.2108626198083067	1.5	up
medFB	Loxl1	annotated_all	mo18_FB_d0	18mo	2395	711.0	7218726.0	98.49383395352588	6.6365352135052875	525	0.21920668058455114	1.354285717010498	up
medFB	Loxl1	strict_marker_positive	mo02_CD45neg1_d0	02mo	206	52.0	1015188.0	51.22203966161933	5.706586901680918	35	0.16990291262135923	1.485714316368103	up
medFB	Loxl1	strict_marker_positive	mo02_CD45neg2_d0	02mo	187	65.0	943644.0	68.88190885545819	6.126847111537727	34	0.18181818181818182	1.9117647409439087	up
medFB	Loxl1	strict_marker_positive	mo02_FB_d0	02mo	1081	262.0	7827664.0	33.47103299272938	5.107312627452653	180	0.16651248843663274	1.4555555582046509	up
medFB	Loxl1	strict_marker_positive	mo18_CD45neg1_d0	18mo	85	30.0	315183.0	95.18279856464339	6.587706998815621	21	0.24705882352941178	1.4285714626312256	up
medFB	Loxl1	strict_marker_positive	mo18_CD45neg2_d0	18mo	132	50.0	462226.0	108.17219282342404	6.770461624929598	33	0.25	1.5151515007019043	up
medFB	Loxl1	strict_marker_positive	mo18_FB_d0	18mo	1528	497.0	4863441.0	102.19102071969209	6.689173628299712	354	0.23167539267015708	1.4039547443389893	up
medFB	Loxl2	annotated_all	mo02_CD45neg1_d0	02mo	322	62.0	1447062.0	42.84543440433098	5.454354718511622	58	0.18012422360248448	1.0689655542373657	down
medFB	Loxl2	annotated_all	mo02_CD45neg2_d0	02mo	277	70.0	1318122.0	53.105858183081686	5.757712901769899	57	0.20577617328519857	1.2280701398849487	down
medFB	Loxl2	annotated_all	mo02_FB_d0	02mo	1242	323.0	8823261.0	36.60778027534264	5.23295925156442	261	0.21014492753623187	1.2375478744506836	down
medFB	Loxl2	annotated_all	mo18_CD45neg1_d0	18mo	173	14.0	642687.0	21.783543155532943	4.509920218378798	13	0.07514450867052024	1.076923131942749	down
medFB	Loxl2	annotated_all	mo18_CD45neg2_d0	18mo	313	23.0	1050618.0	21.891876971458704	4.516763853385949	20	0.06389776357827476	1.149999976158142	down
medFB	Loxl2	annotated_all	mo18_FB_d0	18mo	2395	180.0	7218726.0	24.935147836335663	4.696836688307258	170	0.0709812108559499	1.058823585510254	down
medFB	Loxl2	strict_marker_positive	mo02_CD45neg1_d0	02mo	206	44.0	1015188.0	43.34172586752404	5.470593018725005	40	0.1941747572815534	1.100000023841858	down
medFB	Loxl2	strict_marker_positive	mo02_CD45neg2_d0	02mo	187	57.0	943644.0	60.40413545786334	5.940263916665882	45	0.24064171122994651	1.2666666507720947	down
medFB	Loxl2	strict_marker_positive	mo02_FB_d0	02mo	1081	290.0	7827664.0	37.04808995378443	5.249752125925802	235	0.21739130434782608	1.2340425252914429	down
medFB	Loxl2	strict_marker_positive	mo18_CD45neg1_d0	18mo	85	7.0	315183.0	22.20931966508346	4.536632328461801	7	0.08235294117647059	1.0	down
medFB	Loxl2	strict_marker_positive	mo18_CD45neg2_d0	18mo	132	10.0	462226.0	21.63443856468481	4.500447616627058	9	0.06818181818181818	1.1111111640930176	down
medFB	Loxl2	strict_marker_positive	mo18_FB_d0	18mo	1528	126.0	4863441.0	25.90758271766842	4.749940885052782	119	0.07787958115183247	1.058823585510254	down
mTEC1	Loxl2	annotated_all	mo02_CD45neg1_d0	02mo	300	27.0	2732240.0	9.882001581120253	3.443872038016784	26	0.08666666666666667	1.0384615659713745	down
mTEC1	Loxl2	annotated_all	mo02_CD45neg2_d0	02mo	279	28.0	2748753.0	10.18643726809939	3.483678725119559	26	0.0931899641577061	1.076923131942749	down
mTEC1	Loxl2	annotated_all	mo18_CD45neg1_d0	18mo	289	1.0	1954067.0	0.5117531793945653	0.5962226131498414	1	0.0034602076124567475	1.0	down
mTEC1	Loxl2	annotated_all	mo18_CD45neg2_d0	18mo	764	7.0	4846590.0	1.4443144561433914	1.2894298969143736	7	0.009162303664921465	1.0	down
mTEC1	Loxl2	strict_marker_positive	mo02_CD45neg1_d0	02mo	257	26.0	2345017.0	11.087339665341446	3.595424847832422	25	0.09727626459143969	1.0399999618530273	down
mTEC1	Loxl2	strict_marker_positive	mo02_CD45neg2_d0	02mo	250	26.0	2445240.0	10.632903109715201	3.540139275905634	24	0.096	1.0833333730697632	down
mTEC1	Loxl2	strict_marker_positive	mo18_CD45neg1_d0	18mo	275	1.0	1883181.0	0.5310164025656589	0.6144897392540114	1	0.0036363636363636364	1.0	down
mTEC1	Loxl2	strict_marker_positive	mo18_CD45neg2_d0	18mo	728	6.0	4579662.0	1.3101403553362672	1.2079805069643679	6	0.008241758241758242	1.0	down
