annotation_level,cell_type_or_subtype,gene,sample,stage,n_cells,gene_counts,total_counts,cpm,log2_cpm_plus1,log2FoldChange,padj,direction,selection_reason
subtype,3:capsFB,Lox,mo02_CD45neg1_d0,02mo,686,399.0,3971966.0,100.45403208385973,6.664682392984561,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,3:capsFB,Lox,mo02_CD45neg2_d0,02mo,577,285.0,3582356.0,79.55658231621872,6.3319305719257635,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,3:capsFB,Lox,mo02_FB_d0,02mo,1335,910.0,11079323.0,82.13498243529862,6.37738377243643,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,3:capsFB,Lox,mo18_CD45neg1_d0,18mo,172,16.0,833897.0,19.18702189838793,4.3353561868676636,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,3:capsFB,Lox,mo18_CD45neg2_d0,18mo,274,34.0,1133308.0,30.00067060322525,4.954227518950851,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,3:capsFB,Lox,mo18_FB_d0,18mo,822,170.0,3572277.0,47.58869482965627,5.602548774758246,-1.461983266265079,7.52478034885109e-05,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo02_CD45neg1_d0,02mo,322,90.0,1447062.0,62.19498542564174,5.981738178786844,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo02_CD45neg2_d0,02mo,277,80.0,1318122.0,60.69240935209336,5.947021085659616,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo02_FB_d0,02mo,1242,304.0,8823261.0,34.454381435616604,5.147892020937266,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo18_CD45neg1_d0,18mo,173,51.0,642687.0,79.35433578087,6.3283039662151905,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo18_CD45neg2_d0,18mo,313,99.0,1050618.0,94.23025305106137,6.573348061206453,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl1,mo18_FB_d0,18mo,2395,711.0,7218726.0,98.49383395352588,6.6365352135052875,0.7505055180833843,0.022557597703736,up_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo02_CD45neg1_d0,02mo,322,62.0,1447062.0,42.84543440433098,5.454354718511622,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo02_CD45neg2_d0,02mo,277,70.0,1318122.0,53.105858183081686,5.757712901769899,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo02_FB_d0,02mo,1242,323.0,8823261.0,36.60778027534264,5.23295925156442,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo18_CD45neg1_d0,18mo,173,14.0,642687.0,21.783543155532943,4.509920218378798,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo18_CD45neg2_d0,18mo,313,23.0,1050618.0,21.891876971458704,4.516763853385949,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,5:medFB,Loxl2,mo18_FB_d0,18mo,2395,180.0,7218726.0,24.935147836335663,4.696836688307258,-0.9954827176484546,0.0067177089389437,down_in_aged,requested_key_finding
subtype,13:mTEC1,Loxl2,mo02_CD45neg1_d0,02mo,300,27.0,2732240.0,9.882001581120253,3.443872038016784,-3.2911494397505088,0.0009563256575355,down_in_aged,requested_key_finding
subtype,13:mTEC1,Loxl2,mo02_CD45neg2_d0,02mo,279,28.0,2748753.0,10.18643726809939,3.483678725119559,-3.2911494397505088,0.0009563256575355,down_in_aged,requested_key_finding
subtype,13:mTEC1,Loxl2,mo18_CD45neg1_d0,18mo,289,1.0,1954067.0,0.5117531793945653,0.5962226131498414,-3.2911494397505088,0.0009563256575355,down_in_aged,requested_key_finding
subtype,13:mTEC1,Loxl2,mo18_CD45neg2_d0,18mo,764,7.0,4846590.0,1.4443144561433914,1.2894298969143736,-3.2911494397505088,0.0009563256575355,down_in_aged,requested_key_finding
cell_type,FB,Lox,mo02_CD45neg1_d0,02mo,1709,925.0,8785801.0,105.28351370580782,6.731774018633639,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Lox,mo02_CD45neg2_d0,02mo,1473,775.0,8033417.0,96.4720242955146,6.606916301426056,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Lox,mo02_FB_d0,02mo,3977,2152.0,30536164.0,70.47381589907626,6.159342908929729,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Lox,mo18_CD45neg1_d0,18mo,431,55.0,1877507.0,29.294165081674794,4.92096803979449,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Lox,mo18_CD45neg2_d0,18mo,775,93.0,2802158.0,33.188706703904636,5.095447944182412,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Lox,mo18_FB_d0,18mo,4875,982.0,16574842.0,59.24641694925357,5.912803537005793,-1.2949016364588477,4.363802253793245e-05,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo02_CD45neg1_d0,02mo,1709,4153.0,8785801.0,472.6945215353728,8.887813176451358,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo02_CD45neg2_d0,02mo,1473,3794.0,8033417.0,472.2772389382999,8.886541730780982,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo02_FB_d0,02mo,3977,9378.0,30536164.0,307.11126649699685,8.267307627173622,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo18_CD45neg1_d0,18mo,431,666.0,1877507.0,354.7257080799166,8.474621430632675,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo18_CD45neg2_d0,18mo,775,888.0,2802158.0,316.8986188501862,8.312422938297434,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl1,mo18_FB_d0,18mo,4875,4272.0,16574842.0,257.74001344929866,8.01535936997041,-0.6157903047606486,0.0143501963005337,down_in_aged,other_FDR_significant
cell_type,FB,Loxl2,mo02_CD45neg1_d0,02mo,1709,579.0,8785801.0,65.90178857909484,6.063972875854214,-0.5168644214764081,0.0208187989521313,down_in_aged,other_FDR_significant
