gene,cell_type_subset,stage,n_cells,mean_before,mean_after,before_direction,after_direction,direction_flip,mannwhitneyu_statistic,mannwhitneyu_pvalue,rank_biserial_18mo_vs_02mo
Lox,3:capsFB,02mo,2598,0.4886929392814636,0.48946254705406883,down,down,False,433353.0,9.398466899794403e-304,-0.7369045103853242
Lox,3:capsFB,18mo,1268,0.21095150709152222,0.2745175909866153,down,down,False,433353.0,9.398466899794403e-304,-0.7369045103853242
Lox,4:intFB,02mo,2691,0.6213582754135132,0.5825791000342488,down,down,False,1480173.0,2.9400241198125624e-126,-0.4148449915794966
Lox,4:intFB,18mo,1880,0.4295642673969269,0.41124882061916623,down,down,False,1480173.0,2.9400241198125624e-126,-0.4148449915794966
Lox,5:medFB,02mo,1841,0.04808342829346657,0.06184828925285494,up,up,False,4487830.0,0.0,0.6922687951046027
Lox,5:medFB,18mo,2881,0.08718261122703552,0.09212323511910833,up,up,False,4487830.0,0.0,0.6922687951046027
Lox,9:Fat,02mo,29,0.20488744974136353,0.38312542111659575,down,down,False,382.0,0.0002525409387934626,-0.49336870026525204
Lox,9:Fat,18mo,52,0.153521329164505,0.2825562281378265,down,down,False,382.0,0.0002525409387934626,-0.49336870026525204
Loxl1,3:capsFB,02mo,2598,1.9725043773651123,1.9450023884217946,down,down,False,745354.0,1.3101003711695016e-168,-0.5474837475077893
Loxl1,3:capsFB,18mo,1268,1.6642428636550903,1.7158350630319128,down,down,False,745354.0,1.3101003711695016e-168,-0.5474837475077893
Loxl1,4:intFB,02mo,2691,1.3408317565917969,1.3322097207348207,down,down,False,1366259.0,1.067571735978642e-154,-0.4598784759284297
Loxl1,4:intFB,18mo,1880,1.035536766052246,1.0099984120615688,down,down,False,1366259.0,1.067571735978642e-154,-0.4598784759284297
Loxl1,5:medFB,02mo,1841,0.21936509013175964,0.2640571834465837,up,up,False,4474323.0,0.0,0.6871755819892491
Loxl1,5:medFB,18mo,2881,0.3768094778060913,0.3900365222945994,up,up,False,4474323.0,0.0,0.6871755819892491
Loxl1,9:Fat,02mo,29,1.1639107465744019,1.2126188418012511,down,down,False,243.0,4.931296380852598e-07,-0.6777188328912467
Loxl1,9:Fat,18mo,52,0.9458042979240417,0.9805463427584649,down,down,False,243.0,4.931296380852598e-07,-0.6777188328912467
Loxl2,3:capsFB,02mo,2598,0.4033718705177307,0.41214310404710713,down,down,False,1115651.0,8.087142815687458e-60,-0.3226705570652504
Loxl2,3:capsFB,18mo,1268,0.38781091570854187,0.37821820910700504,down,down,False,1115651.0,8.087142815687458e-60,-0.3226705570652504
Loxl2,4:intFB,02mo,2691,0.3649318814277649,0.3582359282599063,down,down,False,707071.0,0.0,-0.7204744736197095
Loxl2,4:intFB,18mo,1880,0.2420402318239212,0.24084111709604686,down,down,False,707071.0,0.0,-0.7204744736197095
Loxl2,5:medFB,02mo,1841,0.23728731274604797,0.23181113820511123,down,down,False,282887.0,0.0,-0.8933291050149502
Loxl2,5:medFB,18mo,2881,0.10849885642528534,0.11788703988510589,down,down,False,282887.0,0.0,-0.8933291050149502
Loxl2,9:Fat,02mo,29,0.12686724960803986,0.22191358510756537,down,down,False,464.0,0.004346119311265513,-0.3846153846153846
Loxl2,9:Fat,18mo,52,0.06687144935131073,0.19419186837270055,down,down,False,464.0,0.004346119311265513,-0.3846153846153846
Loxl3,3:capsFB,02mo,2598,0.2866162955760956,0.27891721156896154,down,down,False,847055.0,3.740864125952029e-133,-0.48573945500421334
Loxl3,3:capsFB,18mo,1268,0.21911683678627014,0.23895686557030785,down,down,False,847055.0,3.740864125952029e-133,-0.48573945500421334
Loxl3,4:intFB,02mo,2691,0.25097545981407166,0.2547239918160328,down,down,False,1465730.0,1.0570080352497957e-129,-0.4205547253650861
Loxl3,4:intFB,18mo,1880,0.21541403234004974,0.21556757694561443,down,down,False,1465730.0,1.0570080352497957e-129,-0.4205547253650861
Loxl3,5:medFB,02mo,1841,0.15490089356899261,0.16276971074876814,down,down,False,2084156.0,1.854861678965386e-35,-0.21410744994127928
Loxl3,5:medFB,18mo,2881,0.1533183604478836,0.1523773579254178,down,down,False,2084156.0,1.854861678965386e-35,-0.21410744994127928
Loxl3,9:Fat,02mo,29,0.07163970917463303,0.157449852482453,up,down,True,657.0,0.3417935414599471,-0.12864721485411146
Loxl3,9:Fat,18mo,52,0.1416713297367096,0.14273405404446732,up,down,True,657.0,0.3417935414599471,-0.12864721485411146
Loxl4,3:capsFB,02mo,2598,0.0098918117582798,0.00877488930496804,down,up,True,2038578.0,2.9917311437546022e-33,0.23765308427011322
Loxl4,3:capsFB,18mo,1268,0.009242169559001923,0.011520608982781315,down,up,True,2038578.0,2.9917311437546022e-33,0.23765308427011322
Loxl4,4:intFB,02mo,2691,0.0098955649882555,0.009658068622047489,down,down,False,740164.0,0.0,-0.7073918578081391
Loxl4,4:intFB,18mo,1880,0.004723839461803436,0.003792434531384449,down,down,False,740164.0,0.0,-0.7073918578081391
Loxl4,5:medFB,02mo,1841,0.005115177948027849,0.005796805809758479,down,down,False,1817869.0,1.8668317049205695e-74,-0.3145188248467502
Loxl4,5:medFB,18mo,2881,0.002870637457817793,0.004433461234676792,down,down,False,1817869.0,1.8668317049205695e-74,-0.3145188248467502
Loxl4,9:Fat,02mo,29,0.0,0.004590220035107893,up,down,True,460.0,0.0038366815365534165,-0.389920424403183
Loxl4,9:Fat,18mo,52,0.039226651191711426,0.0022291926739497394,up,down,True,460.0,0.0038366815365534165,-0.389920424403183
