analysis_group	gene	age_week	n_sample_proxy	n_cells	mean_detection_rate	median_detection_rate	mean_log2CPM1	median_log2CPM1
broad_TEC	Lox	1	5	433	0.2568396148843163	0.26143790849673204	3.6649267256676454	3.9537046157853006
broad_TEC	Lox	4	5	599	0.3082709532641369	0.2839506172839506	4.624508621541606	4.577985810825615
broad_TEC	Lox	16	5	318	0.2730773327325052	0.2857142857142857	4.509255037756061	4.559032985095948
broad_TEC	Lox	32	5	496	0.26566012319821464	0.3023255813953488	5.045412889043673	5.211371834509486
broad_TEC	Lox	52	5	481	0.2575752025752026	0.25	3.7933165058216174	4.599869325419751
broad_TEC	Loxl1	1	5	433	0.8746573065293578	0.9207920792079208	8.000432611848431	7.848325620231098
broad_TEC	Loxl1	4	5	599	0.8208224883728292	0.8108108108108109	7.8432976997848325	7.809210996025477
broad_TEC	Loxl1	16	5	318	0.7805414768961567	0.7959183673469388	7.582901417151118	7.59608945358089
broad_TEC	Loxl1	32	5	496	0.750201860386303	0.7816091954022989	7.374806624501526	7.160617432622544
broad_TEC	Loxl1	52	5	481	0.8604002479002478	0.8269230769230769	7.572148284682799	7.537505784367541
broad_TEC	Loxl2	1	5	433	0.3407504614465764	0.3486238532110092	3.6999656006194583	3.677015635393844
broad_TEC	Loxl2	4	5	599	0.23462869104437994	0.24074074074074073	3.2951990400135878	3.208147464772054
broad_TEC	Loxl2	16	5	318	0.13103636034670516	0.14285714285714285	2.053773248142174	2.30200668487697
broad_TEC	Loxl2	32	5	496	0.1000427890163255	0.10344827586206896	2.275484043927593	2.2507342137323056
broad_TEC	Loxl2	52	5	481	0.09387788137788138	0.07692307692307693	1.6731790083137625	1.6834643761412522
broad_TEC	Loxl3	1	5	433	0.3103387365180123	0.31666666666666665	5.026127673054771	4.959009778709037
broad_TEC	Loxl3	4	5	599	0.22753780039957267	0.26126126126126126	5.214259841576668	4.903774006718457
broad_TEC	Loxl3	16	5	318	0.18827617418750422	0.21621621621621623	4.65318611177751	4.584112541393563
broad_TEC	Loxl3	32	5	496	0.23508574551076555	0.22413793103448276	5.197399589073971	5.1588430874311095
broad_TEC	Loxl3	52	5	481	0.2570073445073445	0.22916666666666666	5.373507969114189	5.094268938794028
broad_TEC	Loxl4	1	5	433	0.6897428841642934	0.6633663366336634	5.68160668401319	5.712788595751136
broad_TEC	Loxl4	4	5	599	0.567257275825384	0.5466666666666666	5.542776310115396	5.569167519686078
broad_TEC	Loxl4	16	5	318	0.6200910410762628	0.5675675675675675	5.995156286211572	5.951447288302546
broad_TEC	Loxl4	32	5	496	0.5854737364761423	0.5348837209302325	5.471095621597952	5.585722378079924
broad_TEC	Loxl4	52	5	481	0.5820611795611795	0.5844155844155844	5.29988050066074	5.288003923093624
cTEC	Lox	1	5	141	0.2873449131513648	0.3076923076923077	2.7648534088659384	2.8980580718107056
cTEC	Lox	4	5	175	0.44155467720685115	0.3695652173913043	5.180940110587176	5.02545983678374
cTEC	Lox	16	5	81	0.4124012158054711	0.3191489361702128	3.3131008894053964	3.0881390849364974
cTEC	Lox	32	5	144	0.2991956959449219	0.23076923076923078	4.787086537738078	5.598370699859806
