analysis_group	gene	age_week	sample_id	sort_day	sort_type_labels_in_group	subtype_labels_in_group	n_cells	n_detecting_cells	detection_rate	summed_raw_counts	raw_library_sum	CPM	log2CPM1	replicate_caution
broad_TEC	Lox	1	sort_day_1	1	cTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Tuft-like mTEC	10	1	0.1	89.0	30170823.0	2.9498698129646646	1.9818051030908816	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	1	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	153	40	0.26143790849673204	2546.0	327893570.0	7.76471462981113	3.1317071190671264	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	1	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	101	41	0.40594059405940597	5486.0	175139044.0	31.32368359850132	5.014519711494097	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	1	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC	60	20	0.3333333333333333	2305.0	128527784.0	17.933865567930432	4.242897078900819	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	1	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC	109	20	0.1834862385321101	2745.0	189379328.0	14.494718240842	3.9537046157853006	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	4	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;sTEC	19	4	0.21052631578947367	615.0	21784953.0	28.2304946905325	4.869402340094921	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	4	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	157	69	0.4394904458598726	8549.0	253255005.0	33.75648982731852	5.119210481860384	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	4	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	111	43	0.38738738738738737	3593.0	157007760.0	22.884219225852277	4.577985810825615	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	4	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	162	46	0.2839506172839506	4965.0	296316375.0	16.755739536837947	4.150213545581888	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	4	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	150	33	0.22	4084.0	202216672.0	20.196158702483245	4.405730929345223	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	16	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC	10	4	0.4	560.0	22973034.0	24.37640583303015	4.665415843575713	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	16	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	156	51	0.3269230769230769	5627.0	249285614.0	22.57250191741911	4.559032985095948	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	16	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC	29	2	0.06896551724137931	677.0	48093866.0	14.076639212160652	3.914242962995419	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	16	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	49	14	0.2857142857142857	1547.0	93333956.0	16.574889421809143	4.135443707023896	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	16	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	74	21	0.28378378378378377	2748.0	73001387.0	37.64312039715081	5.27213969008933	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	32	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;sTEC	43	13	0.3023255813953488	5679.0	105228209.0	53.96841829741681	5.7805310616688335	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	32	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Tuft-like mTEC;nTEC;sTEC	87	29	0.3333333333333333	3087.0	85632886.0	36.049234636328855	5.211371834509486	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	32	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	148	56	0.3783783783783784	6140.0	131248530.0	46.78147633348731	5.57837952520099	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	32	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;sTEC	44	7	0.1590909090909091	2590.0	93387360.0	27.733946007254087	4.84468422539022	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	32	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	174	27	0.15517241379310345	2169.0	166256571.0	13.046100896667719	3.8120977984488373	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	52	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Tuft-like mTEC;sTEC	52	12	0.23076923076923078	1585.0	68109799.0	23.271247651163968	4.601176366288757	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	52	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;sTEC	108	30	0.2777777777777778	3286.0	113083488.0	29.05817691085015	4.909685604426527	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	52	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;sTEC	77	26	0.33766233766233766	1483.0	63786953.0	23.24926854555978	4.599869325419751	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	52	sort_day_4	4	gmTEC;mTEChi	Intertypical TEC;Mature cTEC;Mature mTEC	4	1	0.25	6.0	8991697.0	0.6672822716334859	0.7374983739173699	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Lox	52	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	240	46	0.19166666666666668	4314.0	263564381.0	16.36791733250177	4.118352859055684	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	1	sort_day_1	1	cTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Tuft-like mTEC	10	6	0.6	6728.0	30170823.0	222.99690001827264	7.8073349561682654	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	1	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	153	140	0.9150326797385621	75236.0	327893570.0	229.452501920059	7.848325620231098	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	1	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	101	93	0.9207920792079208	39277.0	175139044.0	224.26181565773535	7.815458971479441	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	1	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC	60	59	0.9833333333333333	37689.0	128527784.0	293.2362079781909	8.200830981766389	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	1	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC	109	104	0.9541284403669725	60761.0	189379328.0	320.8428324341715	8.330212529596965	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	4	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;sTEC	19	15	0.7894736842105263	5184.0	21784953.0	237.96241378165928	7.900639905407014	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	4	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	157	130	0.8280254777070064	47262.0	253255005.0	186.61822695271115	7.551656181044494	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	4	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	111	90	0.8108108108108109	29557.0	157007760.0	188.25184181979287	7.564163530521274	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	4	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	162	130	0.8024691358024691	66164.0	296316375.0	223.28836872413817	7.809210996025477	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	4	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	150	131	0.8733333333333333	67672.0	202216672.0	334.65094312302796	8.390817885925909	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	16	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC	10	9	0.9	4422.0	22973034.0	192.48654748867736	7.59608945358089	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	16	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	156	120	0.7692307692307693	44947.0	249285614.0	180.30322439705645	7.502260772773385	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	16	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC	29	17	0.5862068965517241	6151.0	48093866.0	127.89572790841976	7.010060637900403	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	16	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC	49	39	0.7959183673469388	21576.0	93333956.0	231.16988633804402	7.8590370489370445	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	16	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	74	63	0.8513513513513513	17942.0	73001387.0	245.776152170917	7.947059172563863	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	32	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;sTEC	43	29	0.6744186046511628	18414.0	105228209.0	174.9910995824323	7.459358658904482	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	32	sort_day_2	2	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Tuft-like mTEC;nTEC;sTEC	87	68	0.7816091954022989	11105.0	85632886.0	129.68148708663165	7.029910966867975	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	32	sort_day_3	3	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	148	117	0.7905405405405406	18647.0	131248530.0	142.0739721808694	7.160617432622544	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	32	sort_day_4	4	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;sTEC	44	27	0.6136363636363636	10903.0	93387360.0	116.75027541200437	6.879586624008267	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	32	sort_day_5	5	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Perinatal cTEC;Post-Aire mTEC;Proliferating TEC;Tuft-like mTEC;nTEC;sTEC	174	155	0.8908045977011494	53877.0	166256571.0	324.0593720653604	8.344559440104359	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
broad_TEC	Loxl1	52	sort_day_1	1	cTEC;gmTEC;mTEChi;mTEClo	Intertypical TEC;Mature cTEC;Mature mTEC;Post-Aire mTEC;Tuft-like mTEC;sTEC	52	43	0.8269230769230769	11224.0	68109799.0	164.7927341556242	7.373236972076782	SortDay is used as a sample-level proxy; parsed metadata did not expose a clean donor-level replicate field.
