analysis_group	gene	n_sample_proxy	n_age_points	youngest_age_week	oldest_age_week	detection_delta_oldest_minus_youngest	log2CPM_delta_oldest_minus_youngest	detection_spearman_rho	detection_spearman_pvalue	log2CPM_spearman_rho	log2CPM_spearman_pvalue	old_32_52wk_minus_young_1_4wk_detection_delta	old_32_52wk_minus_young_1_4wk_log2CPM_delta	age_bin_log2CPM_mann_whitney_pvalue	direction_by_oldest_minus_youngest_log2CPM	model_caution
broad_TEC	Lox	5	5	1	52	0.0007355876908863301	0.12838978015397196	-0.08042308287153001	0.7023511446000696	0.19611613513818404	0.3474502013308739	-0.020937621187517963	0.2746470238280194	0.3074894566186813	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
broad_TEC	Loxl1	5	5	1	52	-0.014257058629109975	-0.42828432716563203	-0.2000384578409477	0.33769785809616004	-0.466756401628878	0.018664783146088076	-0.042438843307818	-0.4483877012244717	0.017257456083119765	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
broad_TEC	Loxl2	5	5	1	52	-0.246872580068695	-2.0267865923056956	-0.824004753456098	4.145739409725093e-07	-0.6120000452662772	0.0011491174202173289	-0.19072924104837474	-1.5232507941958449	0.00579535854433471	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
broad_TEC	Loxl3	5	5	1	52	-0.05333139201066778	0.3473802960594181	-0.37262065676254963	0.0665912718596344	0.0784464540552736	0.7093518833651353	-0.022891723449737444	0.1652600217783613	0.6775849579524755	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
broad_TEC	Loxl4	5	5	1	52	-0.10768170460311388	-0.38172618335244923	-0.30986349351833076	0.13171278563466562	-0.2667179437879303	0.19746335935183199	-0.04473262197617789	-0.22670343593494646	0.3074894566186813	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
cTEC	Lox	5	5	1	52	-0.05899485741000468	0.6366213745916784	-0.1845266819165014	0.3772278317928852	0.06669231262517124	0.7514390775148181	-0.1006769193359669	0.12138390087128981	0.8797843010569926	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
cTEC	Loxl1	5	5	1	52	0.03139502043849873	-0.3348216916249145	-0.12953633087651184	0.5371478251369836	-0.3922322702763681	0.052467313645378384	-0.03726952200071054	-0.6522951000015507	0.031209012771740218	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
cTEC	Loxl2	5	5	1	52	-0.19117121588089328	-1.5818565467848544	-0.5962140328457781	0.0016588601531589238	-0.5821401226650971	0.0022659193408565916	-0.171320150838807	-2.0890926909455834	0.0016842263105423972	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
cTEC	Loxl3	5	5	1	52	-0.21420711811174648	-0.2957860560451877	-0.35965414054494627	0.07742283704394169	0.2809869533513397	0.17363819404026037	-0.07258628582342969	0.6587010215712326	0.04117376752710334	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
cTEC	Loxl4	5	5	1	52	-0.12401766941177883	-0.4295718838897624	-0.28267917229761913	0.17095198760886973	-0.21180542594923876	0.3094389188592564	-0.07122645589955057	-0.463698327766096	0.27303633975118835	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEC_like	Lox	5	5	1	52	0.007883659114046343	0.017162602988141984	0.0823687767580373	0.6954829019678711	0.25495097567963926	0.2187187456163164	0.01153879309937858	0.6186535005109395	0.10410988966022681	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEC_like	Loxl1	5	5	1	52	-0.03845766557922803	-0.4542245377388765	-0.10200000754437952	0.6275638403372439	-0.3608536886542586	0.07636797972609642	-0.024526635338263714	-0.2993986539290585	0.14046504815835495	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEC_like	Loxl2	5	5	1	52	-0.28194695003727543	-2.1679539715642546	-0.8160000603550361	6.630608970636952e-07	-0.5649231187073328	0.003257756090131816	-0.20818172604657015	-1.503130705732365	0.009108496398030963	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEC_like	Loxl3	5	5	1	52	-0.020669905974260938	0.05453291798669824	-0.34908672054596757	0.08719986623288707	-0.11766968108291043	0.5753571424107702	-0.015269818874778296	-0.11152760364302594	0.47267559351158717	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEC_like	Loxl4	5	5	1	52	-0.08253165279455155	-0.23351104360831165	-0.1883077062357776	0.3673558556222827	-0.14120361729949252	0.5007829781737393	-0.030554130490993203	-0.01976340884200667	0.6231762238821174	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEChi	Lox	5	5	1	52	0.14718514183193604	-0.8604014266661508	0.43220419149013833	0.030955150091778537	-0.019626716799471488	0.9258096794929318	0.12173475005703341	0.16423156321208232	0.7912601064031788	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEChi	Loxl1	5	5	1	52	-0.06644853932213923	-0.755262760632534	-0.27286392325950737	0.1869420998003598	-0.4432224654122959	0.026483022259440152	-0.030959577854054565	-0.41888319042896427	0.07566157214388704	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEChi	Loxl2	5	5	1	52	-0.19222437800707487	-1.2587947431610162	-0.5812867888494113	0.0023081400339305465	-0.184491137915032	0.3773213520059481	-0.16090743422985276	-0.7857660510292193	0.520366020896531	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
