CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
B13.B002229.1_52.1.32.1_S109	5	B13	B002229	13	B	mTEClo	1	1wk	Tuft-like mTEC	0.144393131473075	day1	B13.B002229.1_52.1.32.1_S109	329191	1326	B13B0022291521321S109	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Tuft-like.mTEC	ERR3814494	B13-B002229-1_52-1-32-1_S109	1	1	wk1_mouse1
B13.B002297.1_32.4.52.1_S73	2	B13	B002297	13	B	mTEClo	1	4wk	Intertypical TEC	0.813683545967131	day1	B13.B002297.1_32.4.52.1_S73	837271	2849	B13B0022971324521S73	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818228	B13-B002297-1_32-4-52-1_S73	4	1	wk4_mouse1
B17.B002285.1_4.52.16.1_S65	2	B17	B002285	17	B	mTEClo	1	16wk	Intertypical TEC	2.42994390787012	day1	B17.B002285.1_4.52.16.1_S65	2382304	6010	B17B0022851452161S65	1	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3819869	B17-B002285-1_4-52-16-1_S65	16	1	wk16_mouse1
B2.B002297.1_32.4.52.1_S62	5	B2	B002297	2	B	mTEClo	1	32wk	Tuft-like mTEC	0.273907437058529	day1	B2.B002297.1_32.4.52.1_S62	445137	1830	B2B0022971324521S62	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Tuft-like.mTEC	ERR3824411	B2-B002297-1_32-4-52-1_S62	32	1	wk32_mouse1
B20.B002297.1_32.4.52.1_S80	2	B20	B002297	20	B	mTEClo	1	52wk	Intertypical TEC	0.584096620744469	day1	B20.B002297.1_32.4.52.1_S80	539688	3213	B20B0022971324521S80	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827558	B20-B002297-1_32-4-52-1_S80	52	1	wk52_mouse1
B22.B002297.1_32.4.52.1_S82	2	B22	B002297	22	B	mTEClo	1	52wk	Intertypical TEC	0.714473811456956	day1	B22.B002297.1_32.4.52.1_S82	751794	2816	B22B0022971324521S82	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827568	B22-B002297-1_32-4-52-1_S82	52	1	wk52_mouse1
B24.B002297.1_32.4.52.1_S242	2	B24	B002297	24	B	mTEClo	1	52wk	Intertypical TEC	3.32551678306744	day1	B24.B002297.1_32.4.52.1_S242	3147324	4893	B24B0022971324521S242	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827580	B24-B002297-1_32-4-52-1_S242	52	1	wk52_mouse1
B5.B002297.1_32.4.52.1_S65	2	B5	B002297	5	B	mTEClo	1	32wk	Intertypical TEC	2.11180702059007	day1	B5.B002297.1_32.4.52.1_S65	2069139	3765	B5B0022971324521S65	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824426	B5-B002297-1_32-4-52-1_S65	32	1	wk32_mouse1
B7.B002297.1_32.4.52.1_S67	2	B7	B002297	7	B	mTEClo	1	32wk	Intertypical TEC	2.12004248980193	day1	B7.B002297.1_32.4.52.1_S67	2167695	3968	B7B0022971324521S67	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824436	B7-B002297-1_32-4-52-1_S67	32	1	wk32_mouse1
B8.B002229.1_52.1.32.1_S104	2	B8	B002229	8	B	mTEClo	1	52wk	Intertypical TEC	2.4556179161351	day1	B8.B002229.1_52.1.32.1_S104	2420906	4484	B8B0022291521321S104	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3825647	B8-B002229-1_52-1-32-1_S104	52	1	wk52_mouse1
C10.B002297.1_32.4.52.1_S94	2	C10	B002297	10	C	mTEClo	1	4wk	Intertypical TEC	0.765557321829677	day1	C10.B002297.1_32.4.52.1_S94	733171	2903	C10B0022971324521S94	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818342	C10-B002297-1_32-4-52-1_S94	4	1	wk4_mouse1
