analysis_group	gene	age_week	n_mice	total_cells	mean_log2_cpm_plus1	median_log2_cpm_plus1	mean_detection_rate	median_detection_rate
cTEC	Lox	1	5	141	2.7648534088659384	2.8980580718107056	0.2873449131513648	0.3076923076923077
cTEC	Lox	4	5	175	5.180940110587176	5.02545983678374	0.44155467720685115	0.3695652173913043
cTEC	Lox	16	5	81	3.3131008894053964	3.0881390849364974	0.4124012158054711	0.3191489361702128
cTEC	Lox	32	5	144	4.787086537738078	5.598370699859806	0.2991956959449219	0.23076923076923078
cTEC	Lox	52	5	124	3.401474783457617	4.093991939396813	0.2283500557413601	0.21739130434782608
cTEC	Loxl1	1	5	141	7.802303581531416	7.858466197926658	0.8457264957264957	0.9230769230769231
cTEC	Loxl1	4	5	175	8.032567775552067	7.806772792395948	0.8764075537988582	0.8888888888888888
cTEC	Loxl1	16	5	81	7.410024514168637	7.362072895842564	0.8202431610942249	0.8297872340425532
cTEC	Loxl1	32	5	144	7.062799267173878	6.7381065173339065	0.7704734893589382	0.7307692307692307
cTEC	Loxl1	52	5	124	7.467481889906502	7.310372493044089	0.8771215161649945	0.9130434782608695
cTEC	Loxl2	1	5	141	1.8672446544360894	2.301268187266395	0.20922249793217534	0.1935483870967742
cTEC	Loxl2	4	5	175	3.132134132277677	3.1968649502456263	0.22188844971453667	0.2222222222222222
cTEC	Loxl2	16	5	81	1.018970969052751	0.08366403873198892	0.06702127659574468	0.05
cTEC	Loxl2	32	5	144	0.5358052971713662	0.3616614762704093	0.07041936391781593	0.05263157894736842
cTEC	Loxl2	52	5	124	0.285388107651235	0.0	0.018051282051282053	0.0
cTEC	Loxl3	1	5	141	4.5335366286238905	4.754868211535485	0.38309897987317343	0.40384615384615385
cTEC	Loxl3	4	5	175	3.702912622444812	4.6707621348024855	0.1987878787878788	0.22727272727272727
cTEC	Loxl3	16	5	81	2.9282087438091504	2.453635708550069	0.15106382978723404	0.1
cTEC	Loxl3	32	5	144	5.3161007216324645	5.430762126796161	0.2678224252527658	0.2727272727272727
cTEC	Loxl3	52	5	124	4.237750572578703	5.0639903144549425	0.16889186176142695	0.17333333333333334
cTEC	Loxl4	1	5	141	5.760121763435837	5.571886701011081	0.6604769782189137	0.6111111111111112
cTEC	Loxl4	4	5	175	5.784661645639463	5.978445617255542	0.5883750548967941	0.5434782608695652
cTEC	Loxl4	16	5	81	6.150606075301395	5.908799764387138	0.6389665653495441	0.5714285714285714
cTEC	Loxl4	32	5	144	5.286836873997033	5.780667898351928	0.569939812509472	0.6153846153846154
cTEC	Loxl4	52	5	124	5.330549879546075	5.425174635028742	0.5364593088071349	0.49333333333333335
combined_mTEClo_mTEChi	Lox	1	5	221	3.819205390828966	4.074124598747232	0.21830393704101173	0.1917808219178082
combined_mTEClo_mTEChi	Lox	4	5	325	3.3813943964516264	4.056269972146612	0.20640288042928018	0.2289156626506024
combined_mTEClo_mTEChi	Lox	16	5	192	4.629972710488399	4.739317936667678	0.22665755297334242	0.22727272727272727
combined_mTEClo_mTEChi	Lox	32	5	272	4.885377586921532	5.224168909838427	0.2605228483319316	0.23333333333333334
combined_mTEClo_mTEChi	Lox	52	5	287	3.775987832366718	4.2352810310681965	0.31714055253075213	0.34210526315789475
combined_mTEClo_mTEChi	Loxl1	1	5	221	8.151066972330641	8.264894384671031	0.9111585127201565	0.95
combined_mTEClo_mTEChi	Loxl1	4	5	325	7.675239200445771	7.672209435986601	0.8068739031757282	0.8095238095238095
combined_mTEClo_mTEChi	Loxl1	16	5	192	7.614368620934582	7.584442984265632	0.7692754613807246	0.7894736842105263
combined_mTEClo_mTEChi	Loxl1	32	5	272	7.48390825569732	7.24682558911032	0.7869962907851891	0.7682926829268293
combined_mTEClo_mTEChi	Loxl1	52	5	287	7.3930324580943445	7.5532577688021885	0.8705182496471062	0.8552631578947368
combined_mTEClo_mTEChi	Loxl2	1	5	221	4.065685245283557	3.7654753776382113	0.37841394693095975	0.4166666666666667
combined_mTEClo_mTEChi	Loxl2	4	5	325	3.2429242773215528	3.2923127604746734	0.2595943718853003	0.27380952380952384
combined_mTEClo_mTEChi	Loxl2	16	5	192	2.4126697051044816	2.675731264845851	0.17678286625655046	0.21052631578947367
combined_mTEClo_mTEChi	Loxl2	32	5	272	2.574253379369147	2.9978957978042877	0.12647926505790258	0.1282051282051282
