analysis_group	gene	contrast	metric	one_sided_aged_lower_p	two_sided_p	n_permutations	mode	observed_delta	global_bh_fdr	fdr_class
mTEClo	Lox	4_vs_52	log2_cpm_plus1	0.9133858267716536	0.14960629921259844	126	exact	1.9216606806077317	0.9133858267716536	not_significant
mTEClo	Lox	16_vs_52	log2_cpm_plus1	0.7086614173228346	0.5905511811023622	126	exact	0.5156270753002392	0.7874015748031495	not_significant
mTEClo	Lox	4+16_vs_52	log2_cpm_plus1	0.873253493013972	0.2714570858283433	1001	exact	1.2186438779539857	0.8880543996752257	not_significant
mTEClo	Loxl1	4_vs_52	log2_cpm_plus1	0.15748031496062992	0.33070866141732286	126	exact	-0.32262845278567465	0.4066007228457295	not_significant
mTEClo	Loxl1	16_vs_52	log2_cpm_plus1	0.2440944881889764	0.4881889763779528	126	exact	-0.1891024824439249	0.4490981721341242	not_significant
mTEClo	Loxl1	4+16_vs_52	log2_cpm_plus1	0.15768463073852296	0.3273453093812375	1001	exact	-0.25586546761479934	0.4066007228457295	not_significant
mTEClo	Loxl2	4_vs_52	log2_cpm_plus1	0.023622047244094488	0.03937007874015748	126	exact	-2.5298431944308355	0.3195739014647137	not_significant
mTEClo	Loxl2	16_vs_52	log2_cpm_plus1	0.12598425196850394	0.25196850393700787	126	exact	-1.269343102764794	0.4066007228457295	not_significant
mTEClo	Loxl2	4+16_vs_52	log2_cpm_plus1	0.020958083832335328	0.04491017964071856	1001	exact	-1.899593148597815	0.3195739014647137	not_significant
mTEClo	Loxl3	4_vs_52	log2_cpm_plus1	0.1732283464566929	0.33070866141732286	126	exact	-1.3404242806218805	0.4066007228457295	not_significant
mTEClo	Loxl3	16_vs_52	log2_cpm_plus1	0.2125984251968504	0.36220472440944884	126	exact	-1.4196187513763001	0.43985881075210426	not_significant
mTEClo	Loxl3	4+16_vs_52	log2_cpm_plus1	0.11976047904191617	0.23353293413173654	1001	exact	-1.3800215159990903	0.4066007228457295	not_significant
mTEClo	Loxl4	4_vs_52	log2_cpm_plus1	0.2992125984251969	0.5905511811023622	126	exact	-0.2366075248128059	0.49303099646349074	not_significant
mTEClo	Loxl4	16_vs_52	log2_cpm_plus1	0.15748031496062992	0.31496062992125984	126	exact	-0.46731266767905755	0.4066007228457295	not_significant
mTEClo	Loxl4	4+16_vs_52	log2_cpm_plus1	0.16167664670658682	0.3273453093812375	1001	exact	-0.35196009624593216	0.4066007228457295	not_significant
mTEChi	Lox	4_vs_52	log2_cpm_plus1	0.308300395256917	0.6126482213438735	252	exact	-0.6240652654188423	0.49303099646349074	not_significant
mTEChi	Lox	16_vs_52	log2_cpm_plus1	0.17786561264822134	0.35177865612648224	252	exact	-1.274374876390251	0.4066007228457295	not_significant
mTEChi	Lox	4+16_vs_52	log2_cpm_plus1	0.18974700399467376	0.3794940079893475	3003	exact	-0.9492200709045471	0.4066007228457295	not_significant
mTEChi	Loxl1	4_vs_52	log2_cpm_plus1	0.3794466403162055	0.7549407114624506	252	exact	-0.09637055472729639	0.5552877663163983	not_significant
mTEChi	Loxl1	16_vs_52	log2_cpm_plus1	0.5098814229249012	0.9920948616600791	252	exact	0.0026752823502720346	0.665062725554219	not_significant
mTEChi	Loxl1	4+16_vs_52	log2_cpm_plus1	0.4330892143808256	0.8781624500665779	3003	exact	-0.04684763618851129	0.5905762014283985	not_significant
mTEChi	Loxl2	4_vs_52	log2_cpm_plus1	0.1383399209486166	0.2727272727272727	252	exact	-0.9707371621434988	0.4066007228457295	not_significant
mTEChi	Loxl2	16_vs_52	log2_cpm_plus1	0.45849802371541504	0.9130434782608695	252	exact	-0.16218964586745432	0.6113306982872201	not_significant
mTEChi	Loxl2	4+16_vs_52	log2_cpm_plus1	0.2470039946737683	0.5009986684420772	3003	exact	-0.5664634040054768	0.4490981721341242	not_significant
mTEChi	Loxl3	4_vs_52	log2_cpm_plus1	0.31225296442687744	0.6205533596837944	252	exact	-0.39698753660949393	0.49303099646349074	not_significant
mTEChi	Loxl3	16_vs_52	log2_cpm_plus1	0.8300395256916996	0.35177865612648224	252	exact	1.4790259830149353	0.8586615783017583	not_significant
mTEChi	Loxl3	4+16_vs_52	log2_cpm_plus1	0.6711051930758988	0.6235019973368842	3003	exact	0.5410192232027207	0.7743521458568062	not_significant
