analysis_group	gene	n_mice_total	spearman_rho_per_mouse	spearman_p_per_mouse	linear_age_slope	linear_age_p	batch_adjusted_model_status	4_vs_52_n_young_mice	4_vs_52_n_old_mice	4_vs_52_old_minus_young_log2cpm	4_vs_52_old_minus_young_detection	16_vs_52_n_young_mice	16_vs_52_n_old_mice	16_vs_52_old_minus_young_log2cpm	16_vs_52_old_minus_young_detection	4+16_vs_52_n_young_mice	4+16_vs_52_n_old_mice	4+16_vs_52_old_minus_young_log2cpm	4+16_vs_52_old_minus_young_detection
mTEClo	Lox	24	0.4408860215136808	0.031048341268317455	0.0326772546329748	0.08669407705737617	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	4	1.9216606806077317	0.0761739369292676	5	4	0.5156270753002392	0.04604806623544555	10	4	1.2186438779539857	0.06111100158235658
mTEClo	Loxl1	24	-0.43911183229229767	0.031811707312606956	-0.00986390377158375	0.05687310467375888	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	4	-0.32262845278567465	0.0011165607222101137	5	4	-0.1891024824439249	0.02219150719269425	10	4	-0.25586546761479934	0.011654033957452126
mTEClo	Loxl2	24	-0.7617898902268354	1.5266155393235015e-05	-0.07021632330205967	0.00015556603925182553	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	4	-2.5298431944308355	-0.1497467726622928	5	4	-1.269343102764794	-0.07880435287605964	10	4	-1.899593148597815	-0.11427556276917622
mTEClo	Loxl3	24	0.07458082841381605	0.7290811647757977	-0.014653628888950707	0.5167208433002444	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	4	-1.3404242806218805	-0.06504172027376316	5	4	-1.4196187513763001	-0.10255806117752801	10	4	-1.3800215159990903	-0.08379989072564557
mTEClo	Loxl4	24	0.017298344908484455	0.9360575260900563	-0.003942356111377761	0.605236388496627	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	4	-0.2366075248128059	-0.042984851585021855	5	4	-0.46731266767905755	-0.08976310229836382	10	4	-0.35196009624593216	-0.066373976941693
mTEChi	Lox	25	-0.019626716799471488	0.9258096794929317	-0.007932508031065636	0.6954371055708107	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.6240652654188423	0.10269723172536468	5	5	-1.274374876390251	0.09650021958717606	10	5	-0.9492200709045471	0.09959872565627043
mTEChi	Loxl1	25	-0.4432224654122959	0.026483022259440138	-0.009230312890725194	0.12671064984530797	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.09637055472729639	0.08990333551075236	5	5	0.0026752823502720346	0.15942949959957653	10	5	-0.04684763618851129	0.1246664175551645
mTEChi	Loxl2	25	-0.184491137915032	0.377321352005948	-0.019627715486241776	0.24696736028217334	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.9707371621434988	-0.10348328461819506	5	5	-0.16218964586745432	-0.010955740267121317	10	5	-0.5664634040054768	-0.057219512442658216
mTEChi	Loxl3	25	-0.22357239405752982	0.2826865212212759	-0.0029947879017234776	0.8503522195023674	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.39698753660949393	0.02635418857925259	5	5	1.4790259830149353	0.11211901624945109	10	5	0.5410192232027207	0.06923660241435176
mTEChi	Loxl4	25	-0.1608152308133109	0.44252930535394225	-0.003953978953481332	0.5971547104628785	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	0.1534700354057419	0.04956805910770101	5	5	-0.507806876030271	-0.0012517760727479565	10	5	-0.17716842031226498	0.024158141517476528
