analysis_group	gene	contrast	metric	one_sided_aged_lower_p	two_sided_p	n_permutations	mode	observed_delta
mTEClo	Lox	4_vs_52	log2_cpm_plus1	0.9133858267716536	0.14960629921259844	126	exact	1.9216606806077317
mTEClo	Lox	4_vs_52	detection_rate	0.8267716535433071	0.3858267716535433	126	exact	0.0761739369292676
mTEClo	Lox	16_vs_52	log2_cpm_plus1	0.7086614173228346	0.5905511811023622	126	exact	0.5156270753002392
mTEClo	Lox	16_vs_52	detection_rate	0.7480314960629921	0.5196850393700787	126	exact	0.04604806623544555
mTEClo	Lox	4+16_vs_52	log2_cpm_plus1	0.873253493013972	0.2714570858283433	1001	exact	1.2186438779539857
mTEClo	Lox	4+16_vs_52	detection_rate	0.8233532934131736	0.3562874251497006	1001	exact	0.06111100158235658
mTEClo	Loxl1	4_vs_52	log2_cpm_plus1	0.15748031496062992	0.33070866141732286	126	exact	-0.32262845278567465
mTEClo	Loxl1	4_vs_52	detection_rate	0.5039370078740157	0.9763779527559056	126	exact	0.0011165607222101137
mTEClo	Loxl1	16_vs_52	log2_cpm_plus1	0.2440944881889764	0.4881889763779528	126	exact	-0.1891024824439249
mTEClo	Loxl1	16_vs_52	detection_rate	0.5984251968503937	0.8188976377952756	126	exact	0.02219150719269425
mTEClo	Loxl1	4+16_vs_52	log2_cpm_plus1	0.15768463073852296	0.3273453093812375	1001	exact	-0.25586546761479934
mTEClo	Loxl1	4+16_vs_52	detection_rate	0.5878243512974052	0.8552894211576846	1001	exact	0.011654033957452126
mTEClo	Loxl2	4_vs_52	log2_cpm_plus1	0.023622047244094488	0.03937007874015748	126	exact	-2.5298431944308355
mTEClo	Loxl2	4_vs_52	detection_rate	0.015748031496062992	0.015748031496062992	126	exact	-0.1497467726622928
mTEClo	Loxl2	16_vs_52	log2_cpm_plus1	0.12598425196850394	0.25196850393700787	126	exact	-1.269343102764794
mTEClo	Loxl2	16_vs_52	detection_rate	0.08661417322834646	0.13385826771653545	126	exact	-0.07880435287605964
mTEClo	Loxl2	4+16_vs_52	log2_cpm_plus1	0.020958083832335328	0.04491017964071856	1001	exact	-1.899593148597815
mTEClo	Loxl2	4+16_vs_52	detection_rate	0.011976047904191617	0.015968063872255488	1001	exact	-0.11427556276917622
mTEClo	Loxl3	4_vs_52	log2_cpm_plus1	0.1732283464566929	0.33070866141732286	126	exact	-1.3404242806218805
