analysis_group	gene	biological_mouse_id	age_week	n_cells	summed_raw_counts	total_counts_all_features	detection_rate	mean_logcounts	SortDay	PlateID	run_fields	cpm	log2_cpm_plus1
cTEC	Lox	wk16_mouse1	16	2	128	7197668	1.0		1	B002285	ERR3820043;ERR3820881	17.783537668033592	4.231396898852361
cTEC	Lox	wk16_mouse2	16	47	520	69296512	0.3191489361702128		2	B002283;B002288;B002295	ERR3820118;ERR3820550;ERR3820650;ERR3820786;ERR3820790;ERR3820801;ERR3820805;ERR3820813;ERR3820833;ERR3820836;ERR3820880;ERR3820884	7.503985193367309	3.0881390849364974
cTEC	Lox	wk16_mouse3	16	7	373	12790525	0.14285714285714285		3	B002292;B002293	ERR3820811;ERR3820882;ERR3820901;ERR3820905;ERR3822106;ERR3823287;ERR3823301	29.162211871678448	4.914670323868428
cTEC	Lox	wk16_mouse4	16	5	23	11250541	0.4		4	B001629	ERR3820001;ERR3820673;ERR3820689;ERR3820761;ERR3820837	2.044346134110351	1.6061323987807208
cTEC	Lox	wk16_mouse5	16	20	94	16748741	0.2		5	B002337;B002450	ERR3821231;ERR3822066;ERR3822080;ERR3822081;ERR3822082;ERR3822085;ERR3822086;ERR3822087;ERR3822093;ERR3823118;ERR3823132;ERR3823136	5.612362147101086	2.725165740588974
cTEC	Lox	wk1_mouse1	1	4	0	10544815	0.0		1	B002229	ERR3814651;ERR3815394;ERR3815410;ERR3815493	0.0	0.0
cTEC	Lox	wk1_mouse2	1	52	777	120386287	0.3076923076923077		2	B002284;B002288	ERR3814580;ERR3815280;ERR3815399;ERR3815407;ERR3815411;ERR3815415;ERR3815419;ERR3815426;ERR3815429;ERR3815436;ERR3815439;ERR3815441	6.454223478127537	2.8980580718107056
cTEC	Lox	wk1_mouse3	1	36	3205	69064293	0.5		3	B002291;B002293;B002298	ERR3815396;ERR3815400;ERR3815404;ERR3815408;ERR3815412;ERR3815475;ERR3815479;ERR3815483;ERR3815487;ERR3815491;ERR3815495;ERR3815499	46.40603502594315	5.566998828014544
cTEC	Lox	wk1_mouse4	1	18	396	31876677	0.5		4	B001632	ERR3815382;ERR3815445;ERR3815449;ERR3815453;ERR3815457;ERR3815465;ERR3815469;ERR3815514;ERR3815533;ERR3815537;ERR3815541;ERR3815545	12.42287582234497	3.746621893858667
cTEC	Lox	wk1_mouse5	1	31	110	53449960	0.12903225806451613		5	B002345;B002449	ERR3816478;ERR3816719;ERR3816721;ERR3816723;ERR3816725;ERR3816727;ERR3816729;ERR3816731;ERR3816800;ERR3816802;ERR3816804;ERR3816806	2.057999669223326	1.6125882506457767
cTEC	Lox	wk32_mouse1	32	11	2786	31048121	0.5454545454545454		1	B002229;B002297	ERR3823420;ERR3824081;ERR3825411;ERR3825416;ERR3825431;ERR3825486;ERR3825516;ERR3825544;ERR3825563;ERR3825564;ERR3825569	89.73167812635103	6.503534437225162
cTEC	Lox	wk32_mouse2	32	26	1320	27819821	0.23076923076923078		2	B002284;B002294	ERR3823470;ERR3823563;ERR3823570;ERR3824491;ERR3824586;ERR3824657;ERR3825333;ERR3825338;ERR3825410;ERR3825415;ERR3825420;ERR3825425	47.44818451563725	5.598370699859806
cTEC	Lox	wk32_mouse3	32	38	1867	31589499	0.5263157894736842		3	B002290;B002291	ERR3823353;ERR3823419;ERR3824003;ERR3824032;ERR3824036;ERR3824043;ERR3824051;ERR3824052;ERR3824053;ERR3824080;ERR3824083;ERR3824086	59.10191864707952	5.909339142037538
cTEC	Lox	wk32_mouse4	32	17	270	40945218	0.058823529411764705		4	B002301	ERR3824470;ERR3824489;ERR3824494;ERR3824621;ERR3825084;ERR3825336;ERR3825423;ERR3825433;ERR3825438;ERR3825470;ERR3825513;ERR3825518	6.594176638649231	2.9248935560730867
cTEC	Lox	wk32_mouse5	32	52	396	56603039	0.1346153846153846		5	B002336;B002345;B002449	ERR3824434;ERR3824454;ERR3824580;ERR3824641;ERR3824838;ERR3825284;ERR3825286;ERR3825288;ERR3825295;ERR3825297;ERR3825299;ERR3825306	6.996090792934281	2.999294853494794
