analysis_group	gene	age_week	n_cells	n_sort_day_samples	mean_log2_norm_plus1	median_log2_norm_plus1	detection_rate	n_biological_samples_if_available	age_label	replicate_definition
broad_TEC	Lox	1	433	5	1.1343472927905311	0.0	0.2817551963048499		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Lox	4	599	5	1.6477102022060877	0.0	0.32554257095158595		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Lox	16	318	5	1.497864185536157	0.0	0.2893081761006289		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Lox	32	496	5	1.5123236023363424	0.0	0.2661290322580645		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Lox	52	481	5	1.2117452606611812	0.0	0.2390852390852391		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl1	1	433	5	7.35892639874451	7.93234703995754	0.9284064665127021		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl1	4	599	5	6.473839929939357	7.624971387245062	0.8280467445742905		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl1	16	318	5	6.085529856087459	7.4730762001663695	0.779874213836478		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl1	32	496	5	6.217637801435624	7.507545721968473	0.7983870967741935		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl1	52	481	5	6.551693237150171	7.800087519736544	0.8253638253638254		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl2	1	433	5	1.4049839107785667	0.0	0.36027713625866054		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl2	4	599	5	0.9836179031570601	0.0	0.2370617696160267		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl2	16	318	5	0.6802439198270297	0.0	0.17295597484276728		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl2	32	496	5	0.39977614879147294	0.0	0.0967741935483871		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl2	52	481	5	0.3853343820253545	0.0	0.10187110187110188		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl3	1	433	5	1.7859683268288575	0.0	0.3140877598152425		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl3	4	599	5	1.4686451231389732	0.0	0.25375626043405675		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl3	16	318	5	1.5022638361402996	0.0	0.22955974842767296		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl3	32	496	5	1.6699661113377031	0.0	0.2540322580645161		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl3	52	481	5	1.4281016118291034	0.0	0.21621621621621623		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl4	1	433	5	3.6238410725027084	4.300484693025416	0.7228637413394919		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl4	4	599	5	3.3095800352124374	3.370071620017046	0.5926544240400667		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl4	16	318	5	3.3753119253842434	3.6907604804321297	0.6037735849056604		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl4	32	496	5	3.2187685650555977	3.157259261358466	0.5907258064516129		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
broad_TEC	Loxl4	52	481	5	2.8603354088310016	1.767655610607057	0.5405405405405406		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Lox	1	141	5	1.327495123789471	0.0	0.3333333333333333		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Lox	4	175	5	2.143654241231573	0.0	0.44571428571428573		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Lox	16	81	5	1.2239738186531375	0.0	0.2962962962962963		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Lox	32	144	5	1.5846288616947846	0.0	0.2777777777777778		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Lox	52	124	5	1.2752412287232118	0.0	0.23387096774193547		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl1	1	141	5	6.987575047843948	7.623768113434773	0.9148936170212766		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl1	4	175	5	6.991840446778904	7.824308129391846	0.8742857142857143		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl1	16	81	5	6.269515524893158	7.395284810576928	0.8271604938271605		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl1	32	144	5	6.134866244216971	7.297486770026321	0.8194444444444444		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl1	52	124	5	6.439366305357466	7.488360913937476	0.8225806451612904		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl2	1	141	5	0.9335233057716352	0.0	0.2907801418439716		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl2	4	175	5	0.933331585098807	0.0	0.21714285714285714		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl2	16	81	5	0.33442194978106027	0.0	0.07407407407407407		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl2	32	144	5	0.11577775976649211	0.0	0.041666666666666664		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl2	52	124	5	0.07982502444393239	0.0	0.016129032258064516		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl3	1	141	5	2.1152617914297926	0.0	0.40425531914893614		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl3	4	175	5	1.308441792327562	0.0	0.2342857142857143		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl3	16	81	5	1.3490048937763333	0.0	0.19753086419753085		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl3	32	144	5	1.7420542759587934	0.0	0.2569444444444444		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl3	52	124	5	1.3203367832117523	0.0	0.1935483870967742		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl4	1	141	5	3.438790347249702	3.8943667156795363	0.7092198581560284		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl4	4	175	5	3.512735969020284	4.213096602060636	0.6057142857142858		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl4	16	81	5	3.63904153226833	4.289251719891832	0.6419753086419753		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl4	32	144	5	2.971352806213773	1.7440439727538808	0.5555555555555556		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
cTEC	Loxl4	52	124	5	2.505048845251382	0.0	0.45161290322580644		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Lox	1	300	5	1.0628471556157988	0.0	0.2633333333333333		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Lox	4	442	5	1.4447714029703966	0.0	0.2737556561085973		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Lox	16	246	5	1.5706529010357388	0.0	0.2886178861788618		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Lox	32	374	5	1.4972028409502212	0.0	0.2620320855614973		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Lox	52	373	5	1.1849516450680755	0.0	0.24396782841823056		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl1	1	300	5	7.544950279383955	8.123521896089073	0.9366666666666666		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl1	4	442	5	6.1412755642053325	7.469666059186075	0.7941176470588235		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl1	16	246	5	6.006989526315192	7.475137404606581	0.7642276422764228		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl1	32	374	5	6.26903816423346	7.602973464762501	0.7967914438502673		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl1	52	373	5	6.614180770330725	7.863641293397572	0.8310991957104558		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl2	1	300	5	1.6011354510696105	0.0	0.38666666666666666		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl2	4	442	5	1.0091659693386241	0.0	0.24660633484162897		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl2	16	246	5	0.8003235793268098	0.0	0.2073170731707317		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl2	32	374	5	0.5098542502939765	0.0	0.12032085561497326		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl2	52	373	5	0.47991890388121505	0.0	0.128686327077748		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	1	300	5	1.6441108776776645	0.0	0.2733333333333333		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	4	442	5	1.5024375327405373	0.0	0.2579185520361991		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	16	246	5	1.5321162705936726	0.0	0.23577235772357724		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	32	374	5	1.6457997571258636	0.0	0.2540106951871658		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	52	373	5	1.4418911176541376	0.0	0.2225201072386059		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	1	300	5	3.7233399198121035	4.590724221573301	0.73		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	4	442	5	3.236283386534633	3.1555296182244232	0.5882352941176471		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	16	246	5	3.320767354736856	3.256100650830189	0.5975609756097561		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	32	374	5	3.3730932969524785	3.655702342576056	0.6096256684491979		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	52	373	5	2.9933930494788776	2.5073299208642226	0.5737265415549598		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	1	129	5	0.8785248826216315	0.0	0.18604651162790697		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	4	193	5	1.2407180592041447	0.0	0.24352331606217617		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	16	99	5	1.4127952806285031	0.0	0.26262626262626265		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
