analysis_group	gene	n_cells_total	n_biological_samples_if_available	n_sort_day_samples_available	youngest_age_week	oldest_age_week	mean_delta_oldest_minus_youngest	age_trend_direction	spearman_rho_age_vs_sample_mean	spearman_pvalue	old_32_52wk_minus_young_1_4wk_delta	old_vs_young_bin_mann_whitney_pvalue	replicate_caution
broad_TEC	Lox	2327		5	1	52	0.06822115306726162	aged-higher	0.01568929081105472	0.9406645658851025	0.02603974725008551	0.9698499769931556	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
broad_TEC	Loxl1	2327		5	1	52	-0.3599566371185654	aged-lower	-0.23141703946305714	0.2656911543654664	-0.5553136823717342	0.24132159301718004	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
broad_TEC	Loxl2	2327		5	1	52	-1.0410302237684146	aged-lower	-0.8199231375682816	5.282504362874132e-07	-0.8182648211972204	0.00024612812790522973	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
broad_TEC	Loxl3	2327		5	1	52	0.2068746373421717	aged-higher	-0.11766968108291043	0.5753571424107702	0.2036903813485682	0.8501067391385259	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
broad_TEC	Loxl4	2327		5	1	52	-0.28950729642053963	aged-lower	-0.1804268443271293	0.388102670136388	-0.19918263072369768	0.4273553138978077	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
cTEC	Lox	665		5	1	52	-0.019551496810308766	aged-lower	-0.0941538531178888	0.6543954188409817	-0.25144351763909456	0.44952132576702597	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
cTEC	Loxl1	665		5	1	52	0.05038540854325291	aged-higher	-0.1372812945967288	0.5128706583695377	-0.7303207218261187	0.27303633975118835	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
cTEC	Loxl2	665		5	1	52	-0.6011518919814288	aged-lower	-0.5861273837792416	0.002077264226817469	-0.7091798180607665	0.00218176800301401	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
cTEC	Loxl3	665		5	1	52	-0.7270484818114209	aged-lower	-0.12379145497296785	0.5554964087343803	-0.018926690335150376	1.0	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
cTEC	Loxl4	665		5	1	52	-0.35682755371196917	aged-lower	-0.30986349351833076	0.13171278563466562	-0.5403432235754475	0.10410988966022681	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEC_like	Lox	1735		5	1	52	0.05825870328830507	aged-higher	0.2000384578409477	0.33769785809616004	0.16980422554376284	0.24132159301718004	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEC_like	Loxl1	1735		5	1	52	-0.526978599937463	aged-lower	-0.1647375535160746	0.4313305219309711	-0.2889406497544478	0.47267559351158717	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEC_like	Loxl2	1735		5	1	52	-1.2867149144693222	aged-lower	-0.8003077515020548	1.5647602308210692e-06	-0.9322162047881153	0.00032983852077799353	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEC_like	Loxl3	1735		5	1	52	0.24017808486514802	aged-higher	-0.1608152308133109	0.4425293053539423	0.14875871457778245	0.6775849579524755	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEC_like	Loxl4	1735		5	1	52	-0.18739574856383845	aged-lower	-0.1372812945967288	0.5128706583695377	-0.030660545726831412	0.6231762238821174	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEChi	Lox	715		5	1	52	0.23148515423560878	aged-higher	0.27084869183270655	0.1903484526126112	0.499821147809137	0.12108458343032173	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEChi	Loxl1	715		5	1	52	-1.0428658723635946	aged-lower	-0.35693136595149494	0.0798582399000739	-0.5387611633821914	0.10410988966022681	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEChi	Loxl2	715		5	1	52	-0.8585529911349223	aged-lower	-0.47889188990710435	0.015439398661328482	-0.5798637531715098	0.04507378631623227	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEChi	Loxl3	715		5	1	52	-0.2879553320132908	aged-lower	-0.03137858162210944	0.8816350400623856	-0.18991785520661697	0.7913367801006604	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEChi	Loxl4	715		5	1	52	-0.8564648196726887	aged-lower	-0.15297058540778358	0.46538490775331054	-0.10499738643129142	0.9698499769931556	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEClo	Lox	582		5	1	52	0.47865872128942155	aged-higher	0.3144750394901405	0.1344883513240904	0.28597288138574295	0.15304188415882009	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEClo	Loxl1	582		5	1	52	-1.03335960447908	aged-lower	-0.3122573029634117	0.1374073909991683	-0.6584250851813245	0.17790959498698244	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEClo	Loxl2	582		5	1	52	-1.528806242507841	aged-lower	-0.8101786419953232	1.602891890990806e-06	-1.1253200407056605	0.0002779758535378231	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEClo	Loxl3	582		5	1	52	-0.19926673650945448	aged-lower	-0.01598160608867487	0.9409161610229013	0.030606361719990094	0.9673782956321767	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
mTEClo	Loxl4	582		5	1	52	-0.4488254395142057	aged-lower	-0.23108814608513845	0.27727975066201715	-0.2892538983845556	0.3912672792826394	Cells are not independent biological replicates; trend tests use sort_day x age summaries.
