candidate_group	sheet	n_cells	n_donors_or_samples	n_donors_with_age	min_age_years	max_age_years	sex_values	source_values	broad_cell_types	fine_cell_type_examples	human_lox_genes_targeted	expression_status	analysis_note
cTEC_like	stromal_cell_metadata	10683	45	0				Bautista et al.;Deng et al.;Park et al.	MKI67+cTEC;cTEC_hi;cTEC_lo	MKI67+cTEC;cTEC_hi;cTEC_lo	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
cTEC_like	thymocyte_metadata	6000	28	28	1.75	70.0	Female;Male		Epi	MKI67+cTEC;cTEC_hi;cTEC_lo	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
endothelial	stromal_cell_metadata	17665	55	0				Bautista et al.;Deng et al.;Park et al.	Endo;MKI67+Endo	Endo;MKI67+Endo	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
endothelial	thymocyte_metadata	1949	28	28	4.0	70.0	Female;Male		Endo	Endo;MKI67+Endo	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
epithelial	stromal_cell_metadata	20025	55	0				Bautista et al.;Deng et al.;Park et al.	Immature_TEC;MKI67+cTEC;MKI67+mTEC;TEC(myo);TEC(neuron);cTEC_hi;cTEC_lo;mTEC_hi;mTEC_lo;post_AIRE_mTEC	Immature_TEC;MKI67+cTEC;MKI67+mTEC;TEC(myo);TEC(neuron);cTEC_hi;cTEC_lo;mTEC_hi;mTEC_lo;post_AIRE_mTEC	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
epithelial	thymocyte_metadata	10637	30	30	1.75	70.0	Female;Male		Epi	Ciliated;Immature_TEC;Ionocyte;MKI67+cTEC;MKI67+mTEC;TEC(myo);TEC(neuron);Tuft;cTEC_hi;cTEC_lo;mTEC_hi;mTEC_lo;post_AIRE_mTEC	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
fibroblast_like_mesenchymal	stromal_cell_metadata	53880	59	0				Bautista et al.;Deng et al.;Park et al.	Fb_1;Fb_2;MKI67+VSMCs;VSMCs	Fb_1;Fb_2;MKI67+VSMCs;VSMCs	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
fibroblast_like_mesenchymal	thymocyte_metadata	36659	31	31	1.75	70.0	Female;Male		Mes	Fb_1;Fb_2;MKI67+Fb;MKI67+VSMCs;VSMCs	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
mTEC_like	stromal_cell_metadata	5268	48	0				Bautista et al.;Deng et al.;Park et al.	MKI67+mTEC;mTEC_hi;mTEC_lo;post_AIRE_mTEC	MKI67+mTEC;mTEC_hi;mTEC_lo;post_AIRE_mTEC	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
mTEC_like	thymocyte_metadata	2053	27	27	1.75	70.0	Female;Male		Epi	MKI67+mTEC;mTEC_hi;mTEC_lo;post_AIRE_mTEC	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
other	ETP_TP_metadata	36368	49	0				Deng et al.;Lavaert et al.;Le et al.	ETP;TP1;TP2	ETP;TP1;TP2	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
other	PBMC_metadata	174142	22	22	0.8333333333333334	105.0	Female;Male		ABC;HSPC;MK;Memory_B;Mono1;Mono2;Mono3;NK;Naive_B;Plasma;Tcell;cDC;pDC	ABC;CD4+CTL;CD4+RTE;CD4+TCM;CD4+TEFF;CD4+TEM;CD4+TN;CD56_Bright_NK;CD56_Dim_NK;CD8+RTE;CD8+TCM;CD8+TEM-B;CD8+TEM-K;CD8+TN;HSPC;IFN_T;LAG3+NK;MAIT;MK;Memory_B;Mono1;Mono2;Mono3;Naive_B;Plasma;T_un;Tex;Treg;Vδ1T-1;Vδ1T-2;Vδ2Vγ9T;cDC;pDC	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
other	stromal_cell_metadata	648	40	0				Bautista et al.;Deng et al.;Park et al.	Ciliated;Ionocyte;MKI67+Fb;Tuft	Ciliated;Ionocyte;MKI67+Fb;Tuft	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
other	thymocyte_metadata	164375	37	37	0.03285420944558522	70.0	Female;Male		Hema	Agonist_1;Agonist_2;CD4 SOX4hi SP;CD4 SOX4lo SP;CD8 SOX4hi SP;CD8 SOX4lo SP;DC1;DC1P;DC2;DN_P;DN_Q1;DN_Q2;DP_P;DP_Q;ETP;GNG4+CD8ααT;HSP_DP;IFN_CD8ααT;IFN_response;ISP-like;ImmatureNK;Lti;Macrophage;Mast;MatureNK;MemoryB;MemoryNK;Monocyte;NKT_like_CD8ααT;NaiveB;Neutrophil;Plasma;TP1;TP2;Treg;ZNF683+CD8ααT;aDC;memory-like CD4 T;memory-like CD8 T;pDC;pre-CD4 T;pre-CD8 T;pre_Treg1;pre_Treg2;αβ_Entry;γδT_1;γδT_2;γδT_3;γδT_P	LOX,LOXL1,LOXL2,LOXL3,LOXL4	not_available_metadata_only	Metadata parsed; expression matrix not analyzed. Do not treat cells as biological replicates.
