accession	source_database	title	species	tissue	cell_type_or_sort	technology	age_groups	n_young	n_aged	other_age_groups	has_mtec_specific_labels	has_mouse_or_biological_sample_id	has_processed_counts_available	has_run_or_batch_metadata	likely_age_batch_confound	LOX_family_test_possible	priority	reason	official_url	publication_url	data_url	notes
E-MTAB-8560	ArrayExpress/BioStudies/Bioconductor	Single-cell RNA-sequencing of mouse thymic epithelial cells across the first year of life	Mus musculus	thymus	FACS-purified TEC populations: mTEClo, mTEChi, cTEC, Dsg3+ TEC; inferred TEC subtypes include mTEC-like states	SMART-seq2 single-cell RNA-seq	1, 4, 16, 32, 52 weeks	5 mice per selected younger age	5 mice at 52 weeks	32 weeks and other intermediate ages	yes	yes	yes	yes	reduced but not eliminated; source states ages and days were block sorted into plate areas to minimize confounding	yes	P1	Best candidate found: independent mouse TEC ageing dataset with mTEClo/mTEChi sort labels, 5 individual mice per age, processed post-QC count matrices and metadata through MouseThymusAgeing, plus ArrayExpress/BioStudies run metadata.	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8560	https://elifesciences.org/articles/56221	https://bioconductor.org/packages/release/data/experiment/html/MouseThymusAgeing.html	Use as independent mTEC-focused transcript-level test, not exact GSE240016 mTEC1 replication.
E-MTAB-8737	ArrayExpress/BioStudies/Bioconductor	Charting the age-altered thymic epithelial cell differentiation by lineage tracing from a beta 5-t expressing TEC progenitor	Mus musculus	thymus	Hashed TEC lineage-tracing experiment with mTEC and cTEC groups after beta5t-lineage induction	10x Genomics droplet scRNA-seq with cell hashing	induction ages 1, 4, 16 weeks; sampled after induction interval	3 replicate structure in package description	3 replicate structure in package description	intermediate induction ages	yes	partial; SDRF lists mixed pool/source/run replicate and Bioconductor metadata supports multiplexed samples	yes	yes	possible; multiplexed design and source/run structure require explicit metadata audit	yes	P2	Usable but less direct than E-MTAB-8560: fewer biological replicates than target and transgenic lineage-tracing design, but processed data and mTEC/cTEC labels are available.	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8737	https://elifesciences.org/articles/56221	https://bioconductor.org/packages/release/data/experiment/html/MouseThymusAgeing.html	Secondary candidate if E-MTAB-8560 analysis is inconclusive or for sensitivity.
GSE56928	GEO	Global transcriptional profiling reveals distinct functions of thymic stromal subsets and age-related changes during thymic involution	Mus musculus	thymus	FACS-sorted cTEC, mTEClo, mTEChi, dendritic cell subsets, fibroblasts	Affymetrix Mouse Genome 430 2.0 microarray	1, 3, 6 months	2 at 1 month	2 at 6 months	3 months	yes	yes	yes	limited	age may be coupled to small replicate/sample structure; n=2 per age/subset	yes	P3	mTEClo/mTEChi labels are useful, but n=2 per age/subset does not improve biological power over the current n=2 vs n=2 concern, and it is microarray rather than RNA-seq.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56928	https://www.sciencedirect.com/science/article/pii/S2211124714007621	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56928	Directional early-involution context only.
GSE223049	GEO	Bulk RNA-seq in young and aged mice across 23 cell-types	Mus musculus	multiple tissues including thymus	Thymic epithelial and thymic fibroblast sorted bulk populations; no mTEC subtype	3-prime bulk RNA-seq	2 months and 22-24 months	5 thymic epithelial young samples	5 thymic epithelial aged samples	none	no	yes	yes	yes	unclear without run-level audit; broad thymic epithelial rows have biological sample labels	yes	P3	Good biological replication and processed counts, but thymic epithelial samples are broad TEC and cannot test mTEC/mTEC1 specificity.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223049	https://doi.org/10.1038/s43587-024-00672-8	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE223nnn/GSE223049/suppl/GSE223049_RNA_seq_counts_23_cell_types.txt.gz	Broad directional context only; already less specific than target.
GSE240016	GEO	Age-related epithelial defects limit thymic function and regeneration [single cell]	Mus musculus	thymus	CD45-negative thymic stromal scRNA-seq with mTEC1 annotation after analysis	10x Genomics scRNA-seq	2 months and 18 months at d0	2 CD45-negative d0 samples	2 CD45-negative d0 samples	TBI timepoints in same study	yes	limited locally; official accessions available	yes	yes	batch concern remains from current audit	yes	Reject	Current primary dataset, not independent, and retains n=2 vs n=2 mTEC1 limitation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240016	https://www.nature.com/articles/s41590-024-01915-9	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240016	Reference only; not an external test.
GSE240017	GEO	Age-related epithelial defects limit thymic function and regeneration [bulk]	Mus musculus	thymus	CD45-negative thymic stromal bulk RNA-seq; not mTEC-specific	bulk RNA-seq	2-month steady-state and post-TBI timepoints	4 at 2-month steady state	0 aged steady-state samples	TBI days 1, 4, 7	no	yes	yes	yes	not applicable for young-vs-aged mTEC testing	no	Reject	Same study family, not independent, no aged steady-state comparison, and broad CD45-negative stromal bulk rather than mTEC-specific.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240017	https://www.nature.com/articles/s41590-024-01915-9	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240017	Not suitable for the requested independent ageing test.
GSE137699	GEO	Single cell sequencing defines a branched progenitor population of stable medullary thymic epithelial cells	Mus musculus	thymus	Flow-sorted mTEC single-cell samples, Aire lineage trace and anti-RANKL experiments	10x Genomics scRNA-seq	2, 4, 6, 10 weeks and perturbation/control contexts	unclear; pooled thymi per sample	unclear; no aged group	no old-age group	yes	limited; samples may pool multiple thymi	yes	yes	not an ageing young-vs-aged design	no	Reject	Useful mTEC biology dataset, but it is not an adult ageing dataset with young-vs-aged biological replicate structure.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137699	https://doi.org/10.1038/s41467-020-20040-7	https://github.com/kwells4/mtec_analysis	No old mouse comparison.
GSE114651	GEO	RNA-seq of medullary thymic epithelial cell subsets in inducible Aire-lineage tracing mice	Mus musculus	thymus	Sorted mTEC subsets after Aire lineage tracing	bulk RNA-seq	6-8 week adult lineage-tracing timepoint	0 ageing comparison	0 ageing comparison	none	yes	yes	yes	yes	not an ageing design	no	Reject	mTEC-specific and replicated, but not young-vs-aged.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114651		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114651	Not suitable for ageing test.
GSE103967	GEO	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage	Mus musculus	thymus	Thymic stromal scRNA-seq with TEC/mTEC states	Smart-seq2/scRNA-seq	adult/reference and perturbation contexts, not ageing	0 ageing comparison	0 ageing comparison	none	yes	unclear	yes	yes	not an ageing design	no	Reject	Useful thymic stromal reference, but not designed as a young-vs-aged mouse mTEC dataset.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103967	https://www.nature.com/articles/s41586-018-0119-4	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103967	Reference annotation context only.
GSE236070	GEO	Transcriptome of mimetic thymic epithelial cell populations	Mus musculus	thymus	Mimetic TEC subsets from young wild-type mice	bulk RNA-seq / MARS-seq	young 5-week mice only	0 ageing comparison	0 ageing comparison	none	yes	yes	yes	yes	not an ageing design	no	Reject	TEC-subtype dataset but no young-vs-aged comparison.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236070	https://doi.org/10.1038/s41586-023-06586-6	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236070	Not suitable for ageing test.
