candidate_id	accession	source	file_name	file_url	file_type	file_format	estimated_size_bytes	estimated_size_human	is_expression_matrix_candidate	is_metadata_candidate	is_raw_archive	is_processed	download_recommended_now	reason
HTD_CELLXGENE_PARK_TEC	CELLxGENE de13e3e2-23b6-40ed-a413-e9e12d7d3910	CELLxGENE	Human Thymic Epithelial Cells - A cell atlas of human thymic development defines T cell repertoire formation	https://datasets.cellxgene.cziscience.com/0af6c752-f1f4-44b3-8186-32f590fdd531.h5ad	H5AD	H5AD	264307759	252.1 MB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_CELLXGENE_YAYON_TEC	CELLxGENE fc19ae6c-d7c1-4dce-b703-62c5d52061b4	CELLxGENE	thymus scRNA-seq atlas - fibroblast subset	https://datasets.cellxgene.cziscience.com/6e0c3112-bbaa-4702-a2bd-1fe921ab1cc6.h5ad	H5AD	H5AD	74464146	71.0 MB	yes	no	no	yes	no	expression candidate should not be downloaded into repository during feasibility audit
HTD_CELLXGENE_YAYON_TEC	CELLxGENE fc19ae6c-d7c1-4dce-b703-62c5d52061b4	CELLxGENE	thymus scRNA-seq atlas - thymic epithelial cell subset	https://datasets.cellxgene.cziscience.com/ad4813c6-33ce-48e6-8505-8bbaca5408c5.h5ad	H5AD	H5AD	135051848	128.8 MB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_CELLXGENE_YAYON_TEC	CELLxGENE fc19ae6c-d7c1-4dce-b703-62c5d52061b4	CELLxGENE	thymus scRNA-seq atlas - vascular cell subset	https://datasets.cellxgene.cziscience.com/f483be56-16e7-42ee-b476-132854b14813.h5ad	H5AD	H5AD	94238100	89.9 MB	yes	no	no	yes	no	expression candidate should not be downloaded into repository during feasibility audit
HTD_GSE147520_STROMA	GSE147520	GEO	GSE147520_Bautista_Park_combined.h5ad.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_Bautista_Park_combined.h5ad.gz	GZ	GZ	417772720	398.4 MB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_GSE147520_STROMA	GSE147520	GEO	GSE147520_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_RAW.tar	TAR	TAR	415723520	396.5 MB	no	no	yes	no	no	raw archive or raw-like file is outside Stage 2 scope
HTD_GSE147520_STROMA	GSE147520	GEO	GSE147520_all_cells.h5ad.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_all_cells.h5ad.gz	GZ	GZ	487549474	465.0 MB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_GSE147520_STROMA	GSE147520	GEO	GSE147520_epithelial_cells.h5ad.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_epithelial_cells.h5ad.gz	GZ	GZ	103768949	99.0 MB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_GSE147520_STROMA	GSE147520	GEO	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/filelist.txt	TXT	TXT	1558	1.5 KB	no	no	no	no	yes	small non-expression metadata or landing page
HTD_GSE231906_AGING	GSE231906	GEO	GSE231906_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/GSE231906_RAW.tar	TAR	TAR	3961333760	3.7 GB	yes	no	no	yes	no	expression candidate is above 100 MB; record only, do not download in Stage 2
HTD_GSE231906_AGING	GSE231906	GEO	GSE231906_cell-level_metadata.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/GSE231906_cell-level_metadata.xlsx	XLSX	XLSX	18065742	17.2 MB	no	yes	no	yes	yes	metadata file or endpoint is small enough for audit
HTD_GSE231906_AGING	GSE231906	GEO	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/filelist.txt	TXT	TXT	16350	16.0 KB	no	no	no	no	yes	small non-expression metadata or landing page
HTD_GSE231906_AGING	GSE231906	GEO	GSE231906_cell-level_metadata.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231906/suppl/GSE231906%5Fcell%2Dlevel%5Fmetadata%2Exlsx	XLSX	XLSX	18065742	17.2 MB	no	yes	no	yes	yes	metadata workbook is below 100 MB and may be fetched to a temp directory for schema inspection
