dataset	donor_id	sample_id	development_stage	sex	celltypes	target_gene	gene_present	n_cells	n_detected	detection_fraction	mean_value	matrix_used	matrix_semantics	notes
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(myo)	LOX	yes	45	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(neuro)	LOX	yes	71	1	0.0140845		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cTEC	LOX	yes	21	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(I)	LOX	yes	2036	48	0.0235756		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(II)	LOX	yes	20	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(III)	LOX	yes	48	2	0.0416667		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(IV)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mcTEC	LOX	yes	3	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(myo)	LOX	yes	43	1	0.0232558		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(neuro)	LOX	yes	91	3	0.032967		X	partial	Detection preview only; no statistical test was run.
