gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	21	0	0
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	2225	51	0.0229213
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cortical thymic epithelial cell	18	0	0
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	2278	55	0.024144
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	2	0	0
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	74	7	0.0945946
LOX	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	4	0	0
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	191	11	0.0575916
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	1218	76	0.0623974
LOX	A45	A45_TH_TOT_5GEX	15-19 year-old	male	medullary thymic epithelial cell	13	0	0
LOX	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cortical thymic epithelial cell	60	1	0.0166667
LOX	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	cortical thymic epithelial cell	2628	53	0.0201674
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	epithelial cell of thymus	4	0	0
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	medullary thymic epithelial cell	178	9	0.0505618
LOX	C40	C40_TH_TOT_2	organogenesis stage	female	cortical thymic epithelial cell	2774	50	0.0180245
LOX	C40	C40_TH_TOT_2	organogenesis stage	female	epithelial cell of thymus	3	0	0
LOX	C40	C40_TH_TOT_2	organogenesis stage	female	medullary thymic epithelial cell	211	5	0.0236967
LOX	C41	C41_TH_TOT_1	organogenesis stage	male	cortical thymic epithelial cell	1754	47	0.0267959
LOX	C41	C41_TH_TOT_1	organogenesis stage	male	epithelial cell of thymus	35	0	0
LOX	C41	C41_TH_TOT_1	organogenesis stage	male	medullary thymic epithelial cell	19	0	0
LOX	C41	C41_TH_TOT_2	organogenesis stage	male	cortical thymic epithelial cell	1774	31	0.0174746
LOX	C41	C41_TH_TOT_2	organogenesis stage	male	epithelial cell of thymus	32	0	0
LOX	C41	C41_TH_TOT_2	organogenesis stage	male	medullary thymic epithelial cell	30	2	0.0666667
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	medullary thymic epithelial cell	40	0	0
LOX	F22	F22_TH_TOT	10th week post-fertilization stage	female	cortical thymic epithelial cell	8	0	0
LOX	F22	F22_TH_TOT	10th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	medullary thymic epithelial cell	13	1	0.0769231
LOX	F38	F38_TH_45N_1	13th week post-fertilization stage	male	medullary thymic epithelial cell	12	0	0
LOX	F38	F38_TH_45N_2	13th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOX	F41	F41_TH_45N	17th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOX	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	7	1	0.142857
LOX	F45	F45_TH_45N	12th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOX	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cortical thymic epithelial cell	3	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	medullary thymic epithelial cell	6	0	0
LOX	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cortical thymic epithelial cell	4	0	0
