gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(myo)	45	0	0
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(neuro)	71	1	0.0140845
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cTEC	21	0	0
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(I)	2036	48	0.0235756
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(II)	20	0	0
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(III)	48	2	0.0416667
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(IV)	2	0	0
LOX	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mcTEC	3	0	0
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(myo)	43	1	0.0232558
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(neuro)	91	3	0.032967
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cTEC	18	0	0
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(I)	2054	42	0.0204479
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(II)	17	1	0.0588235
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(III)	65	8	0.123077
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(IV)	4	0	0
LOX	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mcTEC	4	0	0
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	TEC(myo)	2	0	0
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	TEC(neuro)	2	0	0
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cTEC	2	0	0
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	mTEC(I)	68	7	0.102941
LOX	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	mcTEC	2	0	0
LOX	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(I)	2	0	0
LOX	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(II)	1	0	0
LOX	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(III)	1	0	0
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	TEC(myo)	27	0	0
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	TEC(neuro)	34	0	0
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(I)	66	1	0.0151515
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(II)	4	0	0
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(III)	55	10	0.181818
LOX	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(IV)	5	0	0
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	TEC(myo)	67	0	0
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	TEC(neuro)	114	0	0
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(I)	770	48	0.0623377
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(II)	36	1	0.0277778
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(III)	218	27	0.123853
LOX	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(IV)	13	0	0
LOX	A45	A45_TH_TOT_5GEX	15-19 year-old	male	TEC(neuro)	1	0	0
LOX	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(I)	3	0	0
LOX	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(II)	2	0	0
LOX	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(III)	7	0	0
LOX	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOX	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cTEC	60	1	0.0166667
LOX	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	mTEC(I)	1	0	0
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	Epi_GCM2	4	0	0
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(myo)	1	0	0
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(neuro)	21	2	0.0952381
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	cTEC	2628	53	0.0201674
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(II)	145	6	0.0413793
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(III)	10	1	0.1
LOX	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(IV)	1	0	0
