metric	value
h5ad_path	data\external\human_thymus\cellxgene_park_tec\park_tec.h5ad
n_obs	18524
n_vars	32088
x_shape	(18524, 32088)
x_dtype	float32
x_storage	sparse
x_class	anndata._core.sparse_dataset._CSRDataset
raw_exists	yes
raw_x_shape	(18524, 32088)
raw_x_dtype	float32
raw_x_storage	sparse
raw_x_class	anndata._core.sparse_dataset._CSRDataset
layers	none
uns_keys	cell_type_ontology_term_id_colors; citation; is_pre_analysis; organism; organism_ontology_term_id; schema_reference; schema_version; title
schema_reference	https://github.com/chanzuckerberg/single-cell-curation/blob/main/schema/7.1.0/schema.md
schema_version	7.1.0
title	Human Thymic Epithelial Cells - A cell atlas of human thymic development defines T cell repertoire formation
var_columns	feature_is_filtered; feature_name; feature_reference; feature_biotype; feature_length; feature_type
raw_var_columns	feature_name; feature_reference; feature_biotype; feature_length; feature_type
matrix_semantics_clear	partial
recommended_detection_matrix	X
recommended_mean_value_matrix	not_selected
mean_value_allowed	no
reason	X and raw.X are present and target genes are available, but the H5AD does not provide enough local matrix annotation to label values as raw counts or normalized expression for mean-value summaries.
