donor_id	sample	development_stage	sex	cell_type_level_2	n_cells
6m_thymus_donor	GSM4838951	6-month-old stage	female	cTEC	192
6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC	36
6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC-mimetic	31
6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	17
6m_thymus_donor	GSM4838952	6-month-old stage	female	cTEC	1011
6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC	14
6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC-mimetic	17
6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	6
6m_thymus_donor	GSM4838953	6-month-old stage	female	cTEC	2
6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC	309
6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC-mimetic	295
6m_thymus_donor	GSM4838953	6-month-old stage	female	mcTEC	14
6m_thymus_donor	GSM4838954	6-month-old stage	female	cTEC	4
6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC	237
6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC-mimetic	1485
6m_thymus_donor	GSM4838954	6-month-old stage	female	mcTEC	2
F21	FCAImmP7179370	17th week post-fertilization stage	male	cTEC	7
F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC	22
F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC-mimetic	11
F21	FCAImmP7179370	17th week post-fertilization stage	male	mcTEC	3
F23	FCAImmP7198635	12th week post-fertilization stage	male	cTEC	4
F23	FCAImmP7198635	12th week post-fertilization stage	male	mcTEC	2
F30	FCAImmP7277565	15th week post-fertilization stage	male	cTEC	4
F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC	9
F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC-mimetic	3
F30	FCAImmP7277565	15th week post-fertilization stage	male	mcTEC	5
F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC	9
F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC-mimetic	2
F38	FCAImmP7528285	14th week post-fertilization stage	male	cTEC	1
F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC	10
F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC-mimetic	2
F45	FCAImmP7579231	13th week post-fertilization stage	female	cTEC	1
F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC	4
F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC-mimetic	3
