gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-cilliated	10	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-myo	1	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-neuro	20	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECI	20	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECII	42	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECIII	130	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECI	27	1	0.037037	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECI-trans	4	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECIII	5	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	16	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC-Prolif	1	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	TEC-cilliated	2	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	TEC-neuro	15	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECI	18	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECII	214	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECIII	779	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECI	2	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECII	1	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECIII	11	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	3	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC-Prolif	3	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	TEC-cilliated	22	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	TEC-myo	159	2	0.0125786	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	TEC-neuro	114	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	cTECI	2	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTECI	216	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTECI-trans	88	0	0	X
