gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOX	10-month-old stage	cTEC	1	2	2	275	0.00220265	0.00220265	not_generated	not_generated
LOX	10-month-old stage	mTEC	1	2	2	645	0.0200003	0.0200003	not_generated	not_generated
LOX	10-month-old stage	mTEC-mimetic	1	2	2	102	0.00657895	0.00657895	not_generated	not_generated
LOX	10-month-old stage	mcTEC	1	2	2	224	0.0740741	0.0740741	not_generated	not_generated
LOX	12th week post-fertilization stage	cTEC	2	3	3	9	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mTEC	1	2	2	2	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mcTEC	2	3	3	10	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	cTEC	2	2	2	2	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	mTEC	2	2	2	8	0.125	0.125	not_generated	not_generated
LOX	13th week post-fertilization stage	mTEC-mimetic	2	2	2	4	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	cTEC	1	1	1	1	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	mTEC	1	2	2	19	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	mTEC-mimetic	1	2	2	4	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	cTEC	1	1	1	4	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	mTEC	1	1	1	9	0.111111	0.111111	not_generated	not_generated
LOX	15th week post-fertilization stage	mTEC-mimetic	1	1	1	3	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mTEC	1	1	1	22	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mTEC-mimetic	1	1	1	11	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	cTEC	1	1	1	87	0.0229885	0.0229885	not_generated	not_generated
