gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOX	10-month-old stage	TEC-cilliated	1	2	2	21	0	0	not_generated	not_generated
LOX	10-month-old stage	TEC-myo	1	2	2	52	0.0116279	0.0116279	not_generated	not_generated
LOX	10-month-old stage	TEC-neuro	1	2	2	29	0	0	not_generated	not_generated
LOX	10-month-old stage	cTECI	1	2	2	109	0.00467289	0.00467289	not_generated	not_generated
LOX	10-month-old stage	cTECII	1	2	2	89	0	0	not_generated	not_generated
LOX	10-month-old stage	cTECIII	1	2	2	77	0	0	not_generated	not_generated
LOX	10-month-old stage	mTECI	1	2	2	263	0.00592885	0.00592885	not_generated	not_generated
LOX	10-month-old stage	mTECI-trans	1	2	2	20	0	0	not_generated	not_generated
LOX	10-month-old stage	mTECII	1	2	2	45	0	0	not_generated	not_generated
LOX	10-month-old stage	mTECIII	1	2	2	317	0.0279802	0.0279802	not_generated	not_generated
LOX	10-month-old stage	mcTEC	1	2	2	220	0.0742924	0.0742924	not_generated	not_generated
LOX	10-month-old stage	mcTEC-Prolif	1	1	1	4	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	cTECI	2	3	3	8	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	cTECII	1	1	1	1	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mTECI	1	1	1	1	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mcTEC	1	2	2	7	0	0	not_generated	not_generated
LOX	12th week post-fertilization stage	mcTEC-Prolif	2	2	2	3	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	TEC-myo	1	1	1	1	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	TEC-neuro	2	2	2	3	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	cTECI	2	2	2	2	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	mTECI	2	2	2	6	0.166666	0.166666	not_generated	not_generated
LOX	13th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOX	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	TEC-myo	1	2	2	2	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	TEC-neuro	1	2	2	2	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	cTECI	1	1	1	1	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	mTECI	1	2	2	18	0	0	not_generated	not_generated
LOX	14th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	TEC-myo	1	1	1	2	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	cTECI	1	1	1	4	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	mTECI	1	1	1	7	0.142857	0.142857	not_generated	not_generated
LOX	15th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	mTECIII	1	1	1	1	0	0	not_generated	not_generated
LOX	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	TEC-cilliated	1	1	1	2	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	TEC-myo	1	1	1	4	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	TEC-neuro	1	1	1	5	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	cTECI	1	1	1	3	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	cTECII	1	1	1	4	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mTECI	1	1	1	9	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mTECI-trans	1	1	1	12	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOX	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	TEC-myo	1	1	1	5	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	TEC-neuro	1	1	1	3	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	cTECI	1	1	1	44	0.0454545	0.0454545	not_generated	not_generated
LOX	18th week post-fertilization stage	cTECII	1	1	1	43	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	mTECI	1	1	1	137	0.116788	0.116788	not_generated	not_generated
LOX	18th week post-fertilization stage	mTECI-trans	1	1	1	7	0.142857	0.142857	not_generated	not_generated
LOX	18th week post-fertilization stage	mTECII	1	1	1	19	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	mTECIII	1	1	1	12	0	0	not_generated	not_generated
LOX	18th week post-fertilization stage	mcTEC	1	1	1	153	0.0718954	0.0718954	not_generated	not_generated
LOX	18th week post-fertilization stage	mcTEC-Prolif	1	1	1	11	0.181818	0.181818	not_generated	not_generated
LOX	2-year-old stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
