gene	donor_id	samples	age_development	sex	cell_type_broad_derived	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	TEC-like	1515	43	0.0283828	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC-like	27	0	0	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC-like	865	40	0.0462428	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	myoid-like	35	3	0.0857143	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	neuroendocrine-like	130	5	0.0384615	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	other_epithelial	59	0	0	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257	23	0.0182975	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175	74	0.0142995	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023	15	0.0146628	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104	4	0.0384615	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161	3	0.0186335	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19	1	0.0526316	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259	5	0.019305	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594	7	0.0117845	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411	3	0.00729927	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364	2	0.00549451	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722	7	0.00969529	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88	0	0	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264	6	0.0227273	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198	4	0.020202	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603	17	0.0281924	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40	1	0.025	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69	1	0.0144928	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98	1	0.0102041	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119	1	0.00840336	raw.X	
