gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11	0	0	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31	7	0.225806	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515	43	0.0283828	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59	0	0	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35	3	0.0857143	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130	5	0.0384615	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2	0	0	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25	0	0	raw.X	
LOX	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823	33	0.0400972	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79	4	0.0506329	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56	1	0.0178571	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257	23	0.0182975	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19	1	0.0526316	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104	4	0.0384615	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161	3	0.0186335	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469	46	0.018631	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706	28	0.0103474	raw.X	
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888	10	0.0112613	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98	0	0	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247	3	0.0121457	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259	5	0.019305	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88	0	0	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364	2	0.00549451	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722	7	0.00969529	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215	3	0.0139535	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379	4	0.0105541	raw.X	
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66	0	0	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35	0	0	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295	12	0.040678	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264	6	0.0227273	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40	1	0.025	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69	1	0.0144928	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151	2	0.013245	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47	2	0.0425532	raw.X	
LOX	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273	5	0.018315	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2	0	0	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93	1	0.0107527	raw.X	
LOX	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5	0	0	raw.X	
