gene	age_development	cell_type_broad_derived	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOX	Adult (25 yo)	TEC-like	1	1	1	1515	0.0283828	0.0283828	not_generated	not_generated	
LOX	Adult (25 yo)	cTEC-like	1	1	1	27	0	0	not_generated	not_generated	
LOX	Adult (25 yo)	mTEC-like	1	1	1	865	0.0462428	0.0462428	not_generated	not_generated	
LOX	Adult (25 yo)	myoid-like	1	1	1	35	0.0857143	0.0857143	not_generated	not_generated	
LOX	Adult (25 yo)	neuroendocrine-like	1	1	1	130	0.0384615	0.0384615	not_generated	not_generated	
LOX	Adult (25 yo)	other_epithelial	1	1	1	59	0	0	not_generated	not_generated	
LOX	Fetal (19 weeks)	TEC-like	1	1	1	1257	0.0182975	0.0182975	not_generated	not_generated	
LOX	Fetal (19 weeks)	cTEC-like	1	1	1	5175	0.0142995	0.0142995	not_generated	not_generated	
LOX	Fetal (19 weeks)	mTEC-like	1	1	1	1023	0.0146628	0.0146628	not_generated	not_generated	
LOX	Fetal (19 weeks)	myoid-like	1	1	1	104	0.0384615	0.0384615	not_generated	not_generated	
LOX	Fetal (19 weeks)	neuroendocrine-like	1	1	1	161	0.0186335	0.0186335	not_generated	not_generated	
LOX	Fetal (19 weeks)	other_epithelial	1	1	1	19	0.0526316	0.0526316	not_generated	not_generated	
LOX	Fetal (23 weeks)	TEC-like	1	1	1	259	0.019305	0.019305	not_generated	not_generated	
LOX	Fetal (23 weeks)	cTEC-like	1	1	1	594	0.0117845	0.0117845	not_generated	not_generated	
LOX	Fetal (23 weeks)	mTEC-like	1	1	1	411	0.00729927	0.00729927	not_generated	not_generated	
LOX	Fetal (23 weeks)	myoid-like	1	1	1	364	0.00549451	0.00549451	not_generated	not_generated	
LOX	Fetal (23 weeks)	neuroendocrine-like	1	1	1	722	0.00969529	0.00969529	not_generated	not_generated	
LOX	Fetal (23 weeks)	other_epithelial	1	1	1	88	0	0	not_generated	not_generated	
LOX	Postnatal (10 months)	TEC-like	1	1	1	264	0.0227273	0.0227273	not_generated	not_generated	
LOX	Postnatal (10 months)	cTEC-like	1	1	1	198	0.020202	0.020202	not_generated	not_generated	
LOX	Postnatal (10 months)	mTEC-like	1	1	1	603	0.0281924	0.0281924	not_generated	not_generated	
LOX	Postnatal (10 months)	myoid-like	1	1	1	40	0.025	0.025	not_generated	not_generated	
LOX	Postnatal (10 months)	neuroendocrine-like	1	1	1	69	0.0144928	0.0144928	not_generated	not_generated	
LOX	Postnatal (6 days)	TEC-like	1	1	1	12	0	0	not_generated	not_generated	
LOX	Postnatal (6 days)	cTEC-like	1	1	1	98	0.0102041	0.0102041	not_generated	not_generated	
LOX	Postnatal (6 days)	mTEC-like	1	1	1	119	0.00840336	0.00840336	not_generated	not_generated	
