gene	age_development	cell_types_epith	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOX	Adult (25 yo)	Aire+ mTEC hi	1	1	1	11	0	0	not_generated	not_generated	
LOX	Adult (25 yo)	Corneocyte-like mTEC	1	1	1	31	0.225806	0.225806	not_generated	not_generated	
LOX	Adult (25 yo)	Immature TEC	1	1	1	1515	0.0283828	0.0283828	not_generated	not_generated	
LOX	Adult (25 yo)	Myelin+	1	1	1	59	0	0	not_generated	not_generated	
LOX	Adult (25 yo)	Myoid	1	1	1	35	0.0857143	0.0857143	not_generated	not_generated	
LOX	Adult (25 yo)	Neuroendocrine	1	1	1	130	0.0384615	0.0384615	not_generated	not_generated	
LOX	Adult (25 yo)	cTEC hi	1	1	1	2	0	0	not_generated	not_generated	
LOX	Adult (25 yo)	cTEC lo	1	1	1	25	0	0	not_generated	not_generated	
LOX	Adult (25 yo)	mTEC lo	1	1	1	823	0.0400972	0.0400972	not_generated	not_generated	
LOX	Fetal (19 weeks)	Aire+ mTEC hi	1	1	1	79	0.0506329	0.0506329	not_generated	not_generated	
LOX	Fetal (19 weeks)	Corneocyte-like mTEC	1	1	1	56	0.0178571	0.0178571	not_generated	not_generated	
LOX	Fetal (19 weeks)	Immature TEC	1	1	1	1257	0.0182975	0.0182975	not_generated	not_generated	
LOX	Fetal (19 weeks)	Myelin+	1	1	1	19	0.0526316	0.0526316	not_generated	not_generated	
LOX	Fetal (19 weeks)	Myoid	1	1	1	104	0.0384615	0.0384615	not_generated	not_generated	
LOX	Fetal (19 weeks)	Neuroendocrine	1	1	1	161	0.0186335	0.0186335	not_generated	not_generated	
LOX	Fetal (19 weeks)	cTEC hi	1	1	1	2469	0.018631	0.018631	not_generated	not_generated	
LOX	Fetal (19 weeks)	cTEC lo	1	1	1	2706	0.0103474	0.0103474	not_generated	not_generated	
LOX	Fetal (19 weeks)	mTEC lo	1	1	1	888	0.0112613	0.0112613	not_generated	not_generated	
LOX	Fetal (23 weeks)	Aire+ mTEC hi	1	1	1	98	0	0	not_generated	not_generated	
LOX	Fetal (23 weeks)	Corneocyte-like mTEC	1	1	1	247	0.0121457	0.0121457	not_generated	not_generated	
