field_name	dtype	non_null_count	unique_count	examples	candidate_role
gene_ids-0-Fetus-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
gene_ids-1-Fetus-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
gene_ids-2-Fetus-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
gene_ids-0-Peds-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
gene_ids-1-Peds-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
gene_ids-2-Peds-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
feature_types-2-Peds-0	category	804	1	Gene Expression	feature_metadata
gene_ids-3-Peds-0	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
feature_types-3-Peds-0	category	804	1	Gene Expression	feature_metadata
gene_ids-1	object	804	804	ENSG00000187634; ENSG00000187608; ENSG00000162576; ENSG00000189409; ENSG00000169885; ENSG00000173641; ENSG00000117122; ENSG00000188257; ENSG00000158786; ENSG00000133216; ENSG00000057757; ENSG00000197245	feature_metadata
feature_types-1	category	804	1	Gene Expression	feature_metadata
n_cells	int64	804	762	863; 34263; 8101; 5359; 571; 395; 6491; 814; 649; 1314; 19021; 10319	feature_metadata
highly_variable	bool	804	1	True	feature_metadata
means	float32	804	804	0.033907082; 1.4712197; 0.31772766; 0.25602162; 0.027705956; 0.013307395; 0.26122972; 0.068339765; 0.021635255; 0.05439988; 0.66340506; 0.3569466	feature_metadata
dispersions	float32	804	804	1.4794456; 2.7291422; 1.5816205; 1.7689757; 1.7119473; 1.5448989; 1.5557787; 3.616193; 1.7183827; 1.4969401; 2.3327217; 1.6796122	feature_metadata
dispersions_norm	float32	804	804	0.52562886; 1.1402785; 0.6072125; 1.1879481; 1.0574919; 0.6753575; 0.700246; 5.413579; 1.0722133; 0.5656488; 1.8244599; 0.8581902	feature_metadata
