member_name	size_bytes	is_file	classification	unit_key
GSM8945749_donor1_barcodes.tsv.gz	27961	yes	barcodes_tsv	GSM8945749_donor1
GSM8945749_donor1_features.tsv.gz	304728	yes	features_tsv	GSM8945749_donor1
GSM8945749_donor1_filtered_contig_annotations.csv.gz	359276	yes	compressed_file	GSM8945749_donor1_filtered_contig_annotations
GSM8945749_donor1_matrix.mtx.gz	24406457	yes	matrix_mtx	GSM8945749_donor1
GSM8945750_donor2_barcodes.tsv.gz	44923	yes	barcodes_tsv	GSM8945750_donor2
GSM8945750_donor2_features.tsv.gz	304728	yes	features_tsv	GSM8945750_donor2
GSM8945750_donor2_filtered_contig_annotations.csv.gz	653131	yes	compressed_file	GSM8945750_donor2_filtered_contig_annotations
GSM8945750_donor2_matrix.mtx.gz	39921288	yes	matrix_mtx	GSM8945750_donor2
GSM8945751_donor3_barcodes.tsv.gz	38563	yes	barcodes_tsv	GSM8945751_donor3
GSM8945751_donor3_features.tsv.gz	304728	yes	features_tsv	GSM8945751_donor3
GSM8945751_donor3_filtered_contig_annotations.csv.gz	519652	yes	compressed_file	GSM8945751_donor3_filtered_contig_annotations
GSM8945751_donor3_matrix.mtx.gz	33973987	yes	matrix_mtx	GSM8945751_donor3
GSM8945752_donor4_barcodes.tsv.gz	55702	yes	barcodes_tsv	GSM8945752_donor4
GSM8945752_donor4_features.tsv.gz	304728	yes	features_tsv	GSM8945752_donor4
GSM8945752_donor4_filtered_contig_annotations.csv.gz	807079	yes	compressed_file	GSM8945752_donor4_filtered_contig_annotations
GSM8945752_donor4_matrix.mtx.gz	57966757	yes	matrix_mtx	GSM8945752_donor4
GSM8945753_donor5_barcodes.tsv.gz	41133	yes	barcodes_tsv	GSM8945753_donor5
GSM8945753_donor5_features.tsv.gz	304728	yes	features_tsv	GSM8945753_donor5
GSM8945753_donor5_filtered_contig_annotations.csv.gz	588375	yes	compressed_file	GSM8945753_donor5_filtered_contig_annotations
GSM8945753_donor5_matrix.mtx.gz	46113823	yes	matrix_mtx	GSM8945753_donor5
GSM8945754_donor6_barcodes.tsv.gz	54493	yes	barcodes_tsv	GSM8945754_donor6
GSM8945754_donor6_features.tsv.gz	304728	yes	features_tsv	GSM8945754_donor6
GSM8945754_donor6_filtered_contig_annotations.csv.gz	789982	yes	compressed_file	GSM8945754_donor6_filtered_contig_annotations
GSM8945754_donor6_matrix.mtx.gz	55124433	yes	matrix_mtx	GSM8945754_donor6
GSM8945755_donor7-1_barcodes.tsv.gz	52134	yes	barcodes_tsv	GSM8945755_donor7-1
GSM8945755_donor7-1_features.tsv.gz	304728	yes	features_tsv	GSM8945755_donor7-1
GSM8945755_donor7-1_filtered_contig_annotations.csv.gz	382469	yes	compressed_file	GSM8945755_donor7-1_filtered_contig_annotations
GSM8945755_donor7-1_matrix.mtx.gz	64882719	yes	matrix_mtx	GSM8945755_donor7-1
GSM8945756_donor7-2_barcodes.tsv.gz	36156	yes	barcodes_tsv	GSM8945756_donor7-2
