sheet	broad_compartment	fine_cell_type	n_cells	n_unique_cell_ids	n_donors	n_samples	age_groups	compartments
ETP_TP_metadata			4870	4870	31	31	age_unknown	other
ETP_TP_metadata		Thy1	1055	1055	18	18	age_unknown	other
ETP_TP_metadata		Thy2a	6015	6015	18	18	age_unknown	other
ETP_TP_metadata		Thy2b	5911	5911	18	18	age_unknown	other
ETP_TP_metadata		Thy2c	12542	12542	18	18	age_unknown	other
ETP_TP_metadata		Thy3	5975	5975	18	18	age_unknown	other
PBMC_metadata	ABC	ABC	785	785	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	HSPC	HSPC	93	93	21	21	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	MK	MK	4913	4913	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Memory_B	Memory_B	5583	5583	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Mono1	Mono1	23245	23245	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Mono2	Mono2	5101	5101	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Mono3	Mono3	83	83	11	11	fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	NK	CD56_Bright_NK	867	867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	NK	CD56_Dim_NK	6327	6327	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	NK	LAG3+NK	13071	13071	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Naive_B	Naive_B	13527	13527	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Plasma	Plasma	1206	1206	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+CTL	10464	10464	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+RTE	2488	2488	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+TCM	7867	7867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+TEFF	4872	4872	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+TEM	2968	2968	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD4+TN	20206	20206	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD8+RTE	922	922	16	16	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD8+TCM	2256	2256	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD8+TEM-B	11641	11641	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD8+TEM-K	7926	7926	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	CD8+TN	9586	9586	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	IFN_T	1136	1136	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	MAIT	1948	1948	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	T_un	1265	1265	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	Tex	674	674	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	Treg	3491	3491	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	Vδ1T-1	994	994	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	Vδ1T-2	3186	3186	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	Tcell	Vδ2Vγ9T	2867	2867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	cDC	cDC	1940	1940	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
PBMC_metadata	pDC	pDC	644	644	21	21	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y	other
Table Caption			4	4	1	1	age_unknown	other
stromal_cell_metadata		Ciliated	445	445	36	36	age_unknown	other
stromal_cell_metadata		Endo	17399	17399	55	55	age_unknown	endothelial
stromal_cell_metadata		Fb_1	33707	33707	58	58	age_unknown	mesenchymal_or_fibroblast_like
stromal_cell_metadata		Fb_2	11680	11680	55	55	age_unknown	mesenchymal_or_fibroblast_like
stromal_cell_metadata		Immature_TEC	2768	2768	35	35	age_unknown	epithelial_or_epi;immature_TEC
stromal_cell_metadata		Ionocyte	138	138	25	25	age_unknown	other
stromal_cell_metadata		MKI67+Endo	266	266	8	8	age_unknown	endothelial
