donor_id	sample_id	n_cells	age_raw	age_years_min	age_years_max	age_group	sex	broad_compartments	fine_cell_type_count	target_compartments
		4				age_unknown			1	other
A16_TH_TOT_1	A16_TH_TOT_1	15				age_unknown			3	endothelial; mesenchymal_or_fibroblast_like
A16_TH_TOT_2	A16_TH_TOT_2	17				age_unknown			5	endothelial; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like
A16_TH_TOT_3	A16_TH_TOT_3	12				age_unknown			4	endothelial; epithelial_or_epi;mtec_like; mesenchymal_or_fibroblast_like
A16_TH_TOT_4	A16_TH_TOT_4	10				age_unknown			4	endothelial; mesenchymal_or_fibroblast_like; other
A16_TH_TOT_5	A16_TH_TOT_5	93				age_unknown			8	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like; other
A16_TH_TOT_5GEX_1	A16_TH_TOT_5GEX_1	8				age_unknown			3	endothelial; mesenchymal_or_fibroblast_like
A16_TH_TOT_5GEX_2	A16_TH_TOT_5GEX_2	13				age_unknown			5	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; mesenchymal_or_fibroblast_like
A16_TH_TOT_5GEX_3	A16_TH_TOT_5GEX_3	16				age_unknown			4	endothelial; mesenchymal_or_fibroblast_like; other
A16_TH_TOT_5GEX_4	A16_TH_TOT_5GEX_4	19				age_unknown			5	endothelial; epithelial_or_epi; mesenchymal_or_fibroblast_like
A16_TH_TOT_5GEX_5	A16_TH_TOT_5GEX_5	86				age_unknown			4	endothelial; mesenchymal_or_fibroblast_like
A16_TH_TOT_5GEX_6	A16_TH_TOT_5GEX_6	68				age_unknown			8	endothelial; epithelial_or_epi;ctec_like; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like; other
A16_TH_TOT_5GEX_7	A16_TH_TOT_5GEX_7	74				age_unknown			6	endothelial; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like
A16_TH_TOT_5GEX_8	A16_TH_TOT_5GEX_8	76				age_unknown			7	endothelial; epithelial_or_epi; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like
A16_TH_TOT_6	A16_TH_TOT_6	93				age_unknown			11	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like; other
A16_TH_TOT_7	A16_TH_TOT_7	84				age_unknown			5	endothelial; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like
A16_TH_TOT_8	A16_TH_TOT_8	98				age_unknown			5	endothelial; epithelial_or_epi; mesenchymal_or_fibroblast_like
A43_TH_45NM_5GEX_1	A43_TH_45NM_5GEX_1	8314				age_unknown			19	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like; other
A43_TH_45NM_5GEX_2	A43_TH_45NM_5GEX_2	8602				age_unknown			19	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like; other
A43_TH_TOT_5GEX_1	A43_TH_TOT_5GEX_1	367				age_unknown			12	endothelial; epithelial_or_epi; epithelial_or_epi;ctec_like; epithelial_or_epi;immature_TEC; epithelial_or_epi;mtec_like; epithelial_or_epi;mtec_like;post_AIRE_mTEC; mesenchymal_or_fibroblast_like
