age_group	broad_compartment	fine_cell_type	target_compartments	gene	n_cells	n_detected_cells	detection_fraction	n_donor_sample_units
adult_40_64y	ABC	ABC	other	LOX	100	0	0.0	3
adult_40_64y	ABC	ABC	other	LOXL1	100	0	0.0	3
adult_40_64y	ABC	ABC	other	LOXL2	100	1	0.01	3
adult_40_64y	ABC	ABC	other	LOXL3	100	0	0.0	3
adult_40_64y	ABC	ABC	other	LOXL4	100	0	0.0	3
adult_40_64y	Endo	Endo	endothelial	LOX	1561	69	0.044202434336963484	14
adult_40_64y	Endo	Endo	endothelial	LOXL1	1561	7	0.004484304932735426	14
adult_40_64y	Endo	Endo	endothelial	LOXL2	1561	21	0.013452914798206279	14
adult_40_64y	Endo	Endo	endothelial	LOXL3	1561	6	0.003843689942344651	14
adult_40_64y	Endo	Endo	endothelial	LOXL4	1561	2	0.0012812299807815502	14
adult_40_64y	Endo	MKI67+Endo	endothelial	LOX	6	2	0.3333333333333333	3
adult_40_64y	Endo	MKI67+Endo	endothelial	LOXL1	6	0	0.0	3
adult_40_64y	Endo	MKI67+Endo	endothelial	LOXL2	6	0	0.0	3
adult_40_64y	Endo	MKI67+Endo	endothelial	LOXL3	6	0	0.0	3
adult_40_64y	Endo	MKI67+Endo	endothelial	LOXL4	6	0	0.0	3
adult_40_64y	Epi	Ciliated	epithelial_or_epi	LOX	276	9	0.03260869565217391	10
adult_40_64y	Epi	Ciliated	epithelial_or_epi	LOXL1	276	29	0.10507246376811594	10
adult_40_64y	Epi	Ciliated	epithelial_or_epi	LOXL2	276	7	0.025362318840579712	10
adult_40_64y	Epi	Ciliated	epithelial_or_epi	LOXL3	276	12	0.043478260869565216	10
adult_40_64y	Epi	Ciliated	epithelial_or_epi	LOXL4	276	7	0.025362318840579712	10
adult_40_64y	Epi	Immature_TEC	epithelial_or_epi;immature_TEC	LOX	1316	21	0.015957446808510637	10
adult_40_64y	Epi	Immature_TEC	epithelial_or_epi;immature_TEC	LOXL1	1316	83	0.06306990881458967	10
adult_40_64y	Epi	Immature_TEC	epithelial_or_epi;immature_TEC	LOXL2	1316	3	0.0022796352583586625	10
adult_40_64y	Epi	Immature_TEC	epithelial_or_epi;immature_TEC	LOXL3	1316	3	0.0022796352583586625	10
adult_40_64y	Epi	Immature_TEC	epithelial_or_epi;immature_TEC	LOXL4	1316	80	0.060790273556231005	10
adult_40_64y	Epi	Ionocyte	epithelial_or_epi	LOX	54	1	0.018518518518518517	9
adult_40_64y	Epi	Ionocyte	epithelial_or_epi	LOXL1	54	1	0.018518518518518517	9
adult_40_64y	Epi	Ionocyte	epithelial_or_epi	LOXL2	54	0	0.0	9
adult_40_64y	Epi	Ionocyte	epithelial_or_epi	LOXL3	54	0	0.0	9
