broad_compartment	gene	n_cells	n_detected_cells	detection_fraction	n_donor_sample_units
ABC	LOX	774	0	0.0	22
ABC	LOXL1	774	0	0.0	22
ABC	LOXL2	774	2	0.002583979328165375	22
ABC	LOXL3	774	4	0.00516795865633075	22
ABC	LOXL4	774	0	0.0	22
Endo	LOX	2007	112	0.05580468360737419	28
Endo	LOXL1	2007	7	0.003487792725460887	28
Endo	LOXL2	2007	35	0.017438963627304436	28
Endo	LOXL3	2007	7	0.003487792725460887	28
Endo	LOXL4	2007	3	0.0014947683109118087	28
Epi	LOX	10661	180	0.016883969608854705	30
Epi	LOXL1	10661	585	0.05487290122877779	30
Epi	LOXL2	10661	64	0.0060031891942594505	30
Epi	LOXL3	10661	55	0.005158990713816715	30
Epi	LOXL4	10661	558	0.05234030578744958	30
HSPC	LOX	93	7	0.07526881720430108	21
HSPC	LOXL1	93	0	0.0	21
HSPC	LOXL2	93	0	0.0	21
HSPC	LOXL3	93	4	0.043010752688172046	21
HSPC	LOXL4	93	0	0.0	21
Hema	LOX	166778	418	0.0025063257743827123	37
Hema	LOXL1	166778	1404	0.008418376524481646	37
Hema	LOXL2	166778	325	0.0019486982695559366	37
Hema	LOXL3	166778	1465	0.008784132199690606	37
Hema	LOXL4	166778	29	0.00017388384559114512	37
MK	LOX	4882	53	0.010856206472757066	22
MK	LOXL1	4882	2	0.00040966816878328555	22
MK	LOXL2	4882	0	0.0	22
MK	LOXL3	4882	113	0.023146251536255633	22
MK	LOXL4	4882	0	0.0	22
Memory_B	LOX	5535	1	0.0001806684733514002	22
Memory_B	LOXL1	5535	1	0.0001806684733514002	22
Memory_B	LOXL2	5535	11	0.001987353206865402	22
Memory_B	LOXL3	5535	14	0.0025293586269196024	22
Memory_B	LOXL4	5535	0	0.0	22
Mes	LOX	36686	12936	0.3526140762143597	31
Mes	LOXL1	36686	9417	0.2566919260753421	31
Mes	LOXL2	36686	2563	0.06986316305947773	31
Mes	LOXL3	36686	1088	0.029657089898053754	31
Mes	LOXL4	36686	1292	0.03521779425393883	31
Mono1	LOX	23106	1	4.327880204275946e-05	22
Mono1	LOXL1	23106	4	0.00017311520817103783	22
Mono1	LOXL2	23106	12	0.0005193456245131135	22
Mono1	LOXL3	23106	1079	0.04669782740413746	22
Mono1	LOXL4	23106	3	0.00012983640612827837	22
Mono2	LOX	5066	0	0.0	22
Mono2	LOXL1	5066	0	0.0	22
Mono2	LOXL2	5066	6	0.0011843663639952626	22
Mono2	LOXL3	5066	686	0.13541255428345836	22
Mono2	LOXL4	5066	2	0.00039478878799842083	22
Mono3	LOX	83	0	0.0	11
Mono3	LOXL1	83	0	0.0	11
Mono3	LOXL2	83	0	0.0	11
Mono3	LOXL3	83	0	0.0	11
Mono3	LOXL4	83	0	0.0	11
NK	LOX	20102	2	9.949258780220874e-05	22
NK	LOXL1	20102	30	0.0014923888170331311	22
NK	LOXL2	20102	41	0.002039598049945279	22
NK	LOXL3	20102	22	0.001094418465824296	22
NK	LOXL4	20102	1	4.974629390110437e-05	22
Naive_B	LOX	13419	1	7.452120128176467e-05	22
Naive_B	LOXL1	13419	4	0.00029808480512705867	22
Naive_B	LOXL2	13419	21	0.001564945226917058	22
Naive_B	LOXL3	13419	18	0.0013413816230717639	22
Naive_B	LOXL4	13419	2	0.00014904240256352933	22
Plasma	LOX	1203	1	0.0008312551953449709	22
Plasma	LOXL1	1203	2	0.0016625103906899418	22
Plasma	LOXL2	1203	86	0.0714879467996675	22
Plasma	LOXL3	1203	16	0.013300083125519535	22
Plasma	LOXL4	1203	0	0.0	22
Tcell	LOX	96030	7	7.289388732687702e-05	22
Tcell	LOXL1	96030	498	0.005185879412683537	22
Tcell	LOXL2	96030	205	0.00213474955742997	22
Tcell	LOXL3	96030	97	0.00101010101010101	22
Tcell	LOXL4	96030	13	0.0001353743621784859	22
cDC	LOX	1920	0	0.0	22
cDC	LOXL1	1920	0	0.0	22
cDC	LOXL2	1920	3	0.0015625	22
cDC	LOXL3	1920	115	0.059895833333333336	22
cDC	LOXL4	1920	0	0.0	22
pDC	LOX	641	0	0.0	21
pDC	LOXL1	641	0	0.0	21
pDC	LOXL2	641	5	0.0078003120124804995	21
pDC	LOXL3	641	2	0.0031201248049922	21
pDC	LOXL4	641	6	0.0093603744149766	21
