fine_cell_type	target_compartments	gene	n_cells	n_detected_cells	detection_fraction	n_donor_sample_units
ABC	other	LOX	774	0	0.0	22
ABC	other	LOXL1	774	0	0.0	22
ABC	other	LOXL2	774	2	0.002583979328165375	22
ABC	other	LOXL3	774	4	0.00516795865633075	22
ABC	other	LOXL4	774	0	0.0	22
Agonist_1	other	LOX	4076	2	0.0004906771344455348	18
Agonist_1	other	LOXL1	4076	12	0.002944062806673209	18
Agonist_1	other	LOXL2	4076	13	0.0031894013738959764	18
Agonist_1	other	LOXL3	4076	2	0.0004906771344455348	18
Agonist_1	other	LOXL4	4076	0	0.0	18
Agonist_2	other	LOX	775	2	0.0025806451612903226	18
Agonist_2	other	LOXL1	775	5	0.0064516129032258064	18
Agonist_2	other	LOXL2	775	3	0.003870967741935484	18
Agonist_2	other	LOXL3	775	1	0.0012903225806451613	18
Agonist_2	other	LOXL4	775	0	0.0	18
CD4 SOX4hi SP	other	LOX	2580	1	0.0003875968992248062	18
CD4 SOX4hi SP	other	LOXL1	2580	13	0.0050387596899224806	18
CD4 SOX4hi SP	other	LOXL2	2580	2	0.0007751937984496124	18
CD4 SOX4hi SP	other	LOXL3	2580	0	0.0	18
CD4 SOX4hi SP	other	LOXL4	2580	1	0.0003875968992248062	18
CD4 SOX4lo SP	other	LOX	1570	0	0.0	17
CD4 SOX4lo SP	other	LOXL1	1570	3	0.001910828025477707	17
CD4 SOX4lo SP	other	LOXL2	1570	1	0.0006369426751592356	17
CD4 SOX4lo SP	other	LOXL3	1570	4	0.0025477707006369425	17
CD4 SOX4lo SP	other	LOXL4	1570	0	0.0	17
CD4+CTL	other	LOX	10378	1	9.635767970707265e-05	22
CD4+CTL	other	LOXL1	10378	50	0.004817883985353632	22
CD4+CTL	other	LOXL2	10378	23	0.002216226633262671	22
CD4+CTL	other	LOXL3	10378	13	0.0012526498361919445	22
CD4+CTL	other	LOXL4	10378	5	0.00048178839853536327	22
CD4+RTE	other	LOX	2462	0	0.0	20
CD4+RTE	other	LOXL1	2462	4	0.0016246953696181965	20
CD4+RTE	other	LOXL2	2462	7	0.002843216896831844	20
CD4+RTE	other	LOXL3	2462	3	0.0012185215272136475	20
CD4+RTE	other	LOXL4	2462	1	0.00040617384240454913	20
CD4+TCM	other	LOX	7816	0	0.0	22
CD4+TCM	other	LOXL1	7816	33	0.004222108495394063	22
CD4+TCM	other	LOXL2	7816	25	0.0031985670419652	22
CD4+TCM	other	LOXL3	7816	7	0.0008955987717502559	22
CD4+TCM	other	LOXL4	7816	0	0.0	22
CD4+TEFF	other	LOX	4843	1	0.00020648358455502787	22
CD4+TEFF	other	LOXL1	4843	151	0.03117902126780921	22
