unit_key	unit_type	complete_mtx_triplet	matrix_file	features_file	barcodes_file	dense_candidate_file	total_unit_size_bytes	n_files_in_unit
GSM8945783_donor25	mtx_triplet	yes	GSM8945783_donor25_matrix.mtx.gz	GSM8945783_donor25_features.tsv.gz	GSM8945783_donor25_barcodes.tsv.gz		6947140	3
GSM8945782_donor24	mtx_triplet	yes	GSM8945782_donor24_matrix.mtx.gz	GSM8945782_donor24_features.tsv.gz	GSM8945782_donor24_barcodes.tsv.gz		9058555	3
GSM8945804_donor44	mtx_triplet	yes	GSM8945804_donor44_matrix.mtx.gz	GSM8945804_donor44_features.tsv.gz	GSM8945804_donor44_barcodes.tsv.gz		12878190	3
GSM8945805_donor45	mtx_triplet	yes	GSM8945805_donor45_matrix.mtx.gz	GSM8945805_donor45_features.tsv.gz	GSM8945805_donor45_barcodes.tsv.gz		14097954	3
GSM8945762_donor10-2	mtx_triplet	yes	GSM8945762_donor10-2_matrix.mtx.gz	GSM8945762_donor10-2_features.tsv.gz	GSM8945762_donor10-2_barcodes.tsv.gz		18551709	3
GSM8945798_donor40-1	mtx_triplet	yes	GSM8945798_donor40-1_matrix.mtx.gz	GSM8945798_donor40-1_features.tsv.gz	GSM8945798_donor40-1_barcodes.tsv.gz		21514509	3
GSM8945807_donor47	mtx_triplet	yes	GSM8945807_donor47_matrix.mtx.gz	GSM8945807_donor47_features.tsv.gz	GSM8945807_donor47_barcodes.tsv.gz		22172462	3
GSM8945749_donor1	mtx_triplet	yes	GSM8945749_donor1_matrix.mtx.gz	GSM8945749_donor1_features.tsv.gz	GSM8945749_donor1_barcodes.tsv.gz		24739146	3
GSM8945760_donor9-2	mtx_triplet	yes	GSM8945760_donor9-2_matrix.mtx.gz	GSM8945760_donor9-2_features.tsv.gz	GSM8945760_donor9-2_barcodes.tsv.gz		25262890	3
GSM8945795_donor37	mtx_triplet	yes	GSM8945795_donor37_matrix.mtx.gz	GSM8945795_donor37_features.tsv.gz	GSM8945795_donor37_barcodes.tsv.gz		28497296	3
GSM8945766_donor12-2	mtx_triplet	yes	GSM8945766_donor12-2_matrix.mtx.gz	GSM8945766_donor12-2_features.tsv.gz	GSM8945766_donor12-2_barcodes.tsv.gz		29980361	3
GSM8945799_donor40-2	mtx_triplet	yes	GSM8945799_donor40-2_matrix.mtx.gz	GSM8945799_donor40-2_features.tsv.gz	GSM8945799_donor40-2_barcodes.tsv.gz		31084881	3
GSM8945761_donor10-1	mtx_triplet	yes	GSM8945761_donor10-1_matrix.mtx.gz	GSM8945761_donor10-1_features.tsv.gz	GSM8945761_donor10-1_barcodes.tsv.gz		31371501	3
GSM8945772_donor15-2	mtx_triplet	yes	GSM8945772_donor15-2_matrix.mtx.gz	GSM8945772_donor15-2_features.tsv.gz	GSM8945772_donor15-2_barcodes.tsv.gz		32424578	3
GSM8945803_donor43	mtx_triplet	yes	GSM8945803_donor43_matrix.mtx.gz	GSM8945803_donor43_features.tsv.gz	GSM8945803_donor43_barcodes.tsv.gz		32856737	3
GSM8945751_donor3	mtx_triplet	yes	GSM8945751_donor3_matrix.mtx.gz	GSM8945751_donor3_features.tsv.gz	GSM8945751_donor3_barcodes.tsv.gz		34317278	3
GSM8945758_donor8-2	mtx_triplet	yes	GSM8945758_donor8-2_matrix.mtx.gz	GSM8945758_donor8-2_features.tsv.gz	GSM8945758_donor8-2_barcodes.tsv.gz		35932757	3
GSM8945770_donor14-2	mtx_triplet	yes	GSM8945770_donor14-2_matrix.mtx.gz	GSM8945770_donor14-2_features.tsv.gz	GSM8945770_donor14-2_barcodes.tsv.gz		37652706	3
GSM8945774_donor16-2	mtx_triplet	yes	GSM8945774_donor16-2_matrix.mtx.gz	GSM8945774_donor16-2_features.tsv.gz	GSM8945774_donor16-2_barcodes.tsv.gz		38950967	3
GSM8945777_donor19	mtx_triplet	yes	GSM8945777_donor19_matrix.mtx.gz	GSM8945777_donor19_features.tsv.gz	GSM8945777_donor19_barcodes.tsv.gz		39577672	3
GSM8945750_donor2	mtx_triplet	yes	GSM8945750_donor2_matrix.mtx.gz	GSM8945750_donor2_features.tsv.gz	GSM8945750_donor2_barcodes.tsv.gz		40270939	3
GSM8945775_donor17	mtx_triplet	yes	GSM8945775_donor17_matrix.mtx.gz	GSM8945775_donor17_features.tsv.gz	GSM8945775_donor17_barcodes.tsv.gz		42999229	3
GSM8945756_donor7-2	mtx_triplet	yes	GSM8945756_donor7-2_matrix.mtx.gz	GSM8945756_donor7-2_features.tsv.gz	GSM8945756_donor7-2_barcodes.tsv.gz		43514185	3
GSM8945768_donor13-2	mtx_triplet	yes	GSM8945768_donor13-2_matrix.mtx.gz	GSM8945768_donor13-2_features.tsv.gz	GSM8945768_donor13-2_barcodes.tsv.gz		44705174	3
GSM8945771_donor15-1	mtx_triplet	yes	GSM8945771_donor15-1_matrix.mtx.gz	GSM8945771_donor15-1_features.tsv.gz	GSM8945771_donor15-1_barcodes.tsv.gz		45657664	3
GSM8945764_donor11-2	mtx_triplet	yes	GSM8945764_donor11-2_matrix.mtx.gz	GSM8945764_donor11-2_features.tsv.gz	GSM8945764_donor11-2_barcodes.tsv.gz		46434113	3
GSM8945753_donor5	mtx_triplet	yes	GSM8945753_donor5_matrix.mtx.gz	GSM8945753_donor5_features.tsv.gz	GSM8945753_donor5_barcodes.tsv.gz		46459684	3
GSM8945779_donor21	mtx_triplet	yes	GSM8945779_donor21_matrix.mtx.gz	GSM8945779_donor21_features.tsv.gz	GSM8945779_donor21_barcodes.tsv.gz		47651401	3
GSM8945781_donor23	mtx_triplet	yes	GSM8945781_donor23_matrix.mtx.gz	GSM8945781_donor23_features.tsv.gz	GSM8945781_donor23_barcodes.tsv.gz		48961609	3
GSM8945769_donor14-1	mtx_triplet	yes	GSM8945769_donor14-1_matrix.mtx.gz	GSM8945769_donor14-1_features.tsv.gz	GSM8945769_donor14-1_barcodes.tsv.gz		50304537	3
GSM8945773_donor16-1	mtx_triplet	yes	GSM8945773_donor16-1_matrix.mtx.gz	GSM8945773_donor16-1_features.tsv.gz	GSM8945773_donor16-1_barcodes.tsv.gz		50662707	3
GSM8945754_donor6	mtx_triplet	yes	GSM8945754_donor6_matrix.mtx.gz	GSM8945754_donor6_features.tsv.gz	GSM8945754_donor6_barcodes.tsv.gz		55483654	3
GSM8945752_donor4	mtx_triplet	yes	GSM8945752_donor4_matrix.mtx.gz	GSM8945752_donor4_features.tsv.gz	GSM8945752_donor4_barcodes.tsv.gz		58327187	3
GSM8945763_donor11-1	mtx_triplet	yes	GSM8945763_donor11-1_matrix.mtx.gz	GSM8945763_donor11-1_features.tsv.gz	GSM8945763_donor11-1_barcodes.tsv.gz		60056803	3
GSM8945757_donor8-1	mtx_triplet	yes	GSM8945757_donor8-1_matrix.mtx.gz	GSM8945757_donor8-1_features.tsv.gz	GSM8945757_donor8-1_barcodes.tsv.gz		63419307	3
GSM8945801_donor41-2	mtx_triplet	yes	GSM8945801_donor41-2_matrix.mtx.gz	GSM8945801_donor41-2_features.tsv.gz	GSM8945801_donor41-2_barcodes.tsv.gz		63622320	3
GSM8945755_donor7-1	mtx_triplet	yes	GSM8945755_donor7-1_matrix.mtx.gz	GSM8945755_donor7-1_features.tsv.gz	GSM8945755_donor7-1_barcodes.tsv.gz		65239581	3
GSM8945767_donor13-1	mtx_triplet	yes	GSM8945767_donor13-1_matrix.mtx.gz	GSM8945767_donor13-1_features.tsv.gz	GSM8945767_donor13-1_barcodes.tsv.gz		67646467	3
GSM8945765_donor12-1	mtx_triplet	yes	GSM8945765_donor12-1_matrix.mtx.gz	GSM8945765_donor12-1_features.tsv.gz	GSM8945765_donor12-1_barcodes.tsv.gz		67793578	3
GSM8945802_donor42	mtx_triplet	yes	GSM8945802_donor42_matrix.mtx.gz	GSM8945802_donor42_features.tsv.gz	GSM8945802_donor42_barcodes.tsv.gz		68344112	3
GSM8945759_donor9-1	mtx_triplet	yes	GSM8945759_donor9-1_matrix.mtx.gz	GSM8945759_donor9-1_features.tsv.gz	GSM8945759_donor9-1_barcodes.tsv.gz		73137022	3
GSM8945800_donor41-1	mtx_triplet	yes	GSM8945800_donor41-1_matrix.mtx.gz	GSM8945800_donor41-1_features.tsv.gz	GSM8945800_donor41-1_barcodes.tsv.gz		73341079	3
GSM8945780_donor22	mtx_triplet	yes	GSM8945780_donor22_matrix.mtx.gz	GSM8945780_donor22_features.tsv.gz	GSM8945780_donor22_barcodes.tsv.gz		73515193	3
GSM8945776_donor18	mtx_triplet	yes	GSM8945776_donor18_matrix.mtx.gz	GSM8945776_donor18_features.tsv.gz	GSM8945776_donor18_barcodes.tsv.gz		74679056	3
GSM8945778_donor20	mtx_triplet	yes	GSM8945778_donor20_matrix.mtx.gz	GSM8945778_donor20_features.tsv.gz	GSM8945778_donor20_barcodes.tsv.gz		76591265	3
GSM8945806_donor46	mtx_triplet	yes	GSM8945806_donor46_matrix.mtx.gz	GSM8945806_donor46_features.tsv.gz	GSM8945806_donor46_barcodes.tsv.gz		87267361	3
GSM8945784_donor26	mtx_triplet	yes	GSM8945784_donor26_matrix.mtx.gz	GSM8945784_donor26_features.tsv.gz	GSM8945784_donor26_barcodes.tsv.gz		115966417	3
GSM8945786_donor28	mtx_triplet	yes	GSM8945786_donor28_matrix.mtx.gz	GSM8945786_donor28_features.tsv.gz	GSM8945786_donor28_barcodes.tsv.gz		116012653	3
GSM8945785_donor27	mtx_triplet	yes	GSM8945785_donor27_matrix.mtx.gz	GSM8945785_donor27_features.tsv.gz	GSM8945785_donor27_barcodes.tsv.gz		118054834	3
GSM8945788_donor30	mtx_triplet	yes	GSM8945788_donor30_matrix.mtx.gz	GSM8945788_donor30_features.tsv.gz	GSM8945788_donor30_barcodes.tsv.gz		123344413	3
GSM8945794_donor36	mtx_triplet	yes	GSM8945794_donor36_matrix.mtx.gz	GSM8945794_donor36_features.tsv.gz	GSM8945794_donor36_barcodes.tsv.gz		124398913	3
GSM8945791_donor33	mtx_triplet	yes	GSM8945791_donor33_matrix.mtx.gz	GSM8945791_donor33_features.tsv.gz	GSM8945791_donor33_barcodes.tsv.gz		133663060	3
GSM8945797_donor39	mtx_triplet	yes	GSM8945797_donor39_matrix.mtx.gz	GSM8945797_donor39_features.tsv.gz	GSM8945797_donor39_barcodes.tsv.gz		139716315	3
GSM8945787_donor29	mtx_triplet	yes	GSM8945787_donor29_matrix.mtx.gz	GSM8945787_donor29_features.tsv.gz	GSM8945787_donor29_barcodes.tsv.gz		142320168	3
GSM8945789_donor31	mtx_triplet	yes	GSM8945789_donor31_matrix.mtx.gz	GSM8945789_donor31_features.tsv.gz	GSM8945789_donor31_barcodes.tsv.gz		155013253	3
GSM8945792_donor34	mtx_triplet	yes	GSM8945792_donor34_matrix.mtx.gz	GSM8945792_donor34_features.tsv.gz	GSM8945792_donor34_barcodes.tsv.gz		165318271	3
GSM8945796_donor38	mtx_triplet	yes	GSM8945796_donor38_matrix.mtx.gz	GSM8945796_donor38_features.tsv.gz	GSM8945796_donor38_barcodes.tsv.gz		165403623	3
GSM8945793_donor35	mtx_triplet	yes	GSM8945793_donor35_matrix.mtx.gz	GSM8945793_donor35_features.tsv.gz	GSM8945793_donor35_barcodes.tsv.gz		177937179	3
GSM8945790_donor32	mtx_triplet	yes	GSM8945790_donor32_matrix.mtx.gz	GSM8945790_donor32_features.tsv.gz	GSM8945790_donor32_barcodes.tsv.gz		194834640	3
