target_compartment	broad_compartment	fine_cell_type	n_cells	n_donors	n_samples	age_groups
ctec_like		cTEC_lo	7736	41	41	age_unknown
ctec_like	Epi	cTEC_lo	4468	27	27	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
ctec_like		cTEC_hi	2892	36	36	age_unknown
ctec_like	Epi	cTEC_hi	1513	24	24	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
ctec_like		MKI67+cTEC	55	12	12	age_unknown
ctec_like	Epi	MKI67+cTEC	19	6	6	adult_40_64y; pediatric_1_17y; young_adult_18_39y
endothelial		Endo	17399	55	55	age_unknown
endothelial	Endo	Endo	1943	28	28	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
endothelial		MKI67+Endo	266	8	8	age_unknown
endothelial	Endo	MKI67+Endo	6	3	3	adult_40_64y
epithelial_or_epi		cTEC_lo	7736	41	41	age_unknown
epithelial_or_epi	Epi	cTEC_lo	4468	27	27	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		mTEC_lo	3376	35	35	age_unknown
epithelial_or_epi		cTEC_hi	2892	36	36	age_unknown
epithelial_or_epi		Immature_TEC	2768	35	35	age_unknown
epithelial_or_epi	Epi	cTEC_hi	1513	24	24	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi	Epi	Immature_TEC	1345	21	21	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi	Epi	mTEC_lo	1328	21	21	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		post_AIRE_mTEC	1121	33	33	age_unknown
epithelial_or_epi		TEC(neuron)	1028	41	41	age_unknown
epithelial_or_epi	Epi	TEC(neuron)	723	28	28	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		mTEC_hi	686	32	32	age_unknown
epithelial_or_epi	Epi	post_AIRE_mTEC	488	14	14	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi	Epi	Ciliated	349	25	25	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		TEC(myo)	278	33	33	age_unknown
epithelial_or_epi	Epi	mTEC_hi	218	22	22	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		MKI67+mTEC	85	11	11	age_unknown
epithelial_or_epi	Epi	TEC(myo)	80	19	19	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi	Epi	Ionocyte	71	16	16	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi		MKI67+cTEC	55	12	12	age_unknown
epithelial_or_epi	Epi	MKI67+cTEC	19	6	6	adult_40_64y; pediatric_1_17y; young_adult_18_39y
epithelial_or_epi	Epi	MKI67+mTEC	19	4	4	adult_40_64y
epithelial_or_epi	Epi	Tuft	16	5	5	adult_40_64y; older_adult_65plus
immature_TEC		Immature_TEC	2768	35	35	age_unknown
