unit_key	matrix_file	features_file	barcodes_file	n_expression_cells	n_matched_expression_cells	match_rate	join_strategy	n_features	target_genes_present	matrix_orientation	matrix_integer_like_for_targets
GSM8945783_donor25	GSM8945783_donor25_matrix.mtx.gz	GSM8945783_donor25_features.tsv.gz	GSM8945783_donor25_barcodes.tsv.gz	1779	984	0.553120	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945782_donor24	GSM8945782_donor24_matrix.mtx.gz	GSM8945782_donor24_features.tsv.gz	GSM8945782_donor24_barcodes.tsv.gz	2531	1272	0.502568	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945804_donor44	GSM8945804_donor44_matrix.mtx.gz	GSM8945804_donor44_features.tsv.gz	GSM8945804_donor44_barcodes.tsv.gz	1242	983	0.791465	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945805_donor45	GSM8945805_donor45_matrix.mtx.gz	GSM8945805_donor45_features.tsv.gz	GSM8945805_donor45_barcodes.tsv.gz	1601	1149	0.717676	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945762_donor10-2	GSM8945762_donor10-2_matrix.mtx.gz	GSM8945762_donor10-2_features.tsv.gz	GSM8945762_donor10-2_barcodes.tsv.gz	3247	2564	0.789652	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945798_donor40-1	GSM8945798_donor40-1_matrix.mtx.gz	GSM8945798_donor40-1_features.tsv.gz	GSM8945798_donor40-1_barcodes.tsv.gz	2688	1183	0.440104	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945807_donor47	GSM8945807_donor47_matrix.mtx.gz	GSM8945807_donor47_features.tsv.gz	GSM8945807_donor47_barcodes.tsv.gz	2855	1830	0.640981	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945749_donor1	GSM8945749_donor1_matrix.mtx.gz	GSM8945749_donor1_features.tsv.gz	GSM8945749_donor1_barcodes.tsv.gz	5513	4785	0.867948	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945760_donor9-2	GSM8945760_donor9-2_matrix.mtx.gz	GSM8945760_donor9-2_features.tsv.gz	GSM8945760_donor9-2_barcodes.tsv.gz	5124	3474	0.677986	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945795_donor37	GSM8945795_donor37_matrix.mtx.gz	GSM8945795_donor37_features.tsv.gz	GSM8945795_donor37_barcodes.tsv.gz	3265	2317	0.709648	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945766_donor12-2	GSM8945766_donor12-2_matrix.mtx.gz	GSM8945766_donor12-2_features.tsv.gz	GSM8945766_donor12-2_barcodes.tsv.gz	5252	4391	0.836062	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945799_donor40-2	GSM8945799_donor40-2_matrix.mtx.gz	GSM8945799_donor40-2_features.tsv.gz	GSM8945799_donor40-2_barcodes.tsv.gz	4228	2162	0.511353	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945761_donor10-1	GSM8945761_donor10-1_matrix.mtx.gz	GSM8945761_donor10-1_features.tsv.gz	GSM8945761_donor10-1_barcodes.tsv.gz	4910	3727	0.759063	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945772_donor15-2	GSM8945772_donor15-2_matrix.mtx.gz	GSM8945772_donor15-2_features.tsv.gz	GSM8945772_donor15-2_barcodes.tsv.gz	5681	4639	0.816582	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945803_donor43	GSM8945803_donor43_matrix.mtx.gz	GSM8945803_donor43_features.tsv.gz	GSM8945803_donor43_barcodes.tsv.gz	5094	1413	0.277385	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945751_donor3	GSM8945751_donor3_matrix.mtx.gz	GSM8945751_donor3_features.tsv.gz	GSM8945751_donor3_barcodes.tsv.gz	7766	6699	0.862606	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945758_donor8-2	GSM8945758_donor8-2_matrix.mtx.gz	GSM8945758_donor8-2_features.tsv.gz	GSM8945758_donor8-2_barcodes.tsv.gz	6605	4884	0.739440	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945770_donor14-2	GSM8945770_donor14-2_matrix.mtx.gz	GSM8945770_donor14-2_features.tsv.gz	GSM8945770_donor14-2_barcodes.tsv.gz	7447	5910	0.793608	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
GSM8945774_donor16-2	GSM8945774_donor16-2_matrix.mtx.gz	GSM8945774_donor16-2_features.tsv.gz	GSM8945774_donor16-2_barcodes.tsv.gz	7138	6007	0.841552	exact	33538	LOX;LOXL1;LOXL2;LOXL3;LOXL4	genes_by_cells	yes
