sample_id	age_group	cell_type_or_subtype	annotation_level	source_annotation	gene	n_cells	raw_counts_sum	n_detecting_cells	detection_rate	mean_nonzero_expression
mo02_CD45neg1_d0	02mo	pooled FB	cell_type	FB	Lox	1709	925.0	526	0.30778232884727913	1.7585551738739014
mo02_CD45neg2_d0	02mo	pooled FB	cell_type	FB	Lox	1473	775.0	441	0.29938900203665986	1.7573696374893188
mo02_FB_d0	02mo	pooled FB	cell_type	FB	Lox	3977	2152.0	1172	0.29469449333668596	1.8361774682998657
mo18_CD45neg1_d0	18mo	pooled FB	cell_type	FB	Lox	431	55.0	36	0.08352668213457076	1.5277777910232544
mo18_CD45neg2_d0	18mo	pooled FB	cell_type	FB	Lox	775	93.0	78	0.10064516129032258	1.192307710647583
mo18_FB_d0	18mo	pooled FB	cell_type	FB	Lox	4875	982.0	693	0.14215384615384616	1.417027473449707
mo02_CD45neg1_d0	02mo	pooled FB	cell_type	FB	Loxl1	1709	4153.0	1204	0.7045055588063195	3.4493355751037598
mo02_CD45neg2_d0	02mo	pooled FB	cell_type	FB	Loxl1	1473	3794.0	1053	0.714867617107943	3.603039026260376
mo02_FB_d0	02mo	pooled FB	cell_type	FB	Loxl1	3977	9378.0	2510	0.6311289917022882	3.736254930496216
mo18_CD45neg1_d0	18mo	pooled FB	cell_type	FB	Loxl1	431	666.0	237	0.5498839907192575	2.810126543045044
mo18_CD45neg2_d0	18mo	pooled FB	cell_type	FB	Loxl1	775	888.0	373	0.48129032258064514	2.380697011947632
mo18_FB_d0	18mo	pooled FB	cell_type	FB	Loxl1	4875	4272.0	2082	0.4270769230769231	2.051873207092285
mo02_CD45neg1_d0	02mo	pooled FB	cell_type	FB	Loxl2	1709	579.0	454	0.26565242832065533	1.2753304243087769
mo02_CD45neg2_d0	02mo	pooled FB	cell_type	FB	Loxl2	1473	544.0	417	0.2830957230142566	1.3045563697814941
mo02_FB_d0	02mo	pooled FB	cell_type	FB	Loxl2	3977	1596.0	1178	0.2962031682172492	1.3548387289047241
mo18_CD45neg1_d0	18mo	pooled FB	cell_type	FB	Loxl2	431	99.0	74	0.1716937354988399	1.337837815284729
mo18_CD45neg2_d0	18mo	pooled FB	cell_type	FB	Loxl2	775	137.0	117	0.15096774193548387	1.1709401607513428
mo18_FB_d0	18mo	pooled FB	cell_type	FB	Loxl2	4875	767.0	639	0.13107692307692306	1.2003129720687866
mo02_CD45neg1_d0	02mo	pooled FB	cell_type	FB	Loxl3	1709	297.0	267	0.15623171445289644	1.1123595237731934
mo02_CD45neg2_d0	02mo	pooled FB	cell_type	FB	Loxl3	1473	353.0	309	0.20977596741344195	1.142394781112671
mo02_FB_d0	02mo	pooled FB	cell_type	FB	Loxl3	3977	1092.0	923	0.23208448579331153	1.183098554611206
mo18_CD45neg1_d0	18mo	pooled FB	cell_type	FB	Loxl3	431	87.0	73	0.16937354988399073	1.1917808055877686
mo18_CD45neg2_d0	18mo	pooled FB	cell_type	FB	Loxl3	775	117.0	106	0.1367741935483871	1.103773593902588
mo18_FB_d0	18mo	pooled FB	cell_type	FB	Loxl3	4875	631.0	573	0.11753846153846154	1.1012216806411743
mo02_CD45neg1_d0	02mo	pooled FB	cell_type	FB	Loxl4	1709	8.0	8	0.004681100058513751	1.0
mo02_CD45neg2_d0	02mo	pooled FB	cell_type	FB	Loxl4	1473	13.0	13	0.008825526137135099	1.0
mo02_FB_d0	02mo	pooled FB	cell_type	FB	Loxl4	3977	36.0	36	0.009052049283379432	1.0
mo18_CD45neg1_d0	18mo	pooled FB	cell_type	FB	Loxl4	431	1.0	1	0.002320185614849188	1.0
mo18_CD45neg2_d0	18mo	pooled FB	cell_type	FB	Loxl4	775	6.0	5	0.0064516129032258064	1.2000000476837158
mo18_FB_d0	18mo	pooled FB	cell_type	FB	Loxl4	4875	15.0	15	0.003076923076923077	1.0
mo02_CD45neg1_d0	02mo	capsFB	subtype	3:capsFB	Lox	686	399.0	233	0.3396501457725947	1.7124463319778442
mo02_CD45neg2_d0	02mo	capsFB	subtype	3:capsFB	Lox	577	285.0	178	0.30849220103986136	1.601123571395874
mo02_FB_d0	02mo	capsFB	subtype	3:capsFB	Lox	1335	910.0	507	0.3797752808988764	1.7948718070983887
mo18_CD45neg1_d0	18mo	capsFB	subtype	3:capsFB	Lox	172	16.0	15	0.0872093023255814	1.0666667222976685
mo18_CD45neg2_d0	18mo	capsFB	subtype	3:capsFB	Lox	274	34.0	30	0.10948905109489052	1.1333333253860474
mo18_FB_d0	18mo	capsFB	subtype	3:capsFB	Lox	822	170.0	134	0.1630170316301703	1.2686567306518555
mo02_CD45neg1_d0	02mo	capsFB	subtype	3:capsFB	Loxl1	686	2614.0	640	0.9329446064139941	4.084374904632568
mo02_CD45neg2_d0	02mo	capsFB	subtype	3:capsFB	Loxl1	577	2349.0	548	0.949740034662045	4.286496162414551
mo02_FB_d0	02mo	capsFB	subtype	3:capsFB	Loxl1	1335	5754.0	1223	0.9161048689138577	4.704823970794678
mo18_CD45neg1_d0	18mo	capsFB	subtype	3:capsFB	Loxl1	172	519.0	155	0.9011627906976745	3.3483870029449463
mo18_CD45neg2_d0	18mo	capsFB	subtype	3:capsFB	Loxl1	274	606.0	216	0.7883211678832117	2.805555582046509
mo18_FB_d0	18mo	capsFB	subtype	3:capsFB	Loxl1	822	1804.0	633	0.7700729927007299	2.8499209880828857
mo02_CD45neg1_d0	02mo	capsFB	subtype	3:capsFB	Loxl2	686	280.0	212	0.30903790087463556	1.3207547664642334
mo02_CD45neg2_d0	02mo	capsFB	subtype	3:capsFB	Loxl2	577	268.0	198	0.3431542461005199	1.3535352945327759
mo02_FB_d0	02mo	capsFB	subtype	3:capsFB	Loxl2	1335	631.0	454	0.3400749063670412	1.3898677825927734
mo18_CD45neg1_d0	18mo	capsFB	subtype	3:capsFB	Loxl2	172	74.0	51	0.29651162790697677	1.4509804248809814
mo18_CD45neg2_d0	18mo	capsFB	subtype	3:capsFB	Loxl2	274	90.0	74	0.27007299270072993	1.2162162065505981
mo18_FB_d0	18mo	capsFB	subtype	3:capsFB	Loxl2	822	266.0	197	0.2396593673965937	1.3502538204193115
mo02_CD45neg1_d0	02mo	capsFB	subtype	3:capsFB	Loxl3	686	146.0	129	0.1880466472303207	1.13178288936615
mo02_CD45neg2_d0	02mo	capsFB	subtype	3:capsFB	Loxl3	577	165.0	143	0.24783362218370883	1.1538461446762085
mo02_FB_d0	02mo	capsFB	subtype	3:capsFB	Loxl3	1335	468.0	378	0.28314606741573034	1.2380952835083008
mo18_CD45neg1_d0	18mo	capsFB	subtype	3:capsFB	Loxl3	172	37.0	33	0.19186046511627908	1.121212124824524
mo18_CD45neg2_d0	18mo	capsFB	subtype	3:capsFB	Loxl3	274	38.0	36	0.13138686131386862	1.0555555820465088
mo18_FB_d0	18mo	capsFB	subtype	3:capsFB	Loxl3	822	146.0	130	0.15815085158150852	1.1230769157409668
mo02_CD45neg1_d0	02mo	capsFB	subtype	3:capsFB	Loxl4	686	4.0	4	0.0058309037900874635	1.0
mo02_CD45neg2_d0	02mo	capsFB	subtype	3:capsFB	Loxl4	577	8.0	8	0.01386481802426343	1.0
mo02_FB_d0	02mo	capsFB	subtype	3:capsFB	Loxl4	1335	10.0	10	0.00749063670411985	1.0
mo18_CD45neg1_d0	18mo	capsFB	subtype	3:capsFB	Loxl4	172	0.0	0	0.0	
mo18_CD45neg2_d0	18mo	capsFB	subtype	3:capsFB	Loxl4	274	6.0	5	0.01824817518248175	1.2000000476837158
mo18_FB_d0	18mo	capsFB	subtype	3:capsFB	Loxl4	822	3.0	3	0.0036496350364963502	1.0
mo02_CD45neg1_d0	02mo	intFB	subtype	4:intFB	Lox	693	508.0	280	0.40404040404040403	1.8142857551574707
mo02_CD45neg2_d0	02mo	intFB	subtype	4:intFB	Lox	613	482.0	255	0.4159869494290375	1.8901960849761963
mo02_FB_d0	02mo	intFB	subtype	4:intFB	Lox	1385	1169.0	601	0.4339350180505415	1.9450914859771729
mo18_CD45neg1_d0	18mo	intFB	subtype	4:intFB	Lox	78	26.0	12	0.15384615384615385	2.1666667461395264
mo18_CD45neg2_d0	18mo	intFB	subtype	4:intFB	Lox	176	43.0	33	0.1875	1.303030252456665
mo18_FB_d0	18mo	intFB	subtype	4:intFB	Lox	1626	660.0	425	0.2613776137761378	1.5529412031173706
mo02_CD45neg1_d0	02mo	intFB	subtype	4:intFB	Loxl1	693	1426.0	499	0.7200577200577201	2.857715368270874
mo02_CD45neg2_d0	02mo	intFB	subtype	4:intFB	Loxl1	613	1348.0	455	0.7422512234910277	2.962637424468994
mo02_FB_d0	02mo	intFB	subtype	4:intFB	Loxl1	1385	3296.0	1073	0.7747292418772563	3.0717613697052
mo18_CD45neg1_d0	18mo	intFB	subtype	4:intFB	Loxl1	78	82.0	38	0.48717948717948717	2.1578948497772217
mo18_CD45neg2_d0	18mo	intFB	subtype	4:intFB	Loxl1	176	168.0	83	0.4715909090909091	2.0240964889526367
mo18_FB_d0	18mo	intFB	subtype	4:intFB	Loxl1	1626	1731.0	907	0.557810578105781	1.9084895849227905
mo02_CD45neg1_d0	02mo	intFB	subtype	4:intFB	Loxl2	693	237.0	184	0.26551226551226553	1.28804349899292
mo02_CD45neg2_d0	02mo	intFB	subtype	4:intFB	Loxl2	613	205.0	161	0.2626427406199021	1.2732919454574585
mo02_FB_d0	02mo	intFB	subtype	4:intFB	Loxl2	1385	640.0	461	0.3328519855595668	1.3882863521575928
mo18_CD45neg1_d0	18mo	intFB	subtype	4:intFB	Loxl2	78	11.0	10	0.1282051282051282	1.100000023841858
mo18_CD45neg2_d0	18mo	intFB	subtype	4:intFB	Loxl2	176	22.0	21	0.11931818181818182	1.047619104385376
mo18_FB_d0	18mo	intFB	subtype	4:intFB	Loxl2	1626	318.0	270	0.16605166051660517	1.1777777671813965
mo02_CD45neg1_d0	02mo	intFB	subtype	4:intFB	Loxl3	693	102.0	93	0.1341991341991342	1.0967742204666138
mo02_CD45neg2_d0	02mo	intFB	subtype	4:intFB	Loxl3	613	140.0	122	0.19902120717781402	1.1475409269332886
mo02_FB_d0	02mo	intFB	subtype	4:intFB	Loxl3	1385	433.0	373	0.26931407942238267	1.160857915878296
mo18_CD45neg1_d0	18mo	intFB	subtype	4:intFB	Loxl3	78	15.0	10	0.1282051282051282	1.5
mo18_CD45neg2_d0	18mo	intFB	subtype	4:intFB	Loxl3	176	30.0	27	0.1534090909090909	1.1111111640930176
mo18_FB_d0	18mo	intFB	subtype	4:intFB	Loxl3	1626	259.0	230	0.14145141451414514	1.126086950302124
mo02_CD45neg1_d0	02mo	intFB	subtype	4:intFB	Loxl4	693	4.0	4	0.005772005772005772	1.0
mo02_CD45neg2_d0	02mo	intFB	subtype	4:intFB	Loxl4	613	4.0	4	0.0065252854812398045	1.0
mo02_FB_d0	02mo	intFB	subtype	4:intFB	Loxl4	1385	17.0	17	0.01227436823104693	1.0
mo18_CD45neg1_d0	18mo	intFB	subtype	4:intFB	Loxl4	78	1.0	1	0.01282051282051282	1.0
mo18_CD45neg2_d0	18mo	intFB	subtype	4:intFB	Loxl4	176	0.0	0	0.0	
mo18_FB_d0	18mo	intFB	subtype	4:intFB	Loxl4	1626	5.0	5	0.003075030750307503	1.0
mo02_CD45neg1_d0	02mo	medFB	subtype	5:medFB	Lox	322	13.0	11	0.034161490683229816	1.1818181276321411
mo02_CD45neg2_d0	02mo	medFB	subtype	5:medFB	Lox	277	7.0	7	0.02527075812274368	1.0
mo02_FB_d0	02mo	medFB	subtype	5:medFB	Lox	1242	71.0	62	0.0499194847020934	1.1451612710952759
mo18_CD45neg1_d0	18mo	medFB	subtype	5:medFB	Lox	173	10.0	7	0.04046242774566474	1.4285714626312256
mo18_CD45neg2_d0	18mo	medFB	subtype	5:medFB	Lox	313	16.0	15	0.04792332268370607	1.0666667222976685
mo18_FB_d0	18mo	medFB	subtype	5:medFB	Lox	2395	148.0	130	0.054279749478079335	1.1384615898132324
mo02_CD45neg1_d0	02mo	medFB	subtype	5:medFB	Loxl1	322	90.0	59	0.18322981366459629	1.5254237651824951
