gene	annotation_level	group_or_subtype	status	n_young_samples	n_aged_samples	young_cell_count	aged_cell_count	raw_pvalue	original_padj	log2FC_18mo_vs_02mo	global_bh_fdr_lox_x_subtype_matrix	global_fdr_classification
Lox	cell_type	6:MEC	ok	3	3	160	634	0.5867944393071967		-0.3534857984311015	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	cell_type	6:MEC	ok	3	3	160	634	0.5320998582407889	0.9642242930722538	-0.2123650037643031	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	cell_type	6:MEC	ok	3	3	160	634	0.0393360105914706	0.7060577138522591	-1.1649323199017867	0.2687960723750491	not_significant_after_global_matrix_correction
Loxl3	cell_type	6:MEC	ok	3	3	160	634	0.6783328426426087		0.2870051915231473	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	cell_type	6:MEC	ok	3	3	160	634	0.8884099301194806		-0.2143837736844727	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	cell_type	7:vSMC/PC	ok	3	4	268	712	0.7389485113502088	0.9997808816588244	-0.262742286566923	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	cell_type	7:vSMC/PC	ok	3	4	268	712	0.67815960897988	0.9997808816588244	0.5510198093889093	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	cell_type	7:vSMC/PC	ok	3	4	268	712	0.0275600177202313	0.9997808816588244	-1.9593858397618331	0.22599214530589667	not_significant_after_global_matrix_correction
Loxl3	cell_type	7:vSMC/PC	ok	3	4	268	712	0.7029732080234168	0.9997808816588244	0.4121468623397055	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	cell_type	7:vSMC/PC	not_tested_zero_counts	3	4	268	712					not_tested
Lox	cell_type	8:nmSC	ok	1	3	10	56	0.941276887457048	0.9947259863158392	0.3915652256741113	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	cell_type	8:nmSC	ok	1	3	10	56	0.648368213075019	0.9947259863158392	1.1568271255898934	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	cell_type	8:nmSC	ok	1	3	10	56	0.5329840612923333	0.9947259863158392	2.8287824191318944	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	cell_type	8:nmSC	ok	1	3	10	56	0.762363105259795	0.9947259863158392	-0.8053320910395455	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	cell_type	8:nmSC	ok	1	3	10	56	0.9420427769314446	0.9947259863158392	0.3915645303811785	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	cell_type	EC	ok	3	1	966	683	0.6075052815229932		-0.7227314906290185	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	cell_type	EC	ok	3	1	966	683	0.1132729513557468		-5.942191702406822	0.6634558579408028	not_significant_after_global_matrix_correction
Loxl2	cell_type	EC	ok	3	1	966	683	0.4912732216721323		1.0373564696691049	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	cell_type	EC	ok	3	1	966	683	0.3553455371861822		-2.303259975673004	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	cell_type	EC	ok	3	1	966	683	0.7461466990671137		-2.0842078513889013	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	cell_type	FB	ok	3	3	7159	6081	1.0677204297735093e-06	4.363802253793245e-05	-1.2949016364588477	6.566480643107082e-05	global_FDR_lt_0.05
Loxl1	cell_type	FB	ok	3	3	7159	6081	0.0011722968993116	0.0143501963005337	-0.6157903047606486	0.028838503723065362	global_FDR_lt_0.05
Loxl2	cell_type	FB	ok	3	3	7159	6081	0.0019398021242926	0.0208187989521313	-0.5168644214764081	0.0385456632889713	global_FDR_lt_0.05
Loxl3	cell_type	FB	ok	3	3	7159	6081	0.7982113831782185	0.933533454825535	-0.0451030634157154	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	cell_type	FB	ok	3	3	7159	6081	0.7284582765890419	0.9009972691651156	-0.2540785689400777	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	cell_type	TEC	ok	2	3	2383	3785	0.0100717859998613	0.1256365554786752	2.09315972375714	0.12388296779829397	not_significant_after_global_matrix_correction
Loxl1	cell_type	TEC	ok	2	3	2383	3785	0.9146249319875724	0.9740717079894968	0.060479906463839	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	cell_type	TEC	ok	2	3	2383	3785	0.0165549383370096	0.1647285445031163	-1.5933834029364908	0.16968811795434838	not_significant_after_global_matrix_correction
Loxl3	cell_type	TEC	ok	2	3	2383	3785	0.3381411949319339	0.6803497382921965	-0.7908084124025462	0.9748426779227708	not_significant_after_global_matrix_correction
