gene,annotation_level,cell_type_or_subtype,age_comparison,n_young_samples,n_aged_samples,young_cell_count,aged_cell_count,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance_label,direction,status,gene_present
Lox,cell_type,6:MEC,18mo_vs_02mo,3,3,160,634,7.616971359221483,-0.3534857984311015,0.6504032369661592,-0.5434871451131685,0.5867944393071967,,padj_NA,down_in_aged,ok,True
Loxl1,cell_type,6:MEC,18mo_vs_02mo,3,3,160,634,91.84745114894247,-0.2123650037643031,0.339890722649788,-0.6248037666597828,0.5320998582407889,0.9642242930722538,not_significant,down_in_aged,ok,True
Loxl2,cell_type,6:MEC,18mo_vs_02mo,3,3,160,634,14.605629954285783,-1.1649323199017867,0.5653215051915982,-2.0606545288012157,0.03933601059147068,0.7060577138522591,nominal_p<0.05,down_in_aged,ok,True
Loxl3,cell_type,6:MEC,18mo_vs_02mo,3,3,160,634,6.746061121504426,0.28700519152314735,0.692013682389588,0.4147391862717101,0.6783328426426087,,padj_NA,up_in_aged,ok,True
Loxl4,cell_type,6:MEC,18mo_vs_02mo,3,3,160,634,1.1930426863075734,-0.21438377368447278,1.5278586440936939,-0.14031649754591172,0.8884099301194806,,padj_NA,down_in_aged,ok,True
Lox,cell_type,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,4.697382723734298,-0.262742286566923,0.7884331589261393,-0.3332461142613318,0.7389485113502088,0.9997808816588243,not_significant,down_in_aged,ok,True
Loxl1,cell_type,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,11.373815054862906,0.5510198093889093,1.3278359640537112,0.41497581350840745,0.67815960897988,0.9997808816588243,not_significant,up_in_aged,ok,True
Loxl2,cell_type,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,2.445324976880976,-1.9593858397618333,0.889218079383336,-2.203493029652128,0.027560017720231353,0.9997808816588243,nominal_p<0.05,down_in_aged,ok,True
Loxl3,cell_type,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,5.412569162899201,0.4121468623397055,1.080870745889548,0.3813100353646004,0.7029732080234168,0.9997808816588243,not_significant,up_in_aged,ok,True
Loxl4,cell_type,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,cell_type,8:nmSC,18mo_vs_02mo,1,3,10,56,0.1741116301368588,0.39156522567411134,5.315479729218196,0.07366507740058732,0.9412768874570481,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl1,cell_type,8:nmSC,18mo_vs_02mo,1,3,10,56,2.5507027151865436,1.1568271255898934,2.536733212529897,0.4560302675408991,0.648368213075019,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl2,cell_type,8:nmSC,18mo_vs_02mo,1,3,10,56,1.2504759935100902,2.8287824191318944,4.537251341320263,0.6234572886387129,0.5329840612923333,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl3,cell_type,8:nmSC,18mo_vs_02mo,1,3,10,56,1.7344013698494778,-0.8053320910395455,2.6633195245056287,-0.30237907379477236,0.762363105259795,0.9947259863158393,not_significant,down_in_aged,ok,True
Loxl4,cell_type,8:nmSC,18mo_vs_02mo,1,3,10,56,0.3290185032381231,0.39156453038117855,5.385839197228035,0.07270260326054809,0.9420427769314446,0.9947259863158393,not_significant,up_in_aged,ok,True
Lox,cell_type,EC,18mo_vs_02mo,3,1,966,683,5.7947172322141824,-0.7227314906290185,1.4070840601301633,-0.5136377499452035,0.6075052815229932,,padj_NA,down_in_aged,ok,True
Loxl1,cell_type,EC,18mo_vs_02mo,3,1,966,683,4.7549695267954055,-5.942191702406822,3.7522081845452675,-1.5836519217888119,0.11327295135574685,,padj_NA,down_in_aged,ok,True
Loxl2,cell_type,EC,18mo_vs_02mo,3,1,966,683,4.32341744664608,1.0373564696691047,1.5071608715319258,0.688285165348476,0.4912732216721323,,padj_NA,up_in_aged,ok,True
Loxl3,cell_type,EC,18mo_vs_02mo,3,1,966,683,2.2371083882001854,-2.303259975673004,2.491976281724247,-0.9242704244678179,0.3553455371861822,,padj_NA,down_in_aged,ok,True
Loxl4,cell_type,EC,18mo_vs_02mo,3,1,966,683,0.11789757872575538,-2.0842078513889013,6.4382168144332494,-0.3237243962826021,0.7461466990671137,,padj_NA,down_in_aged,ok,True
Lox,cell_type,FB,18mo_vs_02mo,3,3,7159,6081,505.5626332365733,-1.2949016364588475,0.26541786404647,-4.878728269142175,1.0677204297735093e-06,4.363802253793245e-05,FDR<0.05,down_in_aged,ok,True
Loxl1,cell_type,FB,18mo_vs_02mo,3,3,7159,6081,2754.607095008772,-0.6157903047606486,0.1897345403526846,-3.245536124397793,0.0011722968993116228,0.014350196300533795,FDR<0.05,down_in_aged,ok,True
Loxl2,cell_type,FB,18mo_vs_02mo,3,3,7159,6081,420.78828867953365,-0.5168644214764081,0.16676825708398343,-3.09929737537593,0.001939802124292623,0.02081879895213133,FDR<0.05,down_in_aged,ok,True
Loxl3,cell_type,FB,18mo_vs_02mo,3,3,7159,6081,298.89599034099484,-0.045103063415715454,0.17641635874163705,-0.25566259125532226,0.7982113831782185,0.933533454825535,not_significant,down_in_aged,ok,True
Loxl4,cell_type,FB,18mo_vs_02mo,3,3,7159,6081,9.13379349606867,-0.2540785689400777,0.7318413909083127,-0.34717709615294146,0.7284582765890419,0.9009972691651156,not_significant,down_in_aged,ok,True
Lox,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,115.53309866322611,2.09315972375714,0.8133972106320865,2.5733549321254214,0.010071785999861384,0.12563655547867528,nominal_p<0.05,up_in_aged,ok,True
Loxl1,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,56.162053520210044,0.06047990646383903,0.5641425203069188,0.10720678602799741,0.9146249319875724,0.9740717079894969,not_significant,up_in_aged,ok,True
Loxl2,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,37.52468025604686,-1.5933834029364908,0.6648943839309446,-2.396445873878788,0.01655493833700962,0.16472854450311633,nominal_p<0.05,down_in_aged,ok,True
Loxl3,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,31.68458886780233,-0.7908084124025462,0.8256125533228652,-0.9578444625384609,0.33814119493193395,0.6803497382921965,not_significant,down_in_aged,ok,True
Loxl4,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,2.76281397468476,-0.6426503763516245,0.7763605748195773,-0.8277730698792549,0.4077990286584847,0.7346065906486033,not_significant,down_in_aged,ok,True
Lox,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,4.4174530667947725,-0.1060411111363069,1.4276222132643759,-0.07427813195329538,0.9407890771293224,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl1,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,-0.8155607005801812,0.4147514341147389,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl2,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,1.4528672150290955,-0.3212957006025501,1.7573809569717933,-0.18282643801727905,0.8549342036926232,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl3,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,-0.8155607005801812,0.4147514341147389,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl4,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl1,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl2,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl3,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl4,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Lox,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,13.840278873166834,1.0735265571622967,1.9772084589031609,0.5429506192573271,0.5871638023500646,0.9997613420850405,not_significant,up_in_aged,ok,True
Loxl1,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,10.746251851024379,-2.3121470258463592,1.895478118722368,-1.2198225888277958,0.22253213632186086,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl2,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,2.0737059406507465,-0.15067377707427806,2.4552444253244285,-0.06136813733091706,0.9510660272417277,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl3,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,2.7290615510583955,-1.3880970612132608,2.1491995334539404,-0.6458670028568612,0.5183654908777109,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl4,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,3.436383107756189,1.281949017491939,1.4171632108124739,0.9045881290955787,0.36568362655531605,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,1.7572997186738395,-0.3178218765183014,2.0352441680021975,-0.15615908966356423,0.8759076227798709,,padj_NA,down_in_aged,ok,True
