match_window	gene	young_mean_detection	aged_mean_detection	detection_delta	detection_ratio	young_mean_log2CPM	aged_mean_log2CPM	log2CPM_delta	all_young_above_all_aged_detection	all_young_above_all_aged_log2CPM	n_young_samples	n_aged_samples	young_detection_values	aged_detection_values	young_log2CPM_values	aged_log2CPM_values	excluded_lox_family	excluded_mitochondrial	excluded_ribosomal	background_included
strict	Tmem14a	0.12338709677419354	0.06748762196009903	-0.05589947481409452	0.5469585047746588	3.8863791450391583	3.593314962646043	-0.29306418239311505	True	False	2	2	0.15;0.0967742	0.0694444;0.0655308	4.24291;3.52985	3.57496;3.61167	False	False	False	True
strict	Fam135a	0.11605734767025089	0.12039691641182468	0.0043395687415737905	1.0373915898362904	3.850731476568408	4.445595556826779	0.5948640802583713	False	False	2	2	0.106667;0.125448	0.121528;0.119266	3.70907;3.99239	4.44589;4.4453	False	False	False	True
strict	Adgrb3	0.08684587813620072	0.013693206640454345	-0.07315267149574638	0.157672499079107	3.8670342687490606	1.9418581818189193	-1.9251760869301413	True	True	2	2	0.0733333;0.100358	0.0208333;0.00655308	3.70907;4.025	2.85566;1.02806	False	False	False	True
strict	Rab23	0.07263440860215054	0.04793077399155381	-0.024703634610596728	0.6598907448133982	3.173172771618152	3.0992243473932377	-0.07394842422491443	True	False	2	2	0.07;0.0752688	0.0381944;0.0576671	3.11869;3.22765	2.85566;3.34279	False	False	False	True
strict	Bag2	0.08338709677419355	0.08055965123052278	-0.002827445543670773	0.9660925292635226	3.3632023137716343	3.833017987778489	0.46981567400685487	False	False	2	2	0.07;0.0967742	0.0798611;0.0812582	3.29042;3.43598	3.80699;3.85904	False	False	False	True
strict	Ptpn18	0.10838709677419354	0.050943370467453036	-0.05744372630674051	0.4700132394318584	3.8354264323501583	3.390898960583394	-0.4445274717667642	True	True	2	2	0.12;0.0967742	0.0520833;0.0498034	4.09626;3.57459	3.29831;3.48349	False	False	False	True
strict	Plekhb2	0.09876344086021505	0.10994611912043104	0.011182678260215989	1.1132269001850938	3.556192019651502	4.3604744100765505	0.8042823904250485	False	False	2	2	0.09;0.107527	0.111111;0.108781	3.53779;3.57459	4.37537;4.34558	False	False	False	True
strict	Cnnm3	0.07813620071684588	0.06640681884374544	-0.011729381873100436	0.8498854338259164	3.246281873946462	3.6362778125341753	0.3899959385877132	False	False	2	2	0.0666667;0.0896057	0.0659722;0.0668414	3.05658;3.43598	3.63656;3.636	False	False	False	True
strict	Ankrd39	0.12014336917562723	0.06139416775884666	-0.058749201416780576	0.5110075419068681	3.797338242903061	3.523372246942522	-0.27396599596053894	True	True	2	2	0.0933333;0.146953	0.0625;0.0602883	3.53779;4.05688	3.51061;3.53614	False	False	False	True
strict	D430040D24Rik	0.07700716845878136	0.04963275447793797	-0.027374413980843393	0.6445212240793434	3.2190324010909164	3.1867761438948117	-0.0322562571961047	True	False	2	2	0.0966667;0.0573477	0.0520833;0.0471822	3.66812;2.76995	3.21998;3.15357	False	False	False	True
