sample_id	age_group	cell_type	subtype	cell_count
mo02_CD45neg1_d0	02mo	6:MEC	6:MEC	76
mo02_CD45neg1_d0	02mo	7:vSMC/PC	7:vSMC/PC	133
mo02_CD45neg1_d0	02mo	8:nmSC	8:nmSC	6
mo02_CD45neg1_d0	02mo	EC	0:arEC	41
mo02_CD45neg1_d0	02mo	EC	1:capEC	133
mo02_CD45neg1_d0	02mo	EC	2:venEC	27
mo02_CD45neg1_d0	02mo	FB	3:capsFB	686
mo02_CD45neg1_d0	02mo	FB	4:intFB	693
mo02_CD45neg1_d0	02mo	FB	5:medFB	322
mo02_CD45neg1_d0	02mo	FB	9:Fat	8
mo02_CD45neg1_d0	02mo	TEC	10:aaTEC1	6
mo02_CD45neg1_d0	02mo	TEC	11:aaTEC2	7
mo02_CD45neg1_d0	02mo	TEC	12:cTEC	23
mo02_CD45neg1_d0	02mo	TEC	12:early Pr	20
mo02_CD45neg1_d0	02mo	TEC	13:mTEC1	300
mo02_CD45neg1_d0	02mo	TEC	14:mTEC-prol	131
mo02_CD45neg1_d0	02mo	TEC	15:mTEC2	490
mo02_CD45neg1_d0	02mo	TEC	16:mimetic(basal)	59
mo02_CD45neg1_d0	02mo	TEC	17:mimetic(tuft)	136
mo02_CD45neg1_d0	02mo	TEC	18:mimetic(neuroendo)	42
mo02_CD45neg1_d0	02mo	TEC	19:mimetic(goblet)	18
mo02_CD45neg1_d0	02mo	TEC	20:mimetic(microfold)	11
mo02_CD45neg2_d0	02mo	6:MEC	6:MEC	67
mo02_CD45neg2_d0	02mo	7:vSMC/PC	7:vSMC/PC	115
mo02_CD45neg2_d0	02mo	8:nmSC	8:nmSC	10
mo02_CD45neg2_d0	02mo	EC	0:arEC	43
mo02_CD45neg2_d0	02mo	EC	1:capEC	127
mo02_CD45neg2_d0	02mo	EC	2:venEC	38
mo02_CD45neg2_d0	02mo	FB	3:capsFB	577
mo02_CD45neg2_d0	02mo	FB	4:intFB	613
mo02_CD45neg2_d0	02mo	FB	5:medFB	277
mo02_CD45neg2_d0	02mo	FB	9:Fat	6
mo02_CD45neg2_d0	02mo	TEC	10:aaTEC1	3
mo02_CD45neg2_d0	02mo	TEC	11:aaTEC2	10
mo02_CD45neg2_d0	02mo	TEC	12:cTEC	25
mo02_CD45neg2_d0	02mo	TEC	12:early Pr	18
mo02_CD45neg2_d0	02mo	TEC	13:mTEC1	279
mo02_CD45neg2_d0	02mo	TEC	14:mTEC-prol	109
mo02_CD45neg2_d0	02mo	TEC	15:mTEC2	438
mo02_CD45neg2_d0	02mo	TEC	16:mimetic(basal)	64
mo02_CD45neg2_d0	02mo	TEC	17:mimetic(tuft)	107
mo02_CD45neg2_d0	02mo	TEC	18:mimetic(neuroendo)	45
mo02_CD45neg2_d0	02mo	TEC	19:mimetic(goblet)	23
mo02_CD45neg2_d0	02mo	TEC	20:mimetic(microfold)	17
mo02_EC_d0	02mo	7:vSMC/PC	7:vSMC/PC	11
