gene	cell_type	subtype	comparison	baseMean	log2FoldChange	lfcSE	pvalue	padj	n_young_samples	n_aged_samples
Lox	6:MEC		18mo_vs_02mo	7.616971359221483	-0.3534857984311015	0.6504032369661592	0.5867944393071967		3	3
Loxl1	6:MEC		18mo_vs_02mo	91.84745114894248	-0.2123650037643031	0.339890722649788	0.5320998582407889	0.9642242930722538	3	3
Loxl2	6:MEC		18mo_vs_02mo	14.605629954285783	-1.1649323199017867	0.5653215051915982	0.0393360105914706	0.7060577138522591	3	3
Loxl3	6:MEC		18mo_vs_02mo	6.746061121504426	0.2870051915231473	0.692013682389588	0.6783328426426087		3	3
Loxl4	6:MEC		18mo_vs_02mo	1.1930426863075734	-0.2143837736844727	1.527858644093694	0.8884099301194806		3	3
Lox	6:MEC	6:MEC	18mo_vs_02mo	7.616971359221483	-0.3534857984311015	0.6504032369661592	0.5867944393071967		3	3
Loxl1	6:MEC	6:MEC	18mo_vs_02mo	91.84745114894248	-0.2123650037643031	0.339890722649788	0.5320998582407889	0.9642242930722538	3	3
Loxl2	6:MEC	6:MEC	18mo_vs_02mo	14.605629954285783	-1.1649323199017867	0.5653215051915982	0.0393360105914706	0.7060577138522591	3	3
Loxl3	6:MEC	6:MEC	18mo_vs_02mo	6.746061121504426	0.2870051915231473	0.692013682389588	0.6783328426426087		3	3
Loxl4	6:MEC	6:MEC	18mo_vs_02mo	1.1930426863075734	-0.2143837736844727	1.527858644093694	0.8884099301194806		3	3
Lox	7:vSMC/PC		18mo_vs_02mo	4.697382723734298	-0.262742286566923	0.7884331589261393	0.7389485113502088	0.9997808816588244	3	4
Loxl1	7:vSMC/PC		18mo_vs_02mo	11.373815054862906	0.5510198093889093	1.3278359640537112	0.67815960897988	0.9997808816588244	3	4
Loxl2	7:vSMC/PC		18mo_vs_02mo	2.445324976880976	-1.9593858397618331	0.889218079383336	0.0275600177202313	0.9997808816588244	3	4
Loxl3	7:vSMC/PC		18mo_vs_02mo	5.412569162899201	0.4121468623397055	1.080870745889548	0.7029732080234168	0.9997808816588244	3	4
Loxl4	7:vSMC/PC		18mo_vs_02mo						3	4
Lox	7:vSMC/PC	7:vSMC/PC	18mo_vs_02mo	4.697382723734298	-0.262742286566923	0.7884331589261393	0.7389485113502088	0.9997808816588244	3	4
Loxl1	7:vSMC/PC	7:vSMC/PC	18mo_vs_02mo	11.373815054862906	0.5510198093889093	1.3278359640537112	0.67815960897988	0.9997808816588244	3	4
Loxl2	7:vSMC/PC	7:vSMC/PC	18mo_vs_02mo	2.445324976880976	-1.9593858397618331	0.889218079383336	0.0275600177202313	0.9997808816588244	3	4
Loxl3	7:vSMC/PC	7:vSMC/PC	18mo_vs_02mo	5.412569162899201	0.4121468623397055	1.080870745889548	0.7029732080234168	0.9997808816588244	3	4
Loxl4	7:vSMC/PC	7:vSMC/PC	18mo_vs_02mo						3	4
